CUI	UMLS_Name	HPO	HPO_Name
C1859506	Hyperammonemia, acute	HP:0008281	Acute hyperammonemia
C0152191	Scotoma, Central	HP:0000603	Central scotoma
C0042571	Vertigo	HP:0002321	Vertigo
C0233565	Bradykinesia	HP:0002067	Bradykinesia
C0024031	Low Back Pain	HP:0003419	Low back pain
C0013428	Dysuria	HP:0100518	Dysuria
C0013132	Drooling	HP:0003781	Excessive salivation
C0234708	Raised intraocular pressure	HP:0007906	Ocular hypertension
C0237304	Noisy respiration	HP:0010307	Stridor
C0240231	Fractures of the long bones	HP:0003084	Recurrent long bone fractures
C0027429	Nasal obstruction present finding	HP:0001742	Nasal congestion
