Drug1	Drug1_id	RELATION	PROVENANCE	Drug2	Drug2_id
Monarch	C1515915	MENTIONED_IN	["32283553_fullText_13","32283553_fullText_33","32283553_fullText_38","32283553_fullText_57","32283553_fullText_59","32283553_fullText_59","32283553_fullText_66","32283553_fullText_69","32283553_fullText_73","32283553_fullText_150"]		32283553
Monarch	C1515915	MENTIONED_IN	["31231989_fullText_28"]		31231989
STEP 2	C1875784	MENTIONED_IN	["33863317_fullText_4"]		33863317
STEP 2	C1875784	MENTIONED_IN	["37957369_fullText_10","37957369_fullText_10","37957369_fullText_10"]		37957369
Lysine	C0024337	PART_OF	["27725718_fullText_113"]	synthetic peptide	C0597551
Lysine	C0024337	PART_OF	["36128717_fullText_114"]	LOR gene	C1416897
Lysine	C0024337	PART_OF	["31479473_fullText_115"]	Glutamate	C0220839
Lysine	C0024337	PART_OF	["35872650_fullText_47"]	HEK293 Cells	C2936239
Lysine	C0024337	PART_OF	["28062662_fullText_7","22578804_fullText_7"]	GCDH gene	C1415009
Lysine	C0024337	PART_OF	["25968119_fullText_3"]	Astrocytes	C0004112
Lysine	C0024337	PART_OF	["34181873_fullText_1","9600243_fullText_1","33081139_fullText_10","24498361_fullText_1","31607269_fullText_3","27246831_fullText_0","29654578_fullText_6"]	Amino Acids	C0002520
Lysine	C0024337	PART_OF	["26671102_fullText_8"]	Glutamate [NMDA] Receptor Subunit Epsilon-2	C3537346
Lysine	C0024337	PART_OF	["33479176_fullText_4"]	Ubiquitin	C0041538
Lysine	C0024337	PART_OF	["8170567_fullText_3","17895983_fullText_69"]	MT-TA gene	C1537998
Lysine	C0024337	COEXISTS_WITH	["37197954_fullText_3","37197954_abstract_3"]	GFAP gene	C1415042
Lysine	C0024337	COEXISTS_WITH	["21431622_fullText_217"]	delta protein	C0082213
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_44"]	Arginine	C0003765
Lysine	C0024337	COEXISTS_WITH	["24594605_fullText_97","24468193_fullText_28"]	animal allergen extracts	C3540698
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_44"]	Homoarginine	C0019877
Lysine	C0024337	COEXISTS_WITH	["24594605_fullText_73"]	GCDH gene	C1415009
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_90"]	Caspase Gene	C1332858
Lysine	C0024337	COEXISTS_WITH	["20923787_fullText_8"]	saccharopine	C0073925
Lysine	C0024337	COEXISTS_WITH	["20923787_fullText_8"]	Pipecolate	C0369844
Lysine	C0024337	COEXISTS_WITH	["31181292_fullText_11"]	Coxsackievirus and Adenovirus Receptor	C3539542
Lysine	C0024337	COEXISTS_WITH	["25416781_fullText_5"]	ETFB gene	C1414472
Lysine	C0024337	CAUSES	["23658800_fullText_123"]	Hypoglycemia	C0020615
Lysine	C0024337	CAUSES	["31121257_fullText_8"]	Gliosis	C0017639
Lysine	C0024337	CAUSES	["31121257_fullText_8"]	Demyelination	C0011304
Lysine	C0024337	ISA	["34181873_fullText_1","9600243_fullText_1","35157847_fullText_72","33081139_fullText_10","24498361_fullText_1","31607269_fullText_3","29844506_fullText_0","29844506_fullText_5","29844506_fullText_130","29844506_fullText_133","27246831_fullText_0","25333616_fullText_2"]	Amino Acids	C0002520
Lysine	C0024337	ISA	["33000154_fullText_1"]	Amino Acids, Essential	C0002525
Lysine	C0024337	AFFECTS	["2434875_fullText_7"]	amino acid transport	C0596078
Lysine	C0024337	AFFECTS	["3925942_fullText_5"]	Protein Biosynthesis	C0597295
Lysine	C0024337	AFFECTS	["23658800_fullText_89"]	Cell Survival	C0007620
Lysine	C0024337	AFFECTS	["23658800_fullText_101"]	Cell Fraction	C0805525
Lysine	C0024337	AFFECTS	["36128717_fullText_119"]	lysine catabolism	C1156685
Lysine	C0024337	AFFECTS	["26607633_fullText_1"]	Oxidation-Reduction	C0030012
Lysine	C0024337	AFFECTS	["26607633_fullText_1"]	Bioenergetics	C0005486
Lysine	C0024337	MENTIONED_IN	["38497605_fullText_24","38497605_fullText_29","38497605_fullText_29","38497605_fullText_30","38497605_fullText_43","38497605_fullText_55","38497605_fullText_80","38497605_fullText_80","38497605_fullText_82","38497605_fullText_83"]		38497605
Lysine	C0024337	MENTIONED_IN	["39320846_fullText_6","39320846_fullText_6","39320846_fullText_15","39320846_fullText_97","39320846_fullText_97","39320846_fullText_98","39320846_fullText_136"]		39320846
Lysine	C0024337	MENTIONED_IN	["8445616_fullText_2"]		8445616
Lysine	C0024337	MENTIONED_IN	["2564729_fullText_2","2564729_fullText_4"]		2564729
Lysine	C0024337	MENTIONED_IN	["26258410_fullText_3"]		26258410
Lysine	C0024337	MENTIONED_IN	["2742800_fullText_5"]		2742800
Lysine	C0024337	MENTIONED_IN	["2434875_fullText_3","2434875_fullText_7"]		2434875
Lysine	C0024337	MENTIONED_IN	["16988900_fullText_3","16988900_fullText_4"]		16988900
Lysine	C0024337	MENTIONED_IN	["29654578_fullText_6"]		29654578
Lysine	C0024337	MENTIONED_IN	["3959486_fullText_1"]		3959486
Lysine	C0024337	MENTIONED_IN	["12424106_fullText_2"]		12424106
Lysine	C0024337	MENTIONED_IN	["10662702_fullText_4","10662702_fullText_4","10662702_fullText_4","10662702_fullText_5","10662702_fullText_5"]		10662702
Lysine	C0024337	MENTIONED_IN	["6686838_fullText_4"]		6686838
Lysine	C0024337	MENTIONED_IN	["6881914_fullText_3"]		6881914
Lysine	C0024337	MENTIONED_IN	["27761676_fullText_7"]		27761676
Lysine	C0024337	MENTIONED_IN	["19793667_fullText_4"]		19793667
Lysine	C0024337	MENTIONED_IN	["8828634_fullText_6","8828634_fullText_7"]		8828634
Lysine	C0024337	MENTIONED_IN	["7133808_fullText_3"]		7133808
Lysine	C0024337	MENTIONED_IN	["9004938_fullText_7"]		9004938
Lysine	C0024337	MENTIONED_IN	["3099071_fullText_5"]		3099071
Lysine	C0024337	MENTIONED_IN	["23784316_fullText_6"]		23784316
Lysine	C0024337	MENTIONED_IN	["3741696_fullText_4"]		3741696
Lysine	C0024337	MENTIONED_IN	["11438997_fullText_5","11438997_fullText_5"]		11438997
Lysine	C0024337	MENTIONED_IN	["8384712_fullText_2"]		8384712
Lysine	C0024337	MENTIONED_IN	["17560821_fullText_4","17560821_fullText_6","17560821_fullText_6"]		17560821
Lysine	C0024337	MENTIONED_IN	["3925942_fullText_4","3925942_fullText_5","3925942_fullText_6","3925942_fullText_7"]		3925942
Lysine	C0024337	MENTIONED_IN	["33047718_abstract_13"]		33047718
Lysine	C0024337	MENTIONED_IN	["37688338_fullText_8","37688338_fullText_8","37688338_fullText_10"]		37688338
Lysine	C0024337	MENTIONED_IN	["37985879_fullText_1","37985879_fullText_7","37985879_fullText_8"]		37985879
Lysine	C0024337	MENTIONED_IN	["37197954_fullText_3","37197954_abstract_3"]		37197954
Lysine	C0024337	MENTIONED_IN	["26756355_fullText_60","26756355_fullText_60"]		26756355
Lysine	C0024337	MENTIONED_IN	["36293220_fullText_29"]		36293220
Lysine	C0024337	MENTIONED_IN	["29370694_fullText_9","29370694_fullText_13"]		29370694
Lysine	C0024337	MENTIONED_IN	["27725718_fullText_113"]		27725718
Lysine	C0024337	MENTIONED_IN	["33036649_fullText_33","33036649_fullText_33"]		33036649
Lysine	C0024337	MENTIONED_IN	["34697629_fullText_24"]		34697629
Lysine	C0024337	MENTIONED_IN	["37848450_fullText_37"]		37848450
Lysine	C0024337	MENTIONED_IN	["32530140_fullText_20"]		32530140
Lysine	C0024337	MENTIONED_IN	["31952437_fullText_1"]		31952437
Lysine	C0024337	MENTIONED_IN	["30570710_fullText_0","30570710_fullText_62"]		30570710
Lysine	C0024337	MENTIONED_IN	["26593172_fullText_3","26593172_fullText_40"]		26593172
Lysine	C0024337	MENTIONED_IN	["23326493_fullText_0","23326493_fullText_8","23326493_fullText_9","23326493_fullText_10","23326493_fullText_67","23326493_fullText_71"]		23326493
Lysine	C0024337	MENTIONED_IN	["21904051_fullText_1","21904051_fullText_4","21904051_fullText_8"]		21904051
Lysine	C0024337	MENTIONED_IN	["25333616_fullText_0","25333616_fullText_1","25333616_fullText_2","25333616_fullText_3","25333616_fullText_10","25333616_fullText_11","25333616_fullText_18","25333616_fullText_23","25333616_fullText_24","25333616_fullText_25","25333616_fullText_26","25333616_fullText_26","25333616_fullText_31","25333616_fullText_39","25333616_fullText_44","25333616_fullText_44","25333616_fullText_45","25333616_fullText_46","25333616_fullText_51","25333616_fullText_53","25333616_fullText_61","25333616_fullText_62","25333616_fullText_67","25333616_fullText_68","25333616_fullText_76","25333616_fullText_77","25333616_fullText_90","25333616_fullText_91","25333616_fullText_101","25333616_fullText_107","25333616_fullText_109","25333616_fullText_114","25333616_fullText_117","25333616_fullText_136","25333616_fullText_138"]		25333616
Lysine	C0024337	MENTIONED_IN	["33256818_fullText_2"]		33256818
Lysine	C0024337	MENTIONED_IN	["32981931_fullText_0","32981931_fullText_37","32981931_fullText_71","32981931_fullText_95"]		32981931
Lysine	C0024337	MENTIONED_IN	["32992790_fullText_11","32992790_fullText_14"]		32992790
Lysine	C0024337	MENTIONED_IN	["31607269_fullText_3","31607269_fullText_9","31607269_fullText_9"]		31607269
Lysine	C0024337	MENTIONED_IN	["34344405_fullText_1"]		34344405
Lysine	C0024337	MENTIONED_IN	["21698251_fullText_2","21698251_fullText_110"]		21698251
Lysine	C0024337	MENTIONED_IN	["26219480_fullText_3"]		26219480
Lysine	C0024337	MENTIONED_IN	["27246831_fullText_0"]		27246831
Lysine	C0024337	MENTIONED_IN	["20514322_fullText_1"]		20514322
Lysine	C0024337	MENTIONED_IN	["28438223_fullText_0","28438223_fullText_0"]		28438223
Lysine	C0024337	MENTIONED_IN	["24135440_fullText_1","24135440_fullText_81","24135440_fullText_81","24135440_fullText_82","24135440_fullText_83"]		24135440
Lysine	C0024337	MENTIONED_IN	["34588557_fullText_1","34588557_fullText_16","34588557_fullText_82","34588557_fullText_83"]		34588557
Lysine	C0024337	MENTIONED_IN	["31062211_fullText_7","31062211_fullText_31","31062211_fullText_41","31062211_fullText_42"]		31062211
Lysine	C0024337	MENTIONED_IN	["29335023_fullText_33","29335023_fullText_39"]		29335023
Lysine	C0024337	MENTIONED_IN	["23970718_fullText_13"]		23970718
Lysine	C0024337	MENTIONED_IN	["32872442_fullText_35","32872442_fullText_89","32872442_fullText_100","32872442_fullText_140"]		32872442
Lysine	C0024337	MENTIONED_IN	["30816177_fullText_154"]		30816177
Lysine	C0024337	MENTIONED_IN	["24341803_fullText_9","24341803_fullText_39","24341803_fullText_50"]		24341803
Lysine	C0024337	MENTIONED_IN	["19542079_fullText_8"]		19542079
Lysine	C0024337	MENTIONED_IN	["30029642_fullText_63"]		30029642
Lysine	C0024337	MENTIONED_IN	["21749722_fullText_16","21749722_fullText_16"]		21749722
Lysine	C0024337	MENTIONED_IN	["23469184_fullText_44"]		23469184
Lysine	C0024337	MENTIONED_IN	["20865150_fullText_2","20865150_fullText_69","20865150_fullText_90","20865150_fullText_90"]		20865150
Lysine	C0024337	MENTIONED_IN	["10962011_fullText_2"]		10962011
Lysine	C0024337	MENTIONED_IN	["18398509_fullText_5"]		18398509
Lysine	C0024337	MENTIONED_IN	["12477798_fullText_3","12477798_fullText_4","12477798_fullText_4","12477798_fullText_6"]		12477798
Lysine	C0024337	MENTIONED_IN	["7790377_fullText_15"]		7790377
Lysine	C0024337	MENTIONED_IN	["2717271_fullText_1"]		2717271
Lysine	C0024337	MENTIONED_IN	["1567655_fullText_5"]		1567655
Lysine	C0024337	MENTIONED_IN	["19466578_fullText_1"]		19466578
Lysine	C0024337	MENTIONED_IN	["8837070_fullText_2"]		8837070
Lysine	C0024337	MENTIONED_IN	["28899474_fullText_1","28899474_fullText_2","28899474_fullText_7"]		28899474
Lysine	C0024337	MENTIONED_IN	["20084589_fullText_1"]		20084589
Lysine	C0024337	MENTIONED_IN	["8300996_fullText_1","8300996_fullText_4","8300996_fullText_7"]		8300996
Lysine	C0024337	MENTIONED_IN	["16641220_fullText_1","16641220_fullText_9"]		16641220
Lysine	C0024337	MENTIONED_IN	["17932566_fullText_1","17932566_fullText_4"]		17932566
Lysine	C0024337	MENTIONED_IN	["20836999_fullText_1"]		20836999
Lysine	C0024337	MENTIONED_IN	["22231382_fullText_2"]		22231382
Lysine	C0024337	MENTIONED_IN	["24468193_fullText_2","24468193_fullText_9","24468193_fullText_14","24468193_fullText_15","24468193_fullText_16","24468193_fullText_18","24468193_fullText_25","24468193_fullText_26","24468193_fullText_27","24468193_fullText_27","24468193_fullText_27","24468193_fullText_28","24468193_fullText_31","24468193_fullText_34","24468193_fullText_65","24468193_fullText_72","24468193_fullText_75","24468193_fullText_81","24468193_fullText_105","24468193_fullText_106","24468193_fullText_106","24468193_fullText_107","24468193_fullText_108","24468193_fullText_113","24468193_fullText_113","24468193_fullText_114","24468193_fullText_114","24468193_fullText_117","24468193_fullText_117","24468193_fullText_129","24468193_fullText_159","24468193_fullText_172","24468193_fullText_172"]		24468193
Lysine	C0024337	MENTIONED_IN	["20732827_fullText_1"]		20732827
Lysine	C0024337	MENTIONED_IN	["3590175_fullText_5"]		3590175
Lysine	C0024337	MENTIONED_IN	["29844506_fullText_1","29844506_fullText_5","29844506_fullText_5","29844506_fullText_6","29844506_fullText_0","29844506_fullText_1","29844506_fullText_1","29844506_fullText_2","29844506_fullText_3","29844506_fullText_5","29844506_fullText_6","29844506_fullText_6","29844506_fullText_27","29844506_fullText_82","29844506_fullText_85","29844506_fullText_86","29844506_fullText_88","29844506_fullText_89","29844506_fullText_89","29844506_fullText_89","29844506_fullText_127","29844506_fullText_127","29844506_fullText_130","29844506_fullText_132","29844506_fullText_133"]		29844506
Lysine	C0024337	MENTIONED_IN	["37075130_fullText_3"]		37075130
Lysine	C0024337	MENTIONED_IN	["26607633_fullText_1","26607633_fullText_1","26607633_fullText_6"]		26607633
Lysine	C0024337	MENTIONED_IN	["16602100_fullText_2"]		16602100
Lysine	C0024337	MENTIONED_IN	["9600243_fullText_1"]		9600243
Lysine	C0024337	MENTIONED_IN	["17879145_fullText_1"]		17879145
Lysine	C0024337	MENTIONED_IN	["25416781_fullText_1","25416781_fullText_1","25416781_fullText_5","25416781_fullText_5","25416781_fullText_5"]		25416781
Lysine	C0024337	MENTIONED_IN	["28062662_fullText_7"]		28062662
Lysine	C0024337	MENTIONED_IN	["26847429_fullText_6"]		26847429
Lysine	C0024337	MENTIONED_IN	["32306145_fullText_1"]		32306145
Lysine	C0024337	MENTIONED_IN	["34713466_fullText_1","34713466_fullText_4","34713466_fullText_4","34713466_fullText_4","34713466_fullText_4","34713466_fullText_5","34713466_fullText_5","34713466_fullText_6","34713466_fullText_6","34713466_fullText_7","34713466_fullText_7","34713466_fullText_8"]		34713466
Lysine	C0024337	MENTIONED_IN	["25998543_fullText_2","25998543_fullText_2","25998543_fullText_3","25998543_fullText_4","25998543_fullText_6","25998543_fullText_7","25998543_fullText_8"]		25998543
Lysine	C0024337	MENTIONED_IN	["25968119_fullText_1","25968119_fullText_1","25968119_fullText_3","25968119_fullText_4","25968119_fullText_4","25968119_fullText_5","25968119_fullText_6","25968119_fullText_7","25968119_fullText_8"]		25968119
Lysine	C0024337	MENTIONED_IN	["22520952_fullText_1","22520952_fullText_2","22520952_fullText_2","22520952_fullText_2","22520952_fullText_10","22520952_fullText_11","22520952_fullText_11"]		22520952
Lysine	C0024337	MENTIONED_IN	["37198486_fullText_2","37198486_fullText_3","37198486_fullText_3","37198486_fullText_4","37198486_fullText_4","37198486_fullText_5","37198486_fullText_6","37198486_fullText_7"]		37198486
Lysine	C0024337	MENTIONED_IN	["27984186_fullText_1"]		27984186
Lysine	C0024337	MENTIONED_IN	["22578804_fullText_3","22578804_fullText_3","22578804_fullText_5","22578804_fullText_6","22578804_fullText_7"]		22578804
Lysine	C0024337	MENTIONED_IN	["31181292_fullText_2","31181292_fullText_2","31181292_fullText_4","31181292_fullText_7","31181292_fullText_7","31181292_fullText_11"]		31181292
Lysine	C0024337	MENTIONED_IN	["33965309_fullText_4"]		33965309
Lysine	C0024337	MENTIONED_IN	["26656312_fullText_1"]		26656312
Lysine	C0024337	MENTIONED_IN	["20032085_fullText_1"]		20032085
Lysine	C0024337	MENTIONED_IN	["31910296_fullText_4"]		31910296
Lysine	C0024337	MENTIONED_IN	["15120683_fullText_12"]		15120683
Lysine	C0024337	MENTIONED_IN	["20923787_fullText_1","20923787_fullText_7","20923787_fullText_8","20923787_fullText_10","20923787_fullText_12","20923787_fullText_13","20923787_fullText_13"]		20923787
Lysine	C0024337	MENTIONED_IN	["10066389_fullText_7"]		10066389
Lysine	C0024337	MENTIONED_IN	["25214427_fullText_1","25214427_fullText_3","25214427_fullText_4","25214427_fullText_4","25214427_fullText_4","25214427_fullText_6"]		25214427
Lysine	C0024337	MENTIONED_IN	["31125684_fullText_1","31125684_fullText_1"]		31125684
Lysine	C0024337	MENTIONED_IN	["26671102_fullText_4","26671102_fullText_5","26671102_fullText_8"]		26671102
Lysine	C0024337	MENTIONED_IN	["36128717_fullText_5","36128717_fullText_1","36128717_fullText_3","36128717_fullText_9","36128717_fullText_10","36128717_fullText_17","36128717_fullText_28","36128717_fullText_43","36128717_fullText_50","36128717_fullText_50","36128717_fullText_52","36128717_fullText_53","36128717_fullText_54","36128717_fullText_111","36128717_fullText_113","36128717_fullText_114","36128717_fullText_114","36128717_fullText_114","36128717_fullText_114","36128717_fullText_115","36128717_fullText_115","36128717_fullText_116","36128717_fullText_117","36128717_fullText_118","36128717_fullText_119"]		36128717
Lysine	C0024337	MENTIONED_IN	["33001399_fullText_2","33001399_fullText_3","33001399_fullText_3","33001399_fullText_4","33001399_fullText_5","33001399_fullText_6","33001399_fullText_7","33001399_fullText_8","33001399_fullText_8"]		33001399
Lysine	C0024337	MENTIONED_IN	["24594605_fullText_7","24594605_fullText_9","24594605_fullText_9","24594605_fullText_9","24594605_fullText_9","24594605_fullText_9","24594605_fullText_10","24594605_fullText_10","24594605_fullText_11","24594605_fullText_12","24594605_fullText_19","24594605_fullText_19","24594605_fullText_19","24594605_fullText_19","24594605_fullText_20","24594605_fullText_23","24594605_fullText_25","24594605_fullText_26","24594605_fullText_47","24594605_fullText_53","24594605_fullText_53","24594605_fullText_54","24594605_fullText_55","24594605_fullText_56","24594605_fullText_57","24594605_fullText_57","24594605_fullText_59","24594605_fullText_62","24594605_fullText_63","24594605_fullText_71","24594605_fullText_72","24594605_fullText_73","24594605_fullText_73","24594605_fullText_77","24594605_fullText_77","24594605_fullText_77","24594605_fullText_77","24594605_fullText_77","24594605_fullText_77","24594605_fullText_86","24594605_fullText_97","24594605_fullText_97"]		24594605
Lysine	C0024337	MENTIONED_IN	["28125888_fullText_1"]		28125888
Lysine	C0024337	MENTIONED_IN	["1775140_fullText_7"]		1775140
Lysine	C0024337	MENTIONED_IN	["26967762_fullText_3","26967762_fullText_3","26967762_fullText_3","26967762_fullText_3","26967762_fullText_3","26967762_fullText_5","26967762_fullText_5","26967762_fullText_6","26967762_fullText_9","26967762_fullText_9","26967762_fullText_9","26967762_fullText_11"]		26967762
Lysine	C0024337	MENTIONED_IN	["31121257_fullText_1","31121257_fullText_3","31121257_fullText_5","31121257_fullText_6","31121257_fullText_7","31121257_fullText_8","31121257_fullText_8"]		31121257
Lysine	C0024337	MENTIONED_IN	["21820344_fullText_1","21820344_fullText_2","21820344_fullText_8","21820344_fullText_8","21820344_fullText_8","21820344_fullText_8","21820344_fullText_9"]		21820344
Lysine	C0024337	MENTIONED_IN	["28545977_fullText_5"]		28545977
Lysine	C0024337	MENTIONED_IN	["9392391_fullText_5"]		9392391
Lysine	C0024337	MENTIONED_IN	["21974953_fullText_4"]		21974953
Lysine	C0024337	MENTIONED_IN	["23218171_fullText_3","23218171_fullText_3","23218171_fullText_3","23218171_fullText_4","23218171_fullText_5","23218171_fullText_6","23218171_fullText_7"]		23218171
Lysine	C0024337	MENTIONED_IN	["21912879_fullText_10"]		21912879
Lysine	C0024337	MENTIONED_IN	["21968293_fullText_4"]		21968293
Lysine	C0024337	MENTIONED_IN	["15505399_fullText_1"]		15505399
Lysine	C0024337	MENTIONED_IN	["15505397_fullText_4"]		15505397
Lysine	C0024337	MENTIONED_IN	["3792386_fullText_2"]		3792386
Lysine	C0024337	MENTIONED_IN	["30208319_fullText_1","30208319_fullText_1"]		30208319
Lysine	C0024337	MENTIONED_IN	["27853989_fullText_1"]		27853989
Lysine	C0024337	MENTIONED_IN	["23395213_fullText_13"]		23395213
Lysine	C0024337	MENTIONED_IN	["23893049_fullText_1"]		23893049
Lysine	C0024337	MENTIONED_IN	["22999741_fullText_2","22999741_fullText_3","22999741_fullText_6"]		22999741
Lysine	C0024337	MENTIONED_IN	["9633984_fullText_7"]		9633984
Lysine	C0024337	MENTIONED_IN	["22845646_fullText_3"]		22845646
Lysine	C0024337	MENTIONED_IN	["33423247_fullText_1"]		33423247
Lysine	C0024337	MENTIONED_IN	["24996493_fullText_1","24996493_fullText_4","24996493_fullText_5","24996493_fullText_6","24996493_fullText_7"]		24996493
Lysine	C0024337	MENTIONED_IN	["36899559_fullText_2"]		36899559
Lysine	C0024337	MENTIONED_IN	["34799272_fullText_6"]		34799272
Lysine	C0024337	MENTIONED_IN	["19433437_fullText_1"]		19433437
Lysine	C0024337	MENTIONED_IN	["18477973_fullText_8"]		18477973
Lysine	C0024337	MENTIONED_IN	["22445450_fullText_5","22445450_fullText_5","22445450_fullText_6","22445450_fullText_7","22445450_fullText_8","22445450_fullText_11","22445450_fullText_12"]		22445450
Lysine	C0024337	MENTIONED_IN	["25558815_fullText_1","25558815_fullText_3","25558815_fullText_6","25558815_fullText_6","25558815_fullText_7","25558815_fullText_7","25558815_fullText_8","25558815_fullText_11","25558815_fullText_12"]		25558815
Lysine	C0024337	MENTIONED_IN	["15505398_fullText_1","15505398_fullText_1","15505398_fullText_2","15505398_fullText_5","15505398_fullText_6","15505398_fullText_6"]		15505398
Lysine	C0024337	MENTIONED_IN	["18183780_fullText_2"]		18183780
Lysine	C0024337	MENTIONED_IN	["8445849_fullText_3"]		8445849
Lysine	C0024337	MENTIONED_IN	["24498361_fullText_7","24498361_fullText_1","24498361_fullText_3","24498361_fullText_48","24498361_fullText_71"]		24498361
Lysine	C0024337	MENTIONED_IN	["30686684_fullText_5","30686684_fullText_5","30686684_fullText_7","30686684_fullText_8","30686684_fullText_9"]		30686684
Lysine	C0024337	MENTIONED_IN	["31491587_fullText_1"]		31491587
Lysine	C0024337	MENTIONED_IN	["26071121_fullText_2"]		26071121
Lysine	C0024337	MENTIONED_IN	["3182847_fullText_3"]		3182847
Lysine	C0024337	MENTIONED_IN	["14691600_fullText_4"]		14691600
Lysine	C0024337	MENTIONED_IN	["23658800_fullText_3","23658800_fullText_6","23658800_fullText_11","23658800_fullText_12","23658800_fullText_13","23658800_fullText_14","23658800_fullText_15","23658800_fullText_0","23658800_fullText_7","23658800_fullText_8","23658800_fullText_15","23658800_fullText_43","23658800_fullText_50","23658800_fullText_51","23658800_fullText_52","23658800_fullText_89","23658800_fullText_89","23658800_fullText_89","23658800_fullText_89","23658800_fullText_89","23658800_fullText_90","23658800_fullText_91","23658800_fullText_94","23658800_fullText_95","23658800_fullText_95","23658800_fullText_98","23658800_fullText_100","23658800_fullText_100","23658800_fullText_101","23658800_fullText_102","23658800_fullText_102","23658800_fullText_103","23658800_fullText_105","23658800_fullText_105","23658800_fullText_109","23658800_fullText_110","23658800_fullText_113","23658800_fullText_113","23658800_fullText_114","23658800_fullText_117","23658800_fullText_123","23658800_fullText_125","23658800_fullText_126","23658800_fullText_128","23658800_fullText_128","23658800_fullText_129","23658800_fullText_146","23658800_fullText_150","23658800_fullText_158","23658800_fullText_159","23658800_fullText_160","23658800_fullText_179","23658800_fullText_180"]		23658800
Lysine	C0024337	MENTIONED_IN	["22971958_fullText_1","22971958_fullText_2","22971958_fullText_2"]		22971958
Lysine	C0024337	MENTIONED_IN	["18683078_fullText_7"]		18683078
Lysine	C0024337	MENTIONED_IN	["6433313_fullText_2"]		6433313
Lysine	C0024337	MENTIONED_IN	["15351027_fullText_1"]		15351027
Lysine	C0024337	MENTIONED_IN	["34181873_fullText_1","34181873_fullText_2","34181873_fullText_2"]		34181873
Lysine	C0024337	MENTIONED_IN	["33081139_fullText_2","33081139_fullText_3","33081139_fullText_4","33081139_fullText_6","33081139_fullText_10","33081139_fullText_16","33081139_fullText_17","33081139_fullText_18","33081139_fullText_22","33081139_fullText_38","33081139_fullText_43","33081139_fullText_44","33081139_fullText_60","33081139_fullText_60"]		33081139
Lysine	C0024337	MENTIONED_IN	["23104440_fullText_1"]		23104440
Lysine	C0024337	MENTIONED_IN	["28143689_fullText_6","28143689_fullText_8"]		28143689
Lysine	C0024337	MENTIONED_IN	["28762469_fullText_4","28762469_fullText_4","28762469_fullText_4","28762469_fullText_4","28762469_fullText_5","28762469_fullText_6","28762469_fullText_6","28762469_fullText_6","28762469_fullText_6"]		28762469
Lysine	C0024337	MENTIONED_IN	["16466958_fullText_1"]		16466958
Lysine	C0024337	MENTIONED_IN	["29779173_fullText_1","29779173_fullText_1","29779173_fullText_4","29779173_fullText_5","29779173_fullText_6","29779173_fullText_6","29779173_fullText_7","29779173_fullText_9"]		29779173
Lysine	C0024337	MENTIONED_IN	["18285246_fullText_1"]		18285246
Lysine	C0024337	MENTIONED_IN	["8139602_fullText_1"]		8139602
Lysine	C0024337	MENTIONED_IN	["22728054_fullText_1","22728054_fullText_10"]		22728054
Lysine	C0024337	MENTIONED_IN	["10985795_fullText_1"]		10985795
Lysine	C0024337	MENTIONED_IN	["35639256_fullText_2"]		35639256
Lysine	C0024337	MENTIONED_IN	["1956737_fullText_7"]		1956737
Lysine	C0024337	MENTIONED_IN	["1945471_fullText_2","1945471_fullText_6"]		1945471
Lysine	C0024337	MENTIONED_IN	["19467937_fullText_4"]		19467937
Lysine	C0024337	MENTIONED_IN	["32339489_fullText_9"]		32339489
Lysine	C0024337	MENTIONED_IN	["35279367_fullText_2","35279367_fullText_10"]		35279367
Lysine	C0024337	MENTIONED_IN	["33113107_fullText_2","33113107_fullText_3","33113107_fullText_4"]		33113107
Lysine	C0024337	MENTIONED_IN	["37499576_fullText_1","37499576_fullText_6","37499576_fullText_1","37499576_fullText_6"]		37499576
Lysine	C0024337	MENTIONED_IN	["33200442_fullText_1","33200442_fullText_4","33200442_fullText_5"]		33200442
Lysine	C0024337	MENTIONED_IN	["27324284_fullText_1","27324284_fullText_3","27324284_fullText_4","27324284_fullText_5","27324284_fullText_6"]		27324284
Lysine	C0024337	MENTIONED_IN	["29053735_fullText_4"]		29053735
Lysine	C0024337	MENTIONED_IN	["34298455_fullText_2","34298455_fullText_3"]		34298455
Lysine	C0024337	MENTIONED_IN	["36225138_fullText_4","36225138_fullText_5"]		36225138
Lysine	C0024337	MENTIONED_IN	["37540965_fullText_1"]		37540965
Lysine	C0024337	MENTIONED_IN	["34153871_fullText_7"]		34153871
Lysine	C0024337	MENTIONED_IN	["21704546_fullText_12","21704546_fullText_13"]		21704546
Lysine	C0024337	MENTIONED_IN	["29061647_fullText_4"]		29061647
Lysine	C0024337	MENTIONED_IN	["22784480_fullText_3"]		22784480
Lysine	C0024337	MENTIONED_IN	["31340680_fullText_4","31340680_fullText_5"]		31340680
Lysine	C0024337	MENTIONED_IN	["31388081_fullText_1","31388081_fullText_1"]		31388081
Lysine	C0024337	MENTIONED_IN	["27615426_fullText_1","27615426_fullText_1","27615426_fullText_3","27615426_fullText_3","27615426_fullText_5"]		27615426
Lysine	C0024337	MENTIONED_IN	["27438048_fullText_12"]		27438048
