Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Hypertrophic Cardiomyopathy	C0007194	ISA	["34849584_fullText_41"]	Neuropathy	C0442874
Hypertrophic Cardiomyopathy	C0007194	ISA	["16483403_fullText_1"]	Neuromuscular Diseases	C0027868
Leigh syndrome , French Canadian type	C1857355	CAUSES	["20220140_fullText_85"]	Mitochondrial Diseases	C0751651
Leigh syndrome , French Canadian type	C1857355	ISA	["32972427_fullText_0"]	Degenerative disorder	C1285162
Leigh syndrome , French Canadian type	C1857355	ISA	["25214534_fullText_1"]	Neurodegenerative Disorders	C0524851
Leigh syndrome , French Canadian type	C1857355	ISA	["30995105_fullText_1","33085679_fullText_104"]	Mitochondrial Diseases	C0751651
Leigh syndrome , French Canadian type	C1857355	ISA	["28575497_fullText_1","25835550_fullText_1","25214534_fullText_1","22045337_fullText_2","20200222_fullText_1","25835550_fullText_0","32972427_fullText_0"]	Leigh Disease	C0023264
Leigh syndrome , French Canadian type	C1857355	ISA	["15139850_fullText_1"]	Cytochrome-c Oxidase Deficiency	C0268237
Leigh syndrome , French Canadian type	C1857355	ISA	["33085679_fullText_141"]	Rare Diseases	C0678236
Leigh syndrome , French Canadian type	C1857355	IS_A		Cytochrome-c Oxidase Deficiency	C0268237
Mitochondrial Myopathies	C0162670	IS_A		Myopathy	C0026848
Acidosis, Lactic	C0001125	COEXISTS_WITH	["10590436_fullText_1"]	Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345
Acidosis, Lactic	C0001125	COEXISTS_WITH	["3027293_fullText_2"]	NADH:Q(1) Oxidoreductase deficiency	C2936907
Acidosis, Lactic	C0001125	COEXISTS_WITH	["8151084_fullText_1"]	Encephalopathies	C0085584
Acidosis, Lactic	C0001125	COEXISTS_WITH	["1324178_fullText_1","10342600_fullText_1","24957181_fullText_75"]	Leigh Disease	C0023264
Acidosis, Lactic	C0001125	ISA	["26565911_fullText_45","33256818_fullText_88"]	Metabolic Diseases	C0025517
Acidosis, Lactic	C0001125	PREDISPOSES	["29390978_fullText_32"]	metabolic disturbance	C0746556
Acidosis, Lactic	C0001125	COEXISTS_WITH__SPEC__	["8151084_fullText_1"]	Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345
Acidosis, Lactic	C0001125	PREDISPOSES__SPEC__	["26565911_fullText_45"]	Impaired glucose tolerance	C0271650
Acidosis, Lactic	C0001125	MANIFESTATION_OF	["30659264_fullText_3"]	Leigh Disease	C0023264
Failure to Thrive	C0015544	COEXISTS_WITH	["2235121_fullText_1"]	Lesch-Nyhan Syndrome	C0023374
Failure to Thrive	C0015544	COEXISTS_WITH	["10571768_fullText_2"]	Syndrome	C0039082
Failure to Thrive	C0015544	COEXISTS_WITH	["27977873_fullText_78","24731534_fullText_48"]	Leigh Disease	C0023264
Failure to Thrive	C0015544	CAUSES	["29907092_fullText_65"]	Malnutrition	C0162429
Failure to Thrive	C0015544	MANIFESTATION_OF	["30659264_fullText_3"]	Leigh Disease	C0023264
Developmental regression	C1836830	COEXISTS_WITH	["28671587_fullText_3"]	Epilepsy	C0014544
Optic Atrophy, Hereditary, Leber	C0917796	ISA	["12205655_fullText_1"]	Mitochondrial Diseases	C0751651
Optic Atrophy, Hereditary, Leber	C0917796	IS_A		Disorder of the optic nerve	C0029132
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	COEXISTS_WITH	["24028823_fullText_2"]	Optic Atrophy	C0029124
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	COEXISTS_WITH	["17106447_fullText_5"]	Syndrome	C0039082
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	COEXISTS_WITH	["29429571_fullText_1"]	Mitochondrial Diseases	C0751651
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	COEXISTS_WITH	["24028823_fullText_2","24731534_fullText_112"]	Leigh Disease	C0023264
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["27502960_fullText_0"]	Non-Neoplastic Pediatric Disorder	C2982732
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["2104930_fullText_4","14705112_fullText_2"]	Mitochondrial encephalopathy	C1852373
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["17604671_fullText_1","12616398_fullText_1"]	Mitochondrial Diseases	C0751651
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["8044652_fullText_5","26826406_fullText_1","22947169_fullText_3","19470250_fullText_2","19364667_fullText_1","19364667_fullText_2","18486820_fullText_5","18155376_fullText_6"]	Leigh Disease	C0023264
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["26826406_fullText_1"]	Lactic Acidosis, Fatal Infantile	C3502298
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["2104930_fullText_4"]	Acidosis, Lactic	C0001125
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["2104930_fullText_4"]	Myopathy	C0026848
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	CAUSES	["26826406_fullText_1"]	Cardiomyopathies	C0878544
Multisystem disorder	C0559758	COEXISTS_WITH	["37507215_fullText_4"]	Scleritis	C0036416
Multisystem disorder	C0559758	COEXISTS_WITH	["37507215_fullText_4"]	Exophthalmos	C0015300
Multisystem disorder	C0559758	COEXISTS_WITH	["37507215_fullText_4"]	Episcleritis	C0014583
Multisystem disorder	C0559758	COEXISTS_WITH	["6999006_fullText_4"]	Myotonic Dystrophy	C0027126
Multisystem disorder	C0559758	COEXISTS_WITH__SPEC__	["31361628_fullText_9"]	Myasthenias	C0947912
MELAS Syndrome	C0162671	IS_A		Mitochondrial Encephalomyopathies	C0162666
Cerebrovascular accident	C0038454	CAUSES	["19579665_fullText_5"]	Hemiparesis	C0018989
Cerebrovascular accident	C0038454	ISA	["34731067_fullText_2","36814151_fullText_2"]	nervous system disorder	C0027765
Cerebrovascular accident	C0038454	AFFECTS	["34731067_fullText_2"]	nervous system disorder	C0027765
Cerebrovascular accident	C0038454	AFFECTS	["37126535_fullText_3"]	Pneumonia	C0032285
Cerebrovascular accident	C0038454	AFFECTS__SPEC__	["34731067_fullText_2"]	Migraine Disorders	C0149931
Cerebrovascular accident	C0038454	PRECEDES	["34731070_fullText_11"]	Thalamic infarction	C1611171
Cerebrovascular accident	C0038454	PRECEDES	["34538154_fullText_4"]	Strudwick syndrome	C0700635
Cerebrovascular accident	C0038454	PRECEDES	["33725863_fullText_1"]	Secondary disease	C0277555
Cerebrovascular accident	C0038454	PRECEDES	["35416612_fullText_1"]	Pneumonia	C0032285
Pleocytosis	C0151857	AFFECTS	["37968847_fullText_5"]	Acute hypernatremia	C0268011
Respiratory Distress Syndrome, Newborn	C0035220	COEXISTS_WITH	["31308188_fullText_1"]	Fetal Distress	C0015930
Kidney Failure	C0035078	COEXISTS_WITH	["37865952_fullText_7"]	Lesch-Nyhan Syndrome	C0023374
Kidney Failure	C0035078	IS_A		Kidney Diseases	C0022658
Encephalitis	C0014038	IS_A		Encephalopathies	C0085584
Encephalitis	C0014038	ISA	["10598058_fullText_1","32160317_fullText_78"]	Encephalopathies	C0085584
Lesion of brain	C0221505	COEXISTS_WITH	["17401656_fullText_1"]	Phenylketonurias	C0031485
Lesion of brain	C0221505	COEXISTS_WITH	["36813312_fullText_6"]	Mitochondrial Diseases	C0751651
Lesion of brain	C0221505	COEXISTS_WITH	["33097395_fullText_2"]	Syndrome	C0039082
Lesion of brain	C0221505	COEXISTS_WITH	["12767455_fullText_1"]	Encephalomyelopathy	C0598106
MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979	COEXISTS_WITH	["38458030_fullText_2"]	Leigh Disease	C0023264
MITOCHONDRIAL COMPLEX I DEFICIENCY	C1838979	IS_A		Mitochondrial Diseases	C0751651
Macrocephaly	C0221355	COEXISTS_WITH	["30570710_fullText_60"]	Glutaric aciduria	C0268594
Macrocephaly	C0221355	COEXISTS_WITH	["31062211_fullText_82"]	OROFACIAL CLEFT 1	C1861537
Macrocephaly	C0221355	COEXISTS_WITH	["11854167_fullText_2"]	Glutaric aciduria, type 1	C0268595
Macrocephaly	C0221355	COEXISTS_WITH	["28389991_fullText_1"]	Metabolic Diseases	C0025517
Macrocephaly	C0221355	LOCATION_OF	["31960914_abstract_1"]	Leukoencephalopathies	C0270612
Leukodystrophy	C0023520	COEXISTS_WITH	["19774456_fullText_9"]	Cerebral atrophy	C0235946
Leukodystrophy	C0023520	COEXISTS_WITH	["17209980_fullText_4"]	Leigh Disease	C0023264
Leukodystrophy	C0023520	ISA	["38239149_fullText_1","38239149_abstract_1"]	Hereditary Diseases	C0019247
Leukodystrophy	C0023520	ISA	["37755460_fullText_1"]	Rare Diseases	C0678236
Leukodystrophy	C0023520	MANIFESTATION_OF	["1492653_fullText_1"]	Neurodegenerative Disorders	C0524851
Leukodystrophy	C0023520	IS_A		Degenerative brain disorder	C0154671
Tonic - clonic seizures	C0494475	COEXISTS_WITH	["16369068_fullText_5"]	Syndrome	C0039082
Necrotizing Encephalomyelopathy, Subacute, of Leigh, Adult	C1834340	ISA	["30743023_fullText_1"]	Mitochondrial Diseases	C0751651
Necrotizing Encephalomyelopathy, Subacute, of Leigh, Adult	C1834340	MANIFESTATION_OF	["12447928_fullText_7"]	COENZYME Q10 DEFICIENCY	C1843920
Mitochondrial Encephalomyopathies	C0162666	COEXISTS_WITH	["26176921_fullText_4"]	Leigh Disease	C0023264
Mitochondrial Encephalomyopathies	C0162666	COEXISTS_WITH	["10637838_fullText_8"]	Alpers Syndrome (disorder)	C0205710
Mitochondrial Encephalomyopathies	C0162666	ISA	["32162843_fullText_74","35767235_fullText_1"]	Mitochondrial Diseases	C0751651
Mitochondrial Encephalomyopathies	C0162666	IS_A		Mitochondrial Myopathies	C0162670
Ketosis	C0022638	COEXISTS_WITH	["32972427_fullText_7"]	Leigh syndrome , French Canadian type	C1857355
CNS disorder	C0007682	IS_A		nervous system disorder	C0027765
Mitochondrial encephalopathy	C1852373	COEXISTS_WITH	["35393351_fullText_1"]	Ventricular hypertrophy	C0340279
Mitochondrial encephalopathy	C1852373	ISA	["33256818_fullText_88"]	Metabolic Diseases	C0025517
Cardiomyopathies	C0878544	COEXISTS_WITH	["37507215_fullText_7"]	Hepatolenticular Degeneration	C0019202
Cardiomyopathies	C0878544	COEXISTS_WITH	["24731534_fullText_121"]	Mitochondrial Diseases	C0751651
Cardiomyopathies	C0878544	COEXISTS_WITH	["17355552_fullText_1"]	Muscular Dystrophy, Duchenne	C0013264
Cardiomyopathies	C0878544	COEXISTS_WITH	["17217326_fullText_1"]	Heart Diseases	C0018799
Cardiomyopathies	C0878544	COEXISTS_WITH	["12355886_fullText_9","12007696_fullText_1"]	Myotonic Dystrophy	C0027126
Cardiomyopathies	C0878544	COEXISTS_WITH	["17217326_fullText_1"]	Muscular Dystrophy	C0026850
Cardiomyopathies	C0878544	COEXISTS_WITH	["19616603_fullText_2"]	Cytochrome-c Oxidase Deficiency	C0268237
Cardiomyopathies	C0878544	ISA	["17575483_fullText_3","17217326_fullText_1"]	Heart Diseases	C0018799
Cardiomyopathies	C0878544	PREDISPOSES	["21640397_fullText_7"]	cardiac event	C0741923
Cardiomyopathies	C0878544	COEXISTS_WITH__SPEC__	["17217326_fullText_1"]	Muscular Dystrophy	C0026850
Cardiomyopathies	C0878544	COEXISTS_WITH__SPEC__	["12297897_fullText_4"]	Coronary Arteriosclerosis	C0010054
Cardiomyopathies	C0878544	MANIFESTATION_OF	["25873781_fullText_58"]	Atrial Fibrillation	C0004238
Cardiomyopathies	C0878544	IS_A		Heart Diseases	C0018799
Liver diseases	C0023895	COEXISTS_WITH	["38198573_fullText_4","38198573_abstract_4"]	Argininosuccinic Aciduria	C0268547
Liver diseases	C0023895	COEXISTS_WITH	["32145091_fullText_187"]	Rare Diseases	C0678236
Liver diseases	C0023895	COEXISTS_WITH	["24069936_fullText_0"]	Epilepsy	C0014544
Liver diseases	C0023895	COEXISTS_WITH	["22729865_fullText_8"]	Leigh Disease	C0023264
Liver diseases	C0023895	COEXISTS_WITH	["35732497_fullText_3","24982104_fullText_1"]	Congenital Disorders	C0242354
Liver diseases	C0023895	CAUSES	["32035166_abstract_2"]	brain dysfunction	C0262405
Liver diseases	C0023895	CAUSES	["29139025_fullText_66"]	Blood Coagulation Disorders	C0005779
Liver diseases	C0023895	PREDISPOSES	["29139025_fullText_95"]	Blood Coagulation Disorders	C0005779
Liver diseases	C0023895	IS_A		hepatobiliary disease	C0267792
Leukoencephalopathies	C0270612	COEXISTS_WITH	["31960914_abstract_1"]	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS	C1858854
Systemic disease	C0442893	COEXISTS_WITH	["7231901_fullText_1"]	Cataract secondary to ocular disorder	C0152259
Systemic disease	C0442893	CAUSES	["12632995_fullText_1"]	Disorder of macula of retina	C0730362
Urea Cycle Disorders, Inborn	C0154246	IS_A		Amino Acid Metabolism, Inborn Errors	C0002514
Migraine Disorders	C0149931	ISA	["34382533_fullText_1","34503443_fullText_1"]	Headache Disorders, Primary	C1565106
Migraine Disorders	C0149931	ISA	["35593784_fullText_1"]	Vascular Diseases	C0042373
Migraine Disorders	C0149931	ISA	["34731067_fullText_2","34563047_fullText_1","33797074_fullText_1","37426628_fullText_1"]	nervous system disorder	C0027765
Migraine Disorders	C0149931	AFFECTS	["34731067_fullText_2"]	nervous system disorder	C0027765
Migraine Disorders	C0149931	AFFECTS__SPEC__	["34731067_fullText_2"]	Cerebrovascular accident	C0038454
Migraine Disorders	C0149931	IS_A		Encephalopathies	C0085584
Vestibulocochlear Nerve Diseases	C0001163	IS_A		Cranial nerve diseases	C0010266
Liver Failure	C0085605	COEXISTS_WITH	["19760908_fullText_3"]	Alpers Syndrome (disorder)	C0205710
Hypoglycemia	C0020615	COEXISTS_WITH	["30419932_fullText_132"]	Secondary Adrenal Insufficiency	C0948387
Hypoglycemia	C0020615	COEXISTS_WITH	["6158623_fullText_1"]	Comatose	C0009421
Hypoglycemia	C0020615	CAUSES	["35308014_fullText_162"]	Afebrile seizure	C0863106
Hypoglycemia	C0020615	CAUSES	["35972062_fullText_4"]	Seizures, hypoglycemic	C0877056
Hypoglycemia	C0020615	IS_A		Glucose Metabolism Disorders	C1257958
Maternally Inherited Leigh Syndrome	C2931092	ISA	["17855363_fullText_1"]	Mitochondrial Diseases	C0751651
Retinitis Pigmentosa	C0035334	COEXISTS_WITH	["25807530_fullText_52"]	Leigh Disease	C0023264
Retinitis Pigmentosa	C0035334	COEXISTS_WITH	["25807530_fullText_52"]	Nonsyndromic Deafness	C3711374
Retinitis Pigmentosa	C0035334	COEXISTS_WITH	["4040383_fullText_1"]	Myotonic Dystrophy	C0027126
Retinitis Pigmentosa	C0035334	COEXISTS_WITH	["12011746_fullText_7"]	Congenital disorder of glycosylation type 1A	C0349653
Retinitis Pigmentosa	C0035334	COEXISTS_WITH	["11020111_fullText_3"]	Glutaric aciduria	C0268594
Retinitis Pigmentosa	C0035334	COEXISTS_WITH	["9286453_fullText_1"]	Multisystem disorder	C0559758
Retinitis Pigmentosa	C0035334	CAUSES	["26287655_fullText_25"]	Night Blindness	C0028077
Retinitis Pigmentosa	C0035334	CAUSES	["26287655_fullText_25"]	Retinal Diseases	C0035309
Retinitis Pigmentosa	C0035334	CAUSES	["36220650_fullText_1"]	Usher Syndrome	C0271097
Retinitis Pigmentosa	C0035334	ISA	["25630614_fullText_51"]	Syndrome	C0039082
Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation	C1970180	ISA	["33182419_fullText_6","33182419_fullText_61"]	Leukoencephalopathies	C0270612
Cyst	C0010709	COEXISTS_WITH	["7567228_fullText_4"]	Zellweger Syndrome	C0043459
Floppy infant syndrome	C0270971	LOCATION_OF	["28344438_fullText_12"]	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	C1852502
Floppy infant syndrome	C0270971	COEXISTS_WITH	["24932094_fullText_30"]	Multisystem disorder	C0559758
Floppy infant syndrome	C0270971	COEXISTS_WITH	["31985178_fullText_1"]	Rare Diseases	C0678236
Floppy infant syndrome	C0270971	COEXISTS_WITH	["29483676_fullText_1"]	Myasthenic Syndromes, Congenital	C0751882
Floppy infant syndrome	C0270971	COEXISTS_WITH	["8933342_fullText_2"]	Peroxisomal Disorders	C0282528
Enzyme Deficiency	C0149676	COEXISTS_WITH	["19542079_fullText_87"]	Leigh Disease	C0023264
Enzyme Deficiency	C0149676	COEXISTS_WITH	["8507691_fullText_1"]	Peroxisomal Disorders	C0282528
Enzyme Deficiency	C0149676	CAUSES	["7766947_fullText_5"]	Syndrome	C0039082
Enzyme Deficiency	C0149676	CAUSES	["37460269_fullText_1"]	Lysosomal Storage Diseases	C0085078
Enzyme Deficiency	C0149676	CAUSES	["1282286_fullText_2"]	nervous system disorder	C0027765
Enzyme Deficiency	C0149676	CAUSES__SPEC__	["30221392_fullText_1"]	Hyperphenylalaninemia, Non-Phenylketonuric	C0751436
Measles	C0025007	IS_A		Virus Diseases	C0042769
Mumps	C0026780	IS_A		Herpangina	C0019338
Brain Diseases, Metabolic	C0006112	COEXISTS_WITH	["17508309_fullText_5"]	Communicable Diseases	C0009450
Mitochondrial Respiratory Chain Deficiencies	C0949857	CAUSES	["35856138_fullText_5","23953430_fullText_1"]	Leigh Disease	C0023264
Mitochondrial Respiratory Chain Deficiencies	C0949857	CAUSES	["28916229_fullText_1"]	Mitochondrial Diseases	C0751651
Mitochondrial Respiratory Chain Deficiencies	C0949857	CAUSES__SPEC__	["28916229_fullText_1"]	Leigh Disease	C0023264
Inborn Errors of Metabolism	C0025521	LOCATION_OF	["18953372_fullText_1"]	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	C1852502
Inborn Errors of Metabolism	C0025521	ISA	["36579437_fullText_1"]	Glycogen Storage Disease	C0017919
Inborn Errors of Metabolism	C0025521	ISA	["32852845_fullText_1","32389449_fullText_1","36579437_fullText_1"]	Congenital Disorders	C0242354
Inborn Errors of Metabolism	C0025521	IS_A		Hereditary Diseases	C0019247
Coronavirus Infections	C0206750	CAUSES	["36460816_fullText_1"]	Acute respiratory infections	C0339901
Vascular Diseases	C0042373	ISA	["34214369_fullText_2"]	Cardiovascular Diseases	C0007222
Vascular Diseases	C0042373	AFFECTS	["34651295_fullText_5"]	Migraine Disorders	C0149931
Ischemic stroke	C0948008	CAUSES	["36543208_fullText_29"]	Posterior reversible encephalopathy syndrome	C3160858
Ischemic stroke	C0948008	CAUSES	["24468193_fullText_4"]	Cerebrovascular Occlusion	C0596298
Cerebral Palsy	C0007789	ISA	["25011953_fullText_3"]	Movement Disorders	C0026650
Cerebral Palsy	C0007789	COMPLICATES	["15948752_fullText_3"]	Myotonic Dystrophy	C0027126
Cerebral Palsy	C0007789	IS_A		Encephalopathies	C0085584
COENZYME Q10 DEFICIENCY	C1843920	ISA	["12535666_fullText_1"]	Mitochondrial Diseases	C0751651
COENZYME Q10 DEFICIENCY	C1843920	CAUSES	["12535666_fullText_1"]	Mitochondrial Diseases	C0751651
Hypertrichosis	C0020555	IS_A		Hair Diseases	C0018500
Hypertrichosis	C0020555	ISA	["24433453_fullText_5"]	Dermatologic disorders	C0037274
Ptosis	C0033377	COEXISTS_WITH	["18797171_fullText_1"]	Myasthenic Syndromes, Congenital	C0751882
Ptosis	C0033377	COEXISTS_WITH	["11234561_fullText_10"]	Polymyositis	C0085655
Tooth Diseases	C0040435	IS_A		Mouth Diseases	C0026636
Spermatic Cord Torsion	C0037856	IS_A		Testicular Diseases	C0039584
Rheumatoid Arthritis, Systemic Juvenile	C1858558	COEXISTS_WITH	["11992763_fullText_2"]	Acute necrotizing encephalopathy	C1855020
Reye Syndrome	C0035400	IS_A		Syndrome	C0039082
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	CAUSES	["33661577_fullText_46"]	Syndrome	C0039082
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	CAUSES	["15798212_fullText_1"]	Acidosis, Lactic	C0001125
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	CAUSES	["15798212_fullText_1"]	Encephalomyelopathy	C0598106
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	CAUSES	["8151084_fullText_1"]	Encephalopathies	C0085584
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	CAUSES	["3125426_fullText_1","3125426_fullText_16"]	Leigh Disease	C0023264
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	ISA	["23021068_fullText_1"]	Mitochondrial Diseases	C0751651
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	ISA	["8151084_fullText_1"]	Encephalopathies	C0085584
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	ISA	["15798212_fullText_1"]	Acidosis, Lactic	C0001125
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	ISA	["8411720_fullText_3"]	Syndrome	C0039082
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	ISA	["3018357_fullText_1"]	nervous system disorder	C0027765
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	MANIFESTATION_OF__SPEC__	["10360771_fullText_1"]	Leigh Disease	C0023264
Pyruvate Dehydrogenase Complex Deficiency Disease	C0034345	IS_A		Carbohydrate Metabolism, Inborn Errors	C0007001
Wernicke Encephalopathy	C0043121	COEXISTS_WITH	["37525097_fullText_12"]	Impairment level: total impairment of both eyes (disorder)	C0271217
Wernicke Encephalopathy	C0043121	IS_A		Encephalopathies	C0085584
Disorder characterized by fever	C0743841	COEXISTS_WITH	["38374165_fullText_2"]	Developmental regression	C1836830
Disorder characterized by fever	C0743841	COEXISTS_WITH	["23970718_fullText_16"]	Glutaric aciduria, type 1	C0268595
Disorder characterized by fever	C0743841	CAUSES	["23970718_fullText_16"]	catabolic state	C0853892
Disorder characterized by fever	C0743841	COEXISTS_WITH	["23970718_fullText_16"]	Diabetes Mellitus, Insulin-Dependent	C0011854
Disorder characterized by fever	C0743841	CAUSES	["34247178_fullText_5"]	Kidney Failure, Acute	C0022660
Disorder characterized by fever	C0743841	CAUSES	["15505385_fullText_3","14705106_fullText_3"]	Dystonia Disorders	C0393593
Disorder characterized by fever	C0743841	CAUSES	["15505397_fullText_1"]	Glutaric aciduria, type 1	C0268595
Sulfite oxidase deficiency	C0268624	CAUSES	["29426806_fullText_2"]	ADRENAL CORTEX DYSFUNCTION	C0235454
Sulfite oxidase deficiency	C0268624	CAUSES	["7834040_fullText_9"]	Leigh Disease	C0023264
Exanthema Subitum	C0015231	IS_A		Virus Diseases	C0042769
Status Epilepticus	C0038220	PRECEDES	["33830944_fullText_9"]	Epilepsy	C0014544
Status Epilepticus	C0038220	IS_A		Epilepsy	C0014544
Quadriplegia	C0034372	IS_A		CNS disorder	C0007682
Quadriplegia	C0034372	COEXISTS_WITH	["34246313_fullText_68"]	Neurodegenerative Disorders	C0524851
Abducens Nerve Diseases	C0271355	IS_A		Cranial nerve palsies	C0151311
Pelizaeus-Merzbacher Disease	C0205711	ISA	["7554683_fullText_3"]	Degenerative disorder	C1285162
Generalized seizures	C0234533	COEXISTS_WITH	["10978228_fullText_1"]	Rare Diseases	C0678236
Glutaric aciduria, type 1	C0268595	CAUSES	["24135440_fullText_37"]	Strudwick syndrome	C0700635
Glutaric aciduria, type 1	C0268595	CAUSES	["1951469_fullText_2"]	Cerebral Palsy	C0007789
Glutaric aciduria, type 1	C0268595	CAUSES	["24332224_fullText_1","21709643_fullText_1"]	Rare Diseases	C0678236
Glutaric aciduria, type 1	C0268595	CAUSES	["1951469_fullText_2"]	Acute encephalopathy	C1306587
Glutaric aciduria, type 1	C0268595	ISA	["20437086_fullText_1","17508309_fullText_1"]	Hereditary Diseases	C0019247
Glutaric aciduria, type 1	C0268595	ISA	["10759157_fullText_9"]	nervous system disorder	C0027765
Glutaric aciduria, type 1	C0268595	ISA	["29458885_fullText_1","36221165_fullText_1","27165598_fullText_1","26111870_fullText_1","18477973_fullText_1","18183780_fullText_1","17622945_fullText_1","14716240_fullText_1","16641220_fullText_1","31952437_fullText_0","29335023_fullText_49"]	Rare Diseases	C0678236
Glutaric aciduria, type 1	C0268595	ISA	["15774829_fullText_1","1945471_fullText_2","2960429_fullText_1","25721963_fullText_7","29335023_fullText_65"]	Metabolic Diseases	C0025517
Congenital neurologic anomalies	C0497552	COEXISTS_WITH	["28762469_fullText_6"]	Glutaric aciduria, type 1	C0268595
Congenital neurologic anomalies	C0497552	COEXISTS_WITH	["24888952_fullText_2"]	Peroxisomal Disorders	C0282528
Congenital neurologic anomalies	C0497552	CAUSES	["9618997_fullText_6"]	Refractory epilepsy	C1096063
Congenital neurologic anomalies	C0497552	CAUSES	["9618997_fullText_6"]	Syndrome	C0039082
Complex V deficiency	C0342779	CAUSES	["24399447_fullText_9"]	Cytochrome-c Oxidase Deficiency	C0268237
Complex V deficiency	C0342779	COEXISTS_WITH	["35055180_fullText_114"]	Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776
Kearns-Sayre syndrome	C0022541	COEXISTS_WITH	["10412694_fullText_5"]	Sporadic disorder	C0277552
Kearns-Sayre syndrome	C0022541	CAUSES	["19791729_fullText_4"]	Parinaud Syndrome	C0152222
Kearns-Sayre syndrome	C0022541	CAUSES	["19791729_fullText_1"]	Neurodegenerative Disorders	C0524851
Kearns-Sayre syndrome	C0022541	ISA	["18329833_fullText_3"]	Mitochondrial Diseases	C0751651
Kearns-Sayre syndrome	C0022541	ISA	["9286453_fullText_1"]	Chronic progressive external ophthalmoplegia	C0162674
Kearns-Sayre syndrome	C0022541	ISA	["9286453_fullText_1"]	Retinitis Pigmentosa	C0035334
Kearns-Sayre syndrome	C0022541	ISA	["31479473_fullText_4"]	Syndrome	C0039082
Kearns-Sayre syndrome	C0022541	CAUSES__SPEC__	["19791729_fullText_1"]	Leigh Disease	C0023264
Kearns-Sayre syndrome	C0022541	COEXISTS_WITH__SPEC__	["9286453_fullText_1"]	Multisystem disorder	C0559758
Kearns-Sayre syndrome	C0022541	IS_A		Chronic progressive external ophthalmoplegia	C0162674
Encephalopathy, Subacute Necrotizing, Infantile	C0751267	ISA	["17400793_fullText_7"]	Encephalopathies	C0085584
Encephalopathy, Subacute Necrotizing, Infantile	C0751267	ISA	["25111564_fullText_1"]	Neurodegenerative Disorders	C0524851
Myoclonic Epilepsies, Progressive	C0751778	COEXISTS_WITH	["10927802_fullText_2"]	Unverricht-Lundborg Syndrome	C0751785
Pancytopenia	C0030312	IS_A		Anemia	C0002871
Pancytopenia	C0030312	COEXISTS_WITH__SPEC__	["32059522_fullText_32"]	Pearson's marrow-pancreas syndrome	C0342784
Pancytopenia	C0030312	COEXISTS_WITH	["32059522_fullText_32"]	Syndrome	C0039082
Pancytopenia	C0030312	COEXISTS_WITH	["34159722_fullText_2"]	UDPglucose 4-epimerase deficiency disease	C0751161
Thiamine Deficiency	C0039841	CAUSES	["37525097_fullText_1"]	Wernicke Encephalopathy	C0043121
Thiamine Deficiency	C0039841	CAUSES	["37525097_fullText_1"]	Subacute disease	C0277537
Blindness, Cortical	C0155320	IS_A		Visual cortex dysfunction	C0234398
metabolic disturbance	C0746556	COEXISTS_WITH	["11549662_fullText_1"]	Myotonic Dystrophy	C0027126
metabolic disturbance	C0746556	COEXISTS_WITH	["35806019_fullText_5"]	Obesity	C0028754
metabolic disturbance	C0746556	CAUSES	["1313675_fullText_1"]	Leigh Disease	C0023264
