Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Ataxia, Spinocerebellar	C0087012	COEXISTS_WITH	["33951232_fullText_1","32789747_fullText_2","23775899_fullText_1"]	Machado-Joseph Disease	C0024408
Ataxia, Spinocerebellar	C0087012	ISA	["16389311_fullText_3"]	Machado-Joseph Disease	C0024408
Ataxia, Spinocerebellar	C0087012	ISA	["31211461_fullText_1","30173407_fullText_1","22666787_fullText_1","20414586_fullText_2","32867861_fullText_10"]	Neurodegenerative Disorders	C0524851
Ataxia, Spinocerebellar	C0087012	AFFECTS	["29789616_fullText_53"]	Spinocerebellar Ataxia 10	C1963674
Ataxia, Spinocerebellar	C0087012	COEXISTS_WITH__SPEC__	["8957019_fullText_1"]	Machado-Joseph Disease	C0024408
Machado-Joseph Disease Type III	C0751670	ISA	["32515873_fullText_1","32515873_fullText_2","32515873_fullText_8"]	Ataxia, Spinocerebellar	C0087012
Machado-Joseph Disease Type III	C0751670	ISA	["36334556_fullText_1","29427111_fullText_1","29427106_fullText_1","19843543_fullText_1","16241973_fullText_1"]	Machado-Joseph Disease	C0024408
Cardiac Arrest	C0018790	CAUSES	["7655453_fullText_1"]	Progressive cerebellar ataxia	C0393525
Movement Disorders	C0026650	COEXISTS_WITH	["38142628_fullText_1"]	Phenylketonurias	C0031485
Movement Disorders	C0026650	COEXISTS_WITH	["21431622_fullText_323","21431622_fullText_352"]	Glutaric aciduria, type 1	C0268595
Movement Disorders	C0026650	COEXISTS_WITH	["37994885_fullText_1"]	Parkinson Disease	C0030567
Movement Disorders	C0026650	COEXISTS_WITH	["34334401_fullText_7"]	Alzheimer's Disease	C0002395
Movement Disorders	C0026650	COEXISTS_WITH	["29734917_fullText_1"]	Neurodegenerative Disorders	C0524851
Movement Disorders	C0026650	ISA	["36038457_fullText_4"]	Parkinson Disease	C0030567
Movement Disorders	C0026650	ISA	["36038457_fullText_4"]	Huntington Disease	C0020179
Movement Disorders	C0026650	IS_A		Encephalopathies	C0085584
Toxic Epidermal Necrolysis	C0014518	COEXISTS_WITH	["37231731_fullText_4","37231731_abstract_4"]	HIV Infections	C0019693
Myositis	C0027121	IS_A		Myopathy	C0026848
Parkinsonian Disorders	C0242422	COEXISTS_WITH	["15390012_fullText_1"]	Phenylketonurias	C0031485
Parkinsonian Disorders	C0242422	COEXISTS_WITH	["35837753_fullText_3","7574470_fullText_1"]	Machado-Joseph Disease	C0024408
Parkinsonian Disorders	C0242422	ISA	["34042043_fullText_1"]	Neurodegenerative Disorders	C0524851
Parkinsonian Disorders	C0242422	AFFECTS	["19811945_fullText_9"]	Machado-Joseph Disease	C0024408
Distal Muscular Dystrophies	C0751336	IS_A		Muscular Dystrophy	C0026850
Sensory neuropathy	C0151313	COEXISTS_WITH	["30419932_fullText_3"]	Infantile spasms	C0037769
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["32745980_fullText_3","32745980_fullText_5"]	Spinocerebellar Ataxia 10	C1963674
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["11176969_fullText_1"]	Parkinsonian Disorders	C0242422
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["23515636_fullText_9"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["9771779_fullText_2"]	Spinocerebellar Ataxia Type 1	C0752120
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["35247757_fullText_3"]	Amyotrophic Lateral Sclerosis	C0002736
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["35247757_fullText_3","8926495_fullText_7"]	Huntington Disease	C0020179
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["9343141_fullText_5"]	Axonal neuropathy	C0270921
Machado-Joseph Disease	C0024408	CAUSES	["9613852_fullText_9","9629399_fullText_10","8559378_fullText_8","8125487_fullText_2"]	Cardiac Arrest	C0018790
Machado-Joseph Disease	C0024408	CAUSES	["11559318_fullText_8"]	Movement Disorders	C0026650
Machado-Joseph Disease	C0024408	CAUSES	["15261879_fullText_5","11176969_fullText_6"]	Parkinsonian Disorders	C0242422
Machado-Joseph Disease	C0024408	CAUSES	["11133357_fullText_2"]	Ataxia, Spinocerebellar	C0087012
Machado-Joseph Disease	C0024408	CAUSES	["25139423_fullText_1"]	Cerebellar Diseases	C0007760
Machado-Joseph Disease	C0024408	CAUSES	["8937340_fullText_12"]	Ataxias, Hereditary	C0004138
Machado-Joseph Disease	C0024408	ISA	["37561033_fullText_1","35869235_fullText_2","32638517_fullText_1","31157458_fullText_1","31127937_fullText_1","30856185_fullText_1","30343032_fullText_2","29427108_fullText_1","26505994_fullText_1","25112410_fullText_3","24548080_fullText_1","25369462_fullText_1","23994570_fullText_1","12433269_fullText_1","10072437_fullText_1"]	Heredodegenerative Disorders, Nervous System	C0751870
