Disease	Disease_id	RELATION	PROVENANCE	Gene	Gene_id
Adrenoleukodystrophy	C0162309	IS_TREATED	["31978407_abstract_1"]	PCSK7 gene	C1418392
Adrenoleukodystrophy	C0162309	IS_TREATED	["37189159_fullText_173"]	PEX2 gene	C1419149
Adrenoleukodystrophy	C0162309	IS_TREATED	["37189159_fullText_7"]	ABCD1 gene	C1412084
Hepatic Encephalopathy	C0019151	IS_TREATED	["31933517_abstract_8","31933517_abstract_9"]	ENPP2 gene	C1414408
Old myocardial infarction	C0155668	IS_TREATED	["33758122_fullText_6"]	P2RY12 gene	C1425330
Viral respiratory infection	C0729531	IS_TREATED	["35818943_fullText_5"]	IL13 gene	C1334103
Childhood Obesity	C3645710	IS_TREATED	["36536256_fullText_9"]	HTR2C gene	C1415811
Hypercholesterolemia	C0020443	IS_TREATED	["32145091_fullText_144"]	SREBF1 gene	C1420398
PARKINSON DISEASE, LATE-ONSET	C3160718	IS_TREATED	["30059502_fullText_73"]	SURF1 gene	C1420527
Aortic Valve Stenosis	C0003507	IS_TREATED	["34860593_fullText_1"]	DSE gene	C1427359
Ventricular arrhythmia	C0085612	IS_TREATED	["35809655_fullText_4"]	PEBP1 gene	C1826565
Dejerine-Sottas Disease (disorder)	C0011195	IS_TREATED	["34100397_fullText_8"]	NOX4 gene	C1417771
Dejerine-Sottas Disease (disorder)	C0011195	IS_TREATED	["34100397_fullText_8"]	CYBB gene	C1413844
Dejerine-Sottas Disease (disorder)	C0011195	IS_TREATED	["34100397_fullText_8"]	NCF1 gene	C1417608
ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5 (disorder)	C1858379	IS_TREATED	["34412508_fullText_1"]	TMEM43 gene	C1540016
asthma chronic	C0877430	IS_TREATED	["36959028_fullText_12"]	IL13 gene	C1334103
Motility disorder of intestine	C0400865	IS_TREATED	["36408759_fullText_5"]	CGA gene	C1413366
Endogenous Hyperinsulinism	C1257963	IS_TREATED	["36143915_fullText_5"]	KDR gene	C1334306
Endogenous Hyperinsulinism	C1257963	IS_TREATED	["36143915_fullText_5"]	BRAF gene	C0812241
Endogenous Hyperinsulinism	C1257963	IS_TREATED	["36143915_fullText_5"]	TNIK gene	C1428997
Taste Disorders	C0039338	IS_TREATED	["35908177_fullText_2"]	IMPACT gene	C1825598
Congenital disorder of glycosylation, type 2C	C0398739	IS_TREATED	["37644541_fullText_40"]	PMM2 gene	C1418674
6-pyruvoyl-tetrahydropterin synthase deficiency	C0878676	IS_TREATED	["3297709_fullText_3"]	PTS gene	C1419129
