Gene1	Gene1_id	RELATION	PROVENANCE	Gene2	Gene2_id
AOC2 gene	C1412430	COEXISTS_WITH	["32978817_fullText_4"]	ATXN3 gene	C1538301
CST12P gene	C3539520	compared_with	["24376746_fullText_44"]	CNBP wt Allele	C3273677
CST12P gene	C3539520	PRODUCES	["24376746_fullText_40"]	CELF1 gene	C1413824
mutant gene	C0678941	COEXISTS_WITH	["34716721_fullText_79"]	SURF1 gene	C1420527
mutant gene	C0678941	STIMULATES	["23468640_fullText_70"]	MSH3 gene	C0879392
Gene Feature	C1517495	COEXISTS_WITH	["27590285_fullText_1"]	SLC18A3 gene	C1420116
Gene Feature	C1517495	COEXISTS_WITH	["33397003_fullText_3"]	mutant gene	C0678941
Gene Feature	C1517495	compared_with	["22036843_fullText_2"]	NDUFS2 gene	C1417645
CACNA1A gene	C1456413	COEXISTS_WITH	["37428409_fullText_64"]	SAR1A gene	C1419815
CACNA1A gene	C1456413	COEXISTS_WITH	["37428409_fullText_75"]	ATXN3 gene	C1538301
CACNA1A gene	C1456413	COEXISTS_WITH	["34831340_fullText_180"]	PMM2 gene	C1418674
CACNA1A gene	C1456413	compared_with	["11723274_fullText_4"]	Wild Type	C1883559
MT-TA gene	C1537998	COEXISTS_WITH	["25807530_fullText_116"]	SRRT gene	C2680450
MT-TA gene	C1537998	COEXISTS_WITH	["17503499_fullText_2"]	Genes, Mitochondrial	C1563761
TRIM29 gene	C1424865	COEXISTS_WITH	["39088078_fullText_10"]	IMPACT gene	C1825598
TRIM29 gene	C1424865	COEXISTS_WITH	["39088078_fullText_10"]	ATXN3 gene	C1538301
PNKP gene	C1418707	COEXISTS_WITH	["25633985_fullText_4","25633985_fullText_9"]	ATXN3 gene	C1538301
Genome, Mitochondrial	C1819716	COEXISTS_WITH	["30743023_fullText_3"]	MT-CO1 gene	C1537985
Genome, Mitochondrial	C1819716	COEXISTS_WITH	["16023078_fullText_6"]	MT-ND3 gene	C1537991
Candidate Disease Gene	C1332838	COEXISTS_WITH	["27682710_fullText_4"]	BCKDHB gene	C1412760
Candidate Disease Gene	C1332838	COEXISTS_WITH	["27682710_fullText_4"]	PAH gene	C1418251
Candidate Disease Gene	C1332838	COEXISTS_WITH	["31996241_fullText_162"]	Genes, Mitochondrial	C1563761
Candidate Disease Gene	C1332838	COEXISTS_WITH	["10665666_fullText_9"]	CNBP wt Allele	C3273677
ENPP2 gene	C1414408	compared_with	["33477953_fullText_48"]	ATXN3 gene	C1538301
MAP1LC3C gene	C1825942	COEXISTS_WITH	["31625269_fullText_27"]	ATXN3 gene	C1538301
MAP1LC3C gene	C1825942	INTERACTS_WITH	["31625269_fullText_8","31625269_fullText_34"]	ATXN3 gene	C1538301
GABARAP gene	C1414901	INTERACTS_WITH	["31625269_fullText_8","31625269_fullText_34"]	ATXN3 gene	C1538301
FAN1 gene	C3147283	COEXISTS_WITH	["39088078_fullText_10"]	IMPACT gene	C1825598
FAN1 gene	C3147283	COEXISTS_WITH	["39088078_fullText_10"]	ATXN3 gene	C1538301
MSI1 gene	C1417335	COEXISTS_WITH	["38332227_fullText_251"]	TSPO gene	C1823521
MSI1 gene	C1417335	CONVERTS_TO	["38332227_fullText_129"]	CEL gene	C1413336
DNMT3A gene	C1414123	COEXISTS_WITH	["30554804_fullText_4"]	DNMT3L gene	C1414124
GABRQ gene	C1422662	COEXISTS_WITH	["28762469_fullText_5"]	GCDH gene	C1415009
EAF2 gene	C1427926	COEXISTS_WITH	["24803843_fullText_45"]	CNBP wt Allele	C3273677
EAF2 gene	C1427926	COEXISTS_WITH	["24348268_fullText_121"]	MOGS gene	C1832467
LCS1 gene	C1423693	INHIBITS	["30147021_fullText_2"]	ATXN3 gene	C1538301
LCS1 gene	C1423693	STIMULATES	["21536589_fullText_6"]	SOD2 gene	C1420307
MT-ND1 gene	C1537989	COEXISTS_WITH	["38478578_fullText_3","38478578_fullText_19"]	MT-ND4 gene	C1537992
MT-ND1 gene	C1537989	COEXISTS_WITH	["34928236_fullText_84"]	MT-TK gene	C1538006
MT-ND1 gene	C1537989	COEXISTS_WITH	["34928236_fullText_68"]	LHON gene	C1416849
MT-ND1 gene	C1537989	COEXISTS_WITH	["31996177_fullText_83"]	MT-ND3 gene	C1537991
MT-ND1 gene	C1537989	ISA	["35217561_fullText_1"]	Genes, Mitochondrial	C1563761
MT-ND4 gene	C1537992	ISA	["27761019_fullText_1","35217561_fullText_1","30135079_fullText_131"]	Genes, Mitochondrial	C1563761
RYR1 gene	C1419778	COEXISTS_WITH	["24293317_fullText_15"]	MBNL1 gene	C1417055
RYR1 gene	C1419778	INHIBITS	["21283659_fullText_59"]	VCL gene	C1336929
Cyclic AMP Response Element	C1511573	STIMULATES	["35872650_fullText_82","35770802_fullText_4"]	NDUFS4 gene	C1417647
CLASRP gene	C1425051	COEXISTS_WITH	["34849584_fullText_261"]	NDUFS4 gene	C1417647
FATE1 gene	C1539479	COEXISTS_WITH	["33771987_fullText_26"]	SURF1 gene	C1420527
FATE1 gene	C1539479	COEXISTS_WITH	["35792828_fullText_48"]	GATA3 gene	C1414994
FATE1 gene	C1539479	STIMULATES	["35792828_fullText_109"]	S100B wt Allele	C3273837
IL6 gene	C1334122	PRODUCES	["27246313_fullText_6"]	Alleles	C0002085
PGD gene	C1418504	COEXISTS_WITH	["17336976_fullText_3"]	PEX26 gene	C1427818
PGD gene	C1418504	COEXISTS_WITH	["23586035_fullText_72"]	Alleles	C0002085
TMPO wt Allele	C3541334	COEXISTS_WITH	["39125643_fullText_53"]	Alleles	C0002085
TMPO wt Allele	C3541334	COEXISTS_WITH	["20171614_fullText_1"]	PGD gene	C1418504
MT-ND3 gene	C1537991	COEXISTS_WITH	["34627336_fullText_50"]	MT-ND1 gene	C1537989
MT-ND3 gene	C1537991	COEXISTS_WITH	["36093993_fullText_6"]	SLC25A19 gene	C1422628
MT-ND3 gene	C1537991	COEXISTS_WITH	["36093993_fullText_6"]	ETHE1 gene	C1428025
MT-ND3 gene	C1537991	COEXISTS_WITH	["23953430_fullText_9"]	MT-ND5 gene	C1537994
MT-ND3 gene	C1537991	ISA	["28916229_fullText_4","22947169_fullText_7","22898272_fullText_1","17152068_fullText_8","14764913_fullText_9","35217561_fullText_1","34638685_fullText_145"]	Genes, Mitochondrial	C1563761
MT-ND3 gene	C1537991	COEXISTS_WITH__SPEC__	["22947169_fullText_7"]	MT-ND5 gene	C1537994
AES gene	C1412268	compared_with	["37602534_fullText_8"]	LAMA1 gene	C1416775
P2RY13 gene	C1538559	higher_than	["33801677_fullText_5"]	P2RY13 gene	C1538559
P2RY13 gene	C1538559	compared_with	["33801677_fullText_5","33801677_fullText_6"]	P2RY13 gene	C1538559
MBNL1 gene	C1417055	COEXISTS_WITH	["26501102_fullText_114"]	CLCN1 gene	C1413450
MBNL1 gene	C1417055	COEXISTS_WITH	["24376746_fullText_93"]	CELF1 gene	C1413824
MBNL1 gene	C1417055	COEXISTS_WITH	["20360842_fullText_48"]	SIX5 gene	C1420076
MBNL1 gene	C1417055	COEXISTS_WITH	["28535287_fullText_16"]	Genome	C0017428
MBNL1 gene	C1417055	COEXISTS_WITH	["26501102_fullText_139"]	MBNL3 gene	C1427004
MBNL1 gene	C1417055	COEXISTS_WITH	["25239918_fullText_31"]	LGALS4 gene	C1416832
MBNL1 gene	C1417055	COEXISTS_WITH	["25630614_fullText_202"]	ALYREF gene	C1425988
MBNL1 gene	C1417055	COEXISTS_WITH	["24293317_fullText_39"]	MBNL2 gene	C1424516
MBNL1 gene	C1417055	COEXISTS_WITH	["27484195_fullText_37"]	DLX4 gene	C1414078
MBNL1 gene	C1417055	COEXISTS_WITH	["29309648_fullText_141"]	ELF4 gene	C1414377
MBNL1 gene	C1417055	COEXISTS_WITH	["29309648_fullText_183"]	CEL gene	C1413336
MBNL1 gene	C1417055	COEXISTS_WITH	["29789616_fullText_158"]	RBFOX3 gene	C3146324
MBNL1 gene	C1417055	COEXISTS_WITH	["26473464_fullText_2","22427994_fullText_1","20360842_fullText_48","27854224_fullText_223"]	DMPK gene	C1414085
MBNL1 gene	C1417055	COEXISTS_WITH	["34101465_fullText_4","14722159_fullText_8"]	CNBP gene	C1824763
MBNL1 gene	C1417055	COEXISTS_WITH	["22332923_fullText_3","28535287_fullText_2"]	SLC14A2 gene	C1420099
MBNL1 gene	C1417055	COEXISTS_WITH	["27222292_fullText_2","26501102_fullText_110"]	Open Reading Frames	C0079941
MBNL1 gene	C1417055	INHIBITS	["26501102_fullText_73"]	GCLC wt Allele	C1704697
MBNL1 gene	C1417055	INHIBITS	["25403273_fullText_5","15546872_fullText_8"]	CELF1 gene	C1413824
MBNL1 gene	C1417055	INHIBITS	["15546872_fullText_8"]	MBNL2 gene	C1424516
MBNL1 gene	C1417055	INHIBITS	["17158949_fullText_5"]	CLCN1 gene	C1413450
MBNL1 gene	C1417055	INHIBITS	["21889481_fullText_1"]	CNBP gene	C1824763
MBNL1 gene	C1417055	INTERACTS_WITH	["27063795_fullText_39","27063795_fullText_43"]	SCN5A gene	C1419864
MBNL1 gene	C1417055	INTERACTS_WITH	["22156369_fullText_77","22156369_fullText_90"]	DDX5 gene	C1413963
MBNL1 gene	C1417055	INTERACTS_WITH	["26501102_fullText_120","26501102_fullText_165"]	MBNL3 gene	C1427004
MBNL1 gene	C1417055	INTERACTS_WITH	["24293317_fullText_7","24293317_fullText_35"]	MBNL2 gene	C1424516
MBNL1 gene	C1417055	INTERACTS_WITH	["26501102_fullText_3","26501102_fullText_120","26501102_fullText_132"]	EEF1A1 gene	C1414270
MBNL1 gene	C1417055	INTERACTS_WITH	["30118588_fullText_2","23536431_fullText_3","15961406_fullText_3"]	DHX16 gene	C1333208
MBNL1 gene	C1417055	INTERACTS_WITH	["26501102_fullText_1","26501102_fullText_111","24039817_fullText_50"]	CLCN1 gene	C1413450
MBNL1 gene	C1417055	INTERACTS_WITH	["21794030_fullText_7","19907076_fullText_5","25239918_fullText_4","22431750_fullText_72","27063795_fullText_2","27063795_fullText_46","26515653_fullText_2"]	CELF1 gene	C1413824
MBNL1 gene	C1417055	STIMULATES	["24803843_fullText_60","19433512_fullText_1"]	CELF1 gene	C1413824
MBNL1 gene	C1417055	STIMULATES	["22492623_fullText_126"]	CAPZB gene	C1413124
MBNL1 gene	C1417055	STIMULATES	["21303839_fullText_43"]	TP53 gene	C0079419
MBNL1 gene	C1417055	STIMULATES	["27484195_fullText_1"]	DLX4 gene	C1414078
MBNL1 gene	C1417055	STIMULATES	["24376746_fullText_49"]	ATP2A1 gene	C1412637
MBNL1 gene	C1417055	STIMULATES	["28698297_fullText_7"]	CALD1 gene	C1413086
MBNL1 gene	C1417055	STIMULATES	["22427994_fullText_9"]	DHX16 gene	C1333208
MBNL1 gene	C1417055	STIMULATES	["36617982_fullText_2","36617982_fullText_6","36617982_fullText_8","24293317_fullText_11","24293317_fullText_43","31968060_fullText_116"]	MBNL2 gene	C1424516
MBNL1 gene	C1417055	STIMULATES	["36922901_fullText_10"]	DYNLL2 gene	C1825015
MBNL1 gene	C1417055	PRODUCES	["22431750_fullText_4"]	CELF1 gene	C1413824
MBNL1 gene	C1417055	PRODUCES	["31968060_fullText_116"]	MBNL2 gene	C1424516
MBNL1 gene	C1417055	PRODUCES	["24293317_fullText_77"]	DHX16 gene	C1333208
MBNL1 gene	C1417055	PRODUCES	["32332745_fullText_6"]	CNBP gene	C1824763
MBNL1 gene	C1417055	PRODUCES	["18611984_fullText_1"]	DMPK gene	C1414085
MBNL1 gene	C1417055	compared_with	["23209425_fullText_5","28698297_fullText_75"]	MBNL2 gene	C1424516
MBNL1 gene	C1417055	compared_with	["24039817_fullText_49"]	CELF1 gene	C1413824
MBNL1 gene	C1417055	compared_with	["29789616_fullText_91"]	RBFOX1 gene	C1854634
MBNL1 gene	C1417055	compared_with	["26501102_fullText_102","21303839_fullText_19","27484195_fullText_71"]	MBNL3 gene	C1427004
MBNL1 gene	C1417055	compared_with	["28535287_fullText_41"]	Gene Family	C1517488
MBNL1 gene	C1417055	compared_with	["29789616_fullText_33"]	BIN1 gene	C1332412
MBNL1 gene	C1417055	compared_with	["34125183_fullText_6","29309648_fullText_4","24293317_fullText_11","29309648_fullText_6","29309648_fullText_81","29309648_fullText_88","29309648_fullText_101","29309648_fullText_109","29309648_fullText_110","29309648_fullText_121","29309648_fullText_122","29309648_fullText_125","29309648_fullText_140","29309648_fullText_145","29309648_fullText_174"]	MBNL1 gene	C1417055
MBNL1 gene	C1417055	higher_than	["27484195_fullText_71"]	MBNL3 gene	C1427004
MBNL1 gene	C1417055	higher_than	["34125183_fullText_6","29309648_fullText_88"]	MBNL1 gene	C1417055
MBNL1 gene	C1417055	CONVERTS_TO	["24792155_fullText_74"]	Alleles	C0002085
MBNL1 gene	C1417055	lower_than	["24293317_fullText_11"]	MBNL1 gene	C1417055
ATXN8OS gene	C1825850	COEXISTS_WITH	["21283659_fullText_3"]	Open Reading Frames	C0079941
ATXN8OS gene	C1825850	PRODUCES	["22581592_fullText_2"]	Alleles	C0002085
TOMM20 gene	C1427202	COEXISTS_WITH	["27827795_fullText_72"]	ELF4 gene	C1414377
NGF gene	C1417719	STIMULATES	["21567201_fullText_2"]	MAP6 gene	C1417022
NGF gene	C1417719	STIMULATES	["21567201_fullText_2"]	MAP2 gene	C1417006
NGF gene	C1417719	STIMULATES	["21567201_fullText_2"]	MAP1A gene	C1417003
NGF gene	C1417719	compared_with	["36724742_fullText_6"]	NGF gene	C1417719
RPA3 gene	C1419620	COEXISTS_WITH	["25026993_fullText_6"]	Alleles	C0002085
PPARGC1A gene	C1418779	COEXISTS_WITH	["34517131_fullText_7"]	PEX13 gene	C1418474
PPARGC1A gene	C1418779	COEXISTS_WITH	["33771987_fullText_165","33771987_fullText_166","33771987_fullText_174"]	MUT gene	C1417504
PPARGC1A gene	C1418779	STIMULATES	["34126232_fullText_1"]	FNDC5 gene	C1426803
PPARGC1A gene	C1418779	PRODUCES	["28367954_fullText_58"]	SURF1 gene	C1420527
SLC6A3 wt Allele	C3813713	ISA	["23137414_fullText_2"]	SLC6A3 gene	C1420213
SLC6A3 wt Allele	C3813713	compared_with	["34515205_fullText_5"]	Wild Type	C1883559
FXYD1 gene	C1414874	INTERACTS_WITH	["10811636_fullText_2","10811636_fullText_4"]	DMPK gene	C1414085
DRG1 gene	C1414151	compared_with	["17318633_fullText_3"]	Wild Type	C1883559
DRG1 gene	C1414151	STIMULATES	["34166321_fullText_2"]	TRPM8 gene	C1425206
SPAST gene	C1539809	COEXISTS_WITH	["34884833_fullText_111"]	PEX3 gene	C1418477
SPAST gene	C1539809	COEXISTS_WITH	["34884833_fullText_111"]	PEX19 gene	C1419147
ASL gene	C1412582	COEXISTS_WITH	["37847851_fullText_19"]	Open Reading Frames	C0079941
Genes, Essential	C0600449	COEXISTS_WITH	["27343064_fullText_170"]	DOLK gene	C1428074
PINK1 gene	C1422771	STIMULATES	["39088078_fullText_137"]	DNM1L gene	C1414119
PINK1 gene	C1422771	STIMULATES	["28456629_fullText_18"]	TFAM gene	C1420696
SNCA gene	C1420276	compared_with	["31246996_fullText_90"]	LGALS4 gene	C1416832
ENO2 gene	C1414404	compared_with	["21743141_fullText_2"]	S100B gene	C1419790
ENO2 gene	C1414404	higher_than	["15563883_fullText_3"]	ENO2 gene	C1414404
ENO2 gene	C1414404	compared_with	["15563883_fullText_3"]	ENO2 gene	C1414404
S100B gene	C1419790	COEXISTS_WITH	["29235064_fullText_8"]	GCDH gene	C1415009
HSPB1 gene	C1333928	STIMULATES	["9490724_fullText_110"]	HSPB2 gene	C1415768
HSPB1 gene	C1333928	INTERACTS_WITH	["9490724_fullText_61","9490724_fullText_84"]	HSPB2 gene	C1415768
HSPB1 gene	C1333928	INTERACTS_WITH	["20188867_fullText_11","9490724_fullText_61","9490724_fullText_124"]	DMPK gene	C1414085
DMPK gene	C1414085	COEXISTS_WITH	["26756355_fullText_66"]	RSPH6A gene	C1422503
DMPK gene	C1414085	COEXISTS_WITH	["28102759_fullText_143","28102759_fullText_169"]	CEL gene	C1413336
DMPK gene	C1414085	COEXISTS_WITH	["24792155_fullText_76"]	TSPO gene	C1823521
DMPK gene	C1414085	COEXISTS_WITH	["22619053_fullText_7"]	Oncogenes	C0029016
DMPK gene	C1414085	COEXISTS_WITH	["36142405_fullText_2","30341596_fullText_2","31735798_fullText_4","22131273_fullText_2"]	CNBP gene	C1824763
DMPK gene	C1414085	COEXISTS_WITH	["9359635_fullText_2"]	CALD1 gene	C1413086
DMPK gene	C1414085	COEXISTS_WITH	["22190319_fullText_2"]	IMPACT gene	C1825598
DMPK gene	C1414085	COEXISTS_WITH	["14526185_fullText_4","28129118_fullText_39"]	Genome	C0017428
DMPK gene	C1414085	COEXISTS_WITH	["19846120_fullText_3"]	CMT1A gene	C1413535
DMPK gene	C1414085	COEXISTS_WITH	["22459146_fullText_5","20939737_fullText_2","14722159_fullText_1"]	ZNF9 gene	C1421847
DMPK gene	C1414085	INHIBITS	["7590731_fullText_8"]	Alleles	C0002085
DMPK gene	C1414085	INHIBITS	["10811636_fullText_7"]	FXYD1 gene	C1414874
DMPK gene	C1414085	INHIBITS	["22332923_fullText_3","20360842_fullText_15"]	MBNL1 gene	C1417055
DMPK gene	C1414085	INHIBITS	["11592825_fullText_6","28257691_fullText_183"]	SIX5 gene	C1420076
DMPK gene	C1414085	INTERACTS_WITH	["27030674_fullText_63","26756355_fullText_80"]	MYOD1 gene	C1417574
DMPK gene	C1414085	INTERACTS_WITH	["9371827_fullText_8","9371827_fullText_10"]	CELF1 gene	C1413824
DMPK gene	C1414085	INTERACTS_WITH	["10811636_fullText_2","10811636_fullText_3","10811636_fullText_5","10811636_fullText_8"]	FXYD1 gene	C1414874
DMPK gene	C1414085	STIMULATES	["19433512_fullText_1","28535287_fullText_3"]	CELF1 gene	C1413824
DMPK gene	C1414085	STIMULATES	["26756355_fullText_132"]	RSPH6A gene	C1422503
DMPK gene	C1414085	STIMULATES	["30700578_fullText_4"]	SLC14A2 gene	C1420099
DMPK gene	C1414085	PRODUCES	["26908607_fullText_64"]	Transgenes	C0282641
DMPK gene	C1414085	PRODUCES	["9490724_fullText_62"]	CEL gene	C1413336
DMPK gene	C1414085	PRODUCES	["26908607_fullText_118"]	ACTA1 gene	C1412136
DMPK gene	C1414085	PRODUCES	["26756355_fullText_117"]	RSPH6A gene	C1422503
DMPK gene	C1414085	PRODUCES	["11592825_fullText_7","28129118_fullText_186"]	Alleles	C0002085
DMPK gene	C1414085	PRODUCES	["26190529_fullText_1","28257691_fullText_183"]	SIX5 gene	C1420076
DMPK gene	C1414085	compared_with	["26908607_fullText_76"]	GAPDH gene	C1414968
DMPK gene	C1414085	compared_with	["23209425_fullText_128"]	Transgenes	C0282641
DMPK gene	C1414085	compared_with	["28588248_fullText_3"]	Alleles	C0002085
DMPK gene	C1414085	compared_with	["23209425_fullText_0"]	DMPK gene	C1414085
DMPK gene	C1414085	lower_than	["26908607_fullText_76"]	GAPDH gene	C1414968
ATL1 gene	C1420348	COEXISTS_WITH	["34884833_fullText_111"]	PEX3 gene	C1418477
ATL1 gene	C1420348	COEXISTS_WITH	["34884833_fullText_111"]	PEX19 gene	C1419147
SCN8A gene	C1419866	COEXISTS_WITH	["30870728_fullText_3"]	SCN2A gene	C1419858
NEUROD1 gene	C1417683	CONVERTS_TO	["38332227_fullText_129"]	CEL gene	C1413336
GTPBP1 gene	C1415351	COEXISTS_WITH	["29702557_fullText_106"]	MTSS1 gene	C1426941
PROS1 wt Allele	C3813209	COEXISTS_WITH	["30048337_fullText_3"]	BPI gene	C1443145
EIF4E wt Allele	C3539643	higher_than	["16456924_fullText_4"]	HTT gene	C1415504
EIF4E wt Allele	C3539643	compared_with	["16456924_fullText_4"]	HTT gene	C1415504
SPEN gene	C1539835	STIMULATES	["26940433_fullText_17"]	PMM2 gene	C1418674
MTSS1 gene	C1426941	COEXISTS_WITH	["36293220_fullText_117"]	PEX1 gene	C1418469
MTSS1 gene	C1426941	COEXISTS_WITH	["29702557_fullText_129"]	SLC35C1 gene	C1426768
MTSS1 gene	C1426941	COEXISTS_WITH	["29702557_fullText_118"]	PIGO gene	C1427994
MTSS1 gene	C1426941	COEXISTS_WITH	["35718084_fullText_1"]	FUK gene	C1428864
UBE4B gene	C1421297	INHIBITS	["15152500_fullText_8"]	ATXN3 gene	C1538301
cDNA Library	C0751608	COEXISTS_WITH	["9382874_fullText_24"]	ZC3HAV1 gene	C1428222
MMP2 gene	C1334522	compared_with	["39320846_fullText_120"]	ALYREF gene	C1425988
HCRT gene	C1415500	INHIBITS	["37212716_fullText_6"]	HCRTR2 gene	C1415502
CST7 gene	C1413776	COEXISTS_WITH	["36522822_fullText_3"]	CHAT wt Allele	C3541871
IL12A wt Allele	C1704794	STIMULATES	["35666299_fullText_5"]	AIF1 gene	C1412299
IL12A wt Allele	C1704794	STIMULATES	["35666299_fullText_5"]	NLRP1 wt Allele	C3538756
SPTBN2 wt Allele	C3811242	COEXISTS_WITH	["9613852_fullText_2"]	MAL gene	C1416989
TECR gene	C1415273	COEXISTS_WITH	["2571562_fullText_6"]	Genome, Human	C0017429
PAH gene	C1418251	COEXISTS_WITH	["1968617_fullText_5"]	NAA50 gene	C1826357
PAH gene	C1418251	COEXISTS_WITH	["25418970_fullText_7"]	PTS gene	C1419129
PAH gene	C1418251	COEXISTS_WITH	["8981952_fullText_1"]	Alleles	C0002085
NDUFS4 gene	C1417647	COEXISTS_WITH	["39231983_fullText_21","39231983_fullText_206"]	GAD2 gene	C1414926
NDUFS4 gene	C1417647	COEXISTS_WITH	["38177503_fullText_79"]	Wild Type	C1883559
NDUFS4 gene	C1417647	COEXISTS_WITH	["34849584_fullText_175"]	ELF4 gene	C1414377
NDUFS4 gene	C1417647	COEXISTS_WITH	["37770252_fullText_87"]	LPO gene	C1416903
NDUFS4 gene	C1417647	COEXISTS_WITH	["37770252_fullText_92"]	GTF2H4 gene	C1415346
NDUFS4 gene	C1417647	COEXISTS_WITH	["34849584_fullText_63"]	CEL gene	C1413336
NDUFS4 gene	C1417647	INHIBITS	["35872650_fullText_30"]	SIRT1 gene	C1423062
NDUFS4 gene	C1417647	INTERACTS_WITH	["39231983_fullText_78","39231983_fullText_89"]	CBR1 gene	C1413154
NDUFS4 gene	C1417647	STIMULATES	["34849584_fullText_117"]	NDUFA2 gene	C1417622
NDUFS4 gene	C1417647	STIMULATES	["32335026_fullText_9"]	NDUFAF2 gene	C1826392
NDUFS4 gene	C1417647	STIMULATES	["32335026_fullText_9"]	NDUFA12 gene	C1826391
NDUFS4 gene	C1417647	compared_with	["38177503_fullText_103"]	Wild Type	C1883559
NDUFS4 gene	C1417647	compared_with	["30391276_fullText_4"]	LATS1 wt Allele	C1705714
NDUFS4 gene	C1417647	compared_with	["37770252_fullText_94","34849584_fullText_107","34849584_fullText_179","30520688_fullText_77","28753212_fullText_20"]	NDUFS4 gene	C1417647
NDUFS4 gene	C1417647	CONVERTS_TO	["34849584_fullText_119"]	NDUFAF2 gene	C1826392
NDUFS4 gene	C1417647	lower_than	["38177503_fullText_103"]	Wild Type	C1883559
NDUFS4 gene	C1417647	lower_than	["34849584_fullText_179"]	NDUFS4 gene	C1417647
GUCY2D gene	C1415364	COEXISTS_WITH	["32165824_fullText_41"]	NMNAT1 gene	C1425150
NMNAT1 gene	C1425150	COEXISTS_WITH	["32165824_fullText_133"]	CEP290 gene	C1824725
MT-ATP6 gene	C1537983	COEXISTS_WITH	["31967322_fullText_48"]	NDUFAF6 gene	C1824247
MT-ATP6 gene	C1537983	COEXISTS_WITH	["26804654_fullText_109","31967322_fullText_48"]	SURF1 gene	C1420527
MT-ATP6 gene	C1537983	COEXISTS_WITH	["28429146_fullText_42"]	MT-ND6 gene	C1537995
MT-ATP6 gene	C1537983	COEXISTS_WITH	["32000367_fullText_24"]	MT-ND3 gene	C1537991
MT-ATP6 gene	C1537983	COEXISTS_WITH	["23631824_fullText_3"]	NDUFV1 gene	C1417652
MT-ATP6 gene	C1537983	INHIBITS	["35792828_fullText_67"]	POU3F2 gene	C1418762
MT-ATP6 gene	C1537983	INHIBITS	["35792828_fullText_62"]	PDP1 gene	C1418818
MT-ATP6 gene	C1537983	compared_with	["36335839_fullText_5"]	MT-ND3 gene	C1537991
MT-ATP6 gene	C1537983	higher_than	["36335839_fullText_5"]	MT-ND3 gene	C1537991
MT-ND5 gene	C1537994	COEXISTS_WITH	["30425197_fullText_83"]	MT-ND4 gene	C1537992
MT-ND6 gene	C1537995	COEXISTS_WITH	["23953430_fullText_9"]	PTGS2 wt Allele	C1705323
MT-ND6 gene	C1537995	ISA	["23813926_fullText_1","21196529_fullText_4","35217561_fullText_1"]	Genes, Mitochondrial	C1563761
NDUFS1 gene	C1417644	INHIBITS	["38177503_fullText_114"]	NDUFS4 gene	C1417647
NDUFS1 gene	C1417644	COEXISTS_WITH	["20819849_fullText_154"]	NDUFA9 gene	C1417630
NDUFS1 gene	C1417644	COEXISTS_WITH	["34849584_fullText_122"]	NDUFAF2 gene	C1826392
NDUFS1 gene	C1417644	COEXISTS_WITH	["20819849_fullText_154"]	NDUFS3 gene	C1417646
NDUFS1 gene	C1417644	COEXISTS_WITH	["32335026_fullText_9"]	NDUFS4 gene	C1417647
NDUFV1 gene	C1417652	COEXISTS_WITH	["32335026_fullText_9"]	NDUFS4 gene	C1417647
NDUFV1 gene	C1417652	COEXISTS_WITH	["34849584_fullText_122"]	NDUFAF2 gene	C1826392
SURF1 gene	C1420527	COEXISTS_WITH	["33096015_fullText_3"]	USMG5 gene	C1429011
SURF1 gene	C1420527	COEXISTS_WITH	["28429146_fullText_68"]	NDUFAF6 gene	C1824247
SURF1 gene	C1420527	COEXISTS_WITH	["18807927_fullText_2"]	SCO2 gene	C1419873
SURF1 gene	C1420527	COEXISTS_WITH	["34852375_fullText_5"]	SF3B1 wt Allele	C3273937
SURF1 gene	C1420527	ISA	["29601977_fullText_23"]	Genome	C0017428
SURF1 gene	C1420527	STIMULATES	["29601977_fullText_97"]	Genome	C0017428
SURF1 gene	C1420527	compared_with	["23829769_fullText_61"]	LRPPRC gene	C1423677
SURF1 gene	C1420527	compared_with	["29601977_fullText_6","26804654_fullText_14","26804654_fullText_61"]	SURF1 gene	C1420527
ECHS1 gene	C1414247	COEXISTS_WITH	["28429146_fullText_42"]	SLC19A3 gene	C1424138
NARS2 gene	C1826350	PRODUCES	["25807530_fullText_102"]	Alleles	C0002085
NARS2 gene	C1826350	INHIBITS	["25807530_fullText_86"]	Alleles	C0002085
NARS2 gene	C1826350	COEXISTS_WITH	["36661119_fullText_5"]	TRIO gene	C1336674
ASAH1 wt Allele	C3539770	INHIBITS	["37406364_fullText_7"]	SLC6A3 wt Allele	C3813713
NDUFA12 gene	C1826391	compared_with	["38177503_fullText_123"]	NDUFAF2 gene	C1826392
NDUFA12 gene	C1826391	COEXISTS_WITH	["38177503_fullText_89"]	Wild Type	C1883559
NDUFA12 gene	C1826391	COEXISTS_WITH	["38177503_fullText_127"]	NDUFAF2 gene	C1826392
NDUFA12 gene	C1826391	COEXISTS_WITH	["32335026_fullText_6"]	NDUFS4 gene	C1417647
NDUFAF2 gene	C1826392	COEXISTS_WITH	["38177503_fullText_127"]	NDUFS6 gene	C1417649
NDUFAF2 gene	C1826392	INHIBITS	["38949024_fullText_12"]	MKS1 gene	C1417186
NDUFAF2 gene	C1826392	COEXISTS_WITH	["38177503_fullText_89"]	NDUFA12 gene	C1826391
NDUFAF2 gene	C1826392	INTERACTS_WITH	["38949024_fullText_5","38949024_fullText_9"]	ARMC9 gene	C1824218
NDUFAF2 gene	C1826392	COEXISTS_WITH	["32335026_fullText_6"]	NDUFS4 gene	C1417647
