Gene1	Gene1_id	RELATION	PROVENANCE	Gene2	Gene2_id
Wild Type	C1883559	STIMULATES	["23209425_fullText_14"]	CELF1 gene	C1413824
Wild Type	C1883559	compared_with	["26501102_fullText_73"]	MBNL1 gene	C1417055
Wild Type	C1883559	compared_with	["32080367_fullText_30"]	OGT gene	C1417945
Wild Type	C1883559	compared_with	["9294109_fullText_2"]	DMPK gene	C1414085
Wild Type	C1883559	compared_with	["21669930_fullText_43","33677757_fullText_6"]	Wild Type	C1883559
Wild Type	C1883559	higher_than	["21669930_fullText_43"]	Wild Type	C1883559
C7orf49 gene	C1824234	COEXISTS_WITH	["30570710_fullText_10"]	GCDH gene	C1415009
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["35148383_fullText_52"]	DNAJC30 gene	C2681419
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["36042640_fullText_92"]	ANXA2 gene	C1412420
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["30419932_fullText_143"]	IARS2 gene	C1825559
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["10495886_fullText_2"]	Genome, Human	C0017429
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["36931687_fullText_4"]	PHEX gene	C1418526
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["12410200_fullText_2","35308014_fullText_135"]	PMM2 gene	C1418674
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["31565539_fullText_1"]	ATXN3 gene	C1538301
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["26099313_fullText_7"]	ECHS1 gene	C1414247
SAR1A gene	C1419815	COEXISTS_WITH	["38091940_fullText_8","37115382_fullText_4"]	ATXN3 gene	C1538301
SAR1A gene	C1419815	COEXISTS_WITH	["18685131_fullText_2"]	LY6E gene	C1334353
SAR1A gene	C1419815	compared_with	["37115382_fullText_7"]	SAR1A gene	C1419815
GTF2H1 gene	C1333723	COEXISTS_WITH	["27827795_fullText_72"]	TSPO gene	C1823521
GTF2H1 gene	C1333723	INHIBITS	["34536742_fullText_8"]	CNR1 gene	C1413554
GTF2H1 gene	C1333723	PRODUCES	["27827795_fullText_3"]	PEX13 gene	C1418474
IMPACT gene	C1825598	COEXISTS_WITH	["38743592_fullText_6"]	PGM1 gene	C1418516
IMPACT gene	C1825598	COEXISTS_WITH	["35068072_fullText_38"]	COG6 gene	C1425653
IMPACT gene	C1825598	COEXISTS_WITH	["32969598_fullText_13"]	NDUFC2 gene	C1417643
IMPACT gene	C1825598	COEXISTS_WITH	["37770252_fullText_71","37770252_fullText_79","38680020_fullText_8"]	NDUFS4 gene	C1417647
IMPACT gene	C1825598	COEXISTS_WITH	["31996899_fullText_2"]	DMPK gene	C1414085
IMPACT gene	C1825598	COEXISTS_WITH	["35822518_fullText_2"]	Wild Type	C1883559
IMPACT gene	C1825598	COEXISTS_WITH	["28699106_fullText_5"]	Alleles	C0002085
IMPACT gene	C1825598	INHIBITS	["34849584_fullText_58"]	NDUFS4 gene	C1417647
IMPACT gene	C1825598	INHIBITS	["33988725_fullText_2"]	B3GAT1 gene	C1412716
IMPACT gene	C1825598	INHIBITS	["37894952_fullText_5"]	HRH4 gene	C1424950
IMPACT gene	C1825598	INHIBITS	["25112410_fullText_5"]	GTF2H1 gene	C1333723
IMPACT gene	C1825598	INHIBITS	["28575497_fullText_3"]	LRPPRC gene	C1423677
IMPACT gene	C1825598	STIMULATES	["20855289_fullText_147"]	MYOD1 gene	C1417574
IMPACT gene	C1825598	STIMULATES	["36854793_fullText_3"]	DRD4 gene	C1333254
IMPACT gene	C1825598	PRODUCES	["24092878_fullText_64"]	MBNL2 gene	C1424516
IMPACT gene	C1825598	PRODUCES	["32145091_fullText_179"]	VMA21 gene	C2681112
IMPACT gene	C1825598	PRODUCES	["32145091_fullText_179"]	EIF2AK3 gene	C1414326
IMPACT gene	C1825598	PRODUCES	["32992790_fullText_10"]	GCDH gene	C1415009
ATXN1 gene	C1538298	COEXISTS_WITH	["39375222_fullText_117","39375222_fullText_124","39125643_fullText_79"]	ATXN2 gene	C1538299
ATXN1 gene	C1538298	COEXISTS_WITH	["39516744_fullText_28"]	ATXN3 gene	C1538301
RAB3D gene	C1419208	STIMULATES	["35816257_fullText_4"]	HTR1F gene	C1415808
ATXN2 gene	C1538299	COEXISTS_WITH	["38030858_fullText_54"]	ATXN1 gene	C1538298
ATXN2 gene	C1538299	COEXISTS_WITH	["39088078_fullText_10"]	APOE*2 Allele	C4698016
G3BP1 gene	C1825325	INHIBITS	["36511898_fullText_7"]	LY6E gene	C1334353
RBMS3 gene	C1421986	INTERACTS_WITH	["9371827_fullText_4","26708183_fullText_5"]	DMPK gene	C1414085
LY6E gene	C1334353	COEXISTS_WITH	["9225982_fullText_10"]	CASP3 wt Allele	C1707072
LY6E gene	C1334353	COEXISTS_WITH	["26362908_fullText_1","9629399_fullText_1"]	Open Reading Frames	C0079941
LY6E gene	C1334353	compared_with	["9106530_fullText_3"]	ATN1 gene	C1540211
SLC14A2 gene	C1420099	COEXISTS_WITH	["25883322_fullText_25"]	CELF1 gene	C1413824
SLC14A2 gene	C1420099	STIMULATES	["25883322_fullText_6"]	CELF1 gene	C1413824
Alleles	C0002085	COEXISTS_WITH	["39088078_fullText_163"]	PARK2 gene	C1418270
Alleles	C0002085	COEXISTS_WITH	["10472529_fullText_4","1971144_fullText_4"]	PAH gene	C1418251
Alleles	C0002085	COEXISTS_WITH	["27266866_fullText_32"]	CNBP gene	C1824763
Alleles	C0002085	COEXISTS_WITH	["23586035_fullText_69"]	CEL gene	C1413336
Alleles	C0002085	COEXISTS_WITH	["20959636_fullText_13"]	PEX13 gene	C1418474
Alleles	C0002085	COEXISTS_WITH	["10562279_fullText_13"]	PEX7 gene	C1418479
Alleles	C0002085	COEXISTS_WITH	["20959636_fullText_126"]	Transgenes	C0282641
Alleles	C0002085	COEXISTS_WITH	["30530630_fullText_49"]	PMM1 gene	C1418673
Alleles	C0002085	COEXISTS_WITH	["30530630_fullText_49"]	PMM2 gene	C1418674
Alleles	C0002085	COEXISTS_WITH	["32013919_fullText_40"]	ECHS1 gene	C1414247
Alleles	C0002085	COEXISTS_WITH	["7951325_fullText_6"]	AR wt Allele	C1705240
Alleles	C0002085	COEXISTS_WITH	["8252043_fullText_3"]	HTT gene	C1415504
Alleles	C0002085	COEXISTS_WITH	["9350827_fullText_1"]	Kinase Family Gene	C1334324
Alleles	C0002085	COEXISTS_WITH	["9436442_fullText_4"]	CALD1 gene	C1413086
Alleles	C0002085	COEXISTS_WITH	["36214454_fullText_9"]	PGM1 gene	C1418516
Alleles	C0002085	COEXISTS_WITH	["16340213_fullText_1"]	MJD gene	C1417173
Alleles	C0002085	COEXISTS_WITH	["19713033_fullText_5","7762560_fullText_1","20171614_fullText_1","19713033_fullText_5"]	DMPK gene	C1414085
Alleles	C0002085	COEXISTS_WITH	["30007589_fullText_4","9132496_fullText_4","8528200_fullText_5"]	ATXN3 gene	C1538301
Alleles	C0002085	COEXISTS_WITH	["9046258_fullText_1","9046258_fullText_7"]	CASP3 wt Allele	C1707072
Alleles	C0002085	INHIBITS	["18270582_fullText_61"]	PNO1 gene	C1826636
Alleles	C0002085	INHIBITS	["18270582_fullText_61"]	DLX4 gene	C1414078
Alleles	C0002085	INHIBITS	["34313207_fullText_7"]	SRI gene	C1420401
Alleles	C0002085	STIMULATES	["39375222_fullText_126"]	ATXN3 gene	C1538301
Alleles	C0002085	STIMULATES	["18270582_fullText_38"]	LGALS4 gene	C1416832
Alleles	C0002085	STIMULATES	["23468640_fullText_50"]	MSH3 gene	C0879392
Alleles	C0002085	PRODUCES	["10562279_fullText_98"]	PEX2 gene	C1419149
Alleles	C0002085	PRODUCES	["1840564_fullText_4"]	RRAS gene	C1419756
Alleles	C0002085	compared_with	["21669930_fullText_43","22112818_fullText_7"]	Wild Type	C1883559
Alleles	C0002085	compared_with	["28848061_fullText_3"]	AKT1S1 gene	C1428707
Alleles	C0002085	compared_with	["8552651_fullText_3"]	Human gene	C0314604
Alleles	C0002085	compared_with	["9132496_fullText_5","37860904_fullText_5","15210527_fullText_5","10400997_fullText_6","30530630_fullText_80","19436705_fullText_57","39375222_fullText_178"]	Alleles	C0002085
Alleles	C0002085	higher_than	["21669930_fullText_43"]	Wild Type	C1883559
Alleles	C0002085	higher_than	["8552651_fullText_3"]	Human gene	C0314604
Alleles	C0002085	higher_than	["15210527_fullText_5","39375222_fullText_178"]	Alleles	C0002085
Alleles	C0002085	CONVERTS_TO	["24367268_fullText_52"]	TMPO wt Allele	C3541334
Alleles	C0002085	CONVERTS_TO	["24792155_fullText_74"]	CEL gene	C1413336
Alleles	C0002085	CONVERTS_TO	["29361989_fullText_39"]	PMM2 gene	C1418674
Alleles	C0002085	CONVERTS_TO	["8688590_fullText_5"]	Myotonic dystrophy gene	C1508293
Alleles	C0002085	same_as	["30530630_fullText_80","19436705_fullText_57"]	Alleles	C0002085
STMN1 gene	C1416797	COEXISTS_WITH	["25135935_fullText_88"]	MAGT1 gene	C2239666
WASF1 gene	C1421479	PRODUCES	["33845076_fullText_6"]	SBDS gene	C1426244
TP53 gene	C0079419	COEXISTS_WITH	["28912527_fullText_4"]	CEL gene	C1413336
TP53 gene	C0079419	INHIBITS	["39320846_fullText_70"]	ATXN3 gene	C1538301
TP53 gene	C0079419	compared_with	["39320846_fullText_119"]	ATXN3 gene	C1538301
TP53 gene	C0079419	compared_with	["35872650_fullText_63"]	TP53 gene	C0079419
SOD1 gene	C1420306	INHIBITS	["35660419_fullText_5"]	TLR4 gene	C1336636
SOD2 gene	C1420307	COEXISTS_WITH	["21536589_fullText_7"]	LCS1 gene	C1423693
LRP2 wt Allele	C3811119	COEXISTS_WITH	["31996269_abstract_8"]	GLA gene	C1439334
LRP2 wt Allele	C3811119	compared_with	["31311714_fullText_3","32245393_fullText_4"]	LRP2 wt Allele	C3811119
KPNB1 gene	C1416705	STIMULATES	["35794401_fullText_9"]	CLPP gene	C1413504
KPNB1 gene	C1416705	INHIBITS	["35794401_fullText_6"]	ATXN3 gene	C1538301
PARK2 gene	C1418270	COEXISTS_WITH	["39088078_fullText_89"]	Open Reading Frames	C0079941
PARK2 gene	C1418270	COEXISTS_WITH	["39320846_fullText_141","38497605_fullText_109"]	ATXN3 gene	C1538301
PARK2 gene	C1418270	INTERACTS_WITH	["20940148_fullText_3","39088078_fullText_122"]	ATXN3 gene	C1538301
ATN1 gene	C1540211	COEXISTS_WITH	["39088078_fullText_10"]	APOE*2 Allele	C4698016
ATN1 gene	C1540211	COEXISTS_WITH	["9482263_fullText_3"]	AR wt Allele	C1705240
AKR1A1 wt Allele	C3715044	STIMULATES	["28662078_fullText_55"]	DPM1 gene	C1414137
AKR1A1 wt Allele	C3715044	compared_with	["35987510_fullText_10"]	CALD1 wt Allele	C3813548
AKR1A1 wt Allele	C3715044	compared_with	["34911641_fullText_7"]	KIDINS220 gene	C2681631
CA8 gene	C1413051	PRODUCES	["23184527_fullText_3"]	ATXN3 gene	C1538301
SLC2A3 gene	C1420173	INHIBITS	["35488942_fullText_8"]	CA8 gene	C1413051
SLC2A3 gene	C1420173	COEXISTS_WITH	["35488942_fullText_6"]	ATXN3 gene	C1538301
PFKM wt Allele	C3539630	INHIBITS	["35488942_fullText_8"]	CA8 gene	C1413051
PFKM wt Allele	C3539630	COEXISTS_WITH	["35488942_fullText_6"]	ATXN3 gene	C1538301
UCHL1 gene	C1421309	STIMULATES	["37517328_fullText_10"]	NPC1 gene	C1417776
HTT gene	C1415504	COEXISTS_WITH	["39088078_fullText_10"]	APOE*2 Allele	C4698016
HTT gene	C1415504	compared_with	["39375222_fullText_122"]	ATXN3 gene	C1538301
Genome	C0017428	COEXISTS_WITH	["16875683_fullText_4"]	PAH gene	C1418251
Genome	C0017428	COEXISTS_WITH	["23468640_fullText_12"]	Transgenes	C0282641
Genome	C0017428	COEXISTS_WITH	["31357652_fullText_6"]	DMPK gene	C1414085
Genome	C0017428	STIMULATES	["23754696_fullText_3"]	IGF1 wt Allele	C1708414
Genome	C0017428	PRODUCES	["23209425_fullText_43"]	DMPK gene	C1414085
Genome	C0017428	compared_with	["17696782_fullText_3"]	Homologous Gene	C1334043
Genome	C0017428	higher_than	["17696782_fullText_3"]	Homologous Gene	C1334043
CAPN2 gene	C1413112	COEXISTS_WITH	["35606145_fullText_6","35606145_fullText_11"]	MBNL2 gene	C1424516
MAL gene	C1416989	COEXISTS_WITH	["28367954_fullText_4"]	SURF1 gene	C1420527
GCLC wt Allele	C1704697	COEXISTS_WITH	["37593836_fullText_1"]	GALC gene	C1414946
AAVS1 gene	C1412056	compared_with	["27063795_fullText_57"]	AAVS1 gene	C1412056
VCP gene	C1421437	STIMULATES	["35406718_fullText_293"]	BMP4 gene	C1412805
VCP gene	C1421437	INTERACTS_WITH	["34563642_fullText_5","19843543_fullText_2","15152500_fullText_5","39320846_fullText_2"]	ATXN3 gene	C1538301
VCP gene	C1421437	COEXISTS_WITH	["15152500_fullText_6"]	UBE4B gene	C1421297
IVNS1ABP gene	C1424660	compared_with	["34783886_fullText_6"]	IVNS1ABP gene	C1424660
GALC gene	C1414946	COEXISTS_WITH	["38003227_abstract_11"]	ARSA gene	C1412553
SERPINA1 wt Allele	C3537219	CONVERTS_TO	["35137040_fullText_2"]	MOGS gene	C1832467
Homologous Gene	C1334043	COEXISTS_WITH	["27390132_fullText_4"]	OPA1 gene	C1417953
Homologous Gene	C1334043	COEXISTS_WITH	["10622737_fullText_4"]	Operon	C0029073
Homologous Gene	C1334043	INHIBITS	["29735526_fullText_50"]	POU2F3 gene	C1426490
Homologous Gene	C1334043	INHIBITS	["29735526_fullText_9"]	NGLY1 gene	C1425023
Homologous Gene	C1334043	INHIBITS	["24399447_fullText_4"]	LRPPRC gene	C1423677
Homologous Gene	C1334043	STIMULATES	["32145091_fullText_153"]	EIF2AK3 gene	C1414326
OGT gene	C1417945	COEXISTS_WITH	["38759397_fullText_3"]	MGEA5 gene	C1417143
OGT gene	C1417945	STIMULATES	["32080367_fullText_40"]	HCFC1 gene	C1415493
OGT gene	C1417945	INHIBITS	["32080367_fullText_36"]	MGEA5 gene	C1417143
YY1 wt Allele	C3540585	STIMULATES	["21060795_fullText_66"]	HEYL gene	C1415526
YY1 wt Allele	C3540585	STIMULATES	["21060795_fullText_66"]	HES5 gene	C1426393
YY1 wt Allele	C3540585	STIMULATES	["21060795_fullText_66"]	ERBB4 gene	C0812267
SIRT1 gene	C1423062	INHIBITS	["27165717_fullText_57"]	GTF2H1 gene	C1333723
SIRT1 gene	C1423062	INHIBITS	["27165717_fullText_67"]	ATXN3 gene	C1538301
SIRT1 gene	C1423062	INHIBITS	["27165717_fullText_96"]	CFB gene	C1824728
