Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Asthma	C0004096	IS_TREATED	["34450560_fullText_15","37874567_fullText_12"]	Adrenergic Agonists	C0001648
Syndrome	C0039082	IS_TREATED	["32895905_fullText_8"]	Adrenergic Agonists	C0001648
Cardiovascular Diseases	C0007222	IS_TREATED	["36594387_fullText_1"]	Adrenergic Agonists	C0001648
Heart failure	C0018801	IS_TREATED	["31636082_fullText_69"]	Adrenergic Agonists	C0001648
Neuromuscular Diseases	C0027868	IS_TREATED	["39151654_fullText_4"]	Adrenergic Agonists	C0001648
Overactive Bladder	C0878773	IS_TREATED	["37721189_fullText_3","35588870_fullText_2"]	Adrenergic Agonists	C0001648
Asthma	C0004096	IS_TREATED	["34592235_fullText_1","34341099_fullText_1","37874567_fullText_1"]	Adrenergic Agonists	C0001648
Myasthenia Gravis	C0026896	IS_TREATED	["23790237_fullText_1"]	Adrenergic Agonists	C0001648
Bronchial Spasm	C0006266	IS_TREATED	["34823751_fullText_5"]	Adrenergic Agonists	C0001648
Cardiovascular Diseases	C0007222	IS_TREATED	["36594387_fullText_1"]	Adrenergic Agonists	C0001648
Slow channel syndrome	C0393934	IS_TREATED	["23797154_fullText_11"]	Adrenergic Agonists	C0001648
Hyperinsulinism	C0020459	IS_TREATED	["34615619_fullText_5"]	Adrenergic Agonists	C0001648
Pulmonary Hypertension	C0020542	IS_TREATED	["36404400_fullText_2"]	Adrenergic Agonists	C0001648
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["23790237_fullText_1"]	Adrenergic Agonists	C0001648
Lung Diseases, Obstructive	C0600260	IS_TREATED	["34795026_fullText_1"]	Adrenergic Agonists	C0001648
Nocturia	C0028734	IS_TREATED	["36585172_fullText_6","36585172_fullText_7"]	Adrenergic Agonists	C0001648
airway disease	C0699949	IS_TREATED	["35767902_fullText_2"]	Adrenergic Agonists	C0001648
nervous system disorder	C0027765	IS_TREATED	["36096427_fullText_7"]	rosmarinic acid	C0073590
Liver Cirrhosis	C0023890	IS_TREATED	["36826975_fullText_11"]	Prazosin	C0032912
Intraoperative floppy iris syndrome	C1688637	IS_TREATED	["35858619_fullText_5"]	Epinephrine	C0014563
Heart failure	C0018801	IS_TREATED	["31636082_fullText_69"]	Dobutamine	C0012963
Asthma	C0004096	IS_TREATED	["35300506_fullText_6","37218346_fullText_1"]	montelukast	C0298130
Cerebrovascular accident	C0038454	IS_TREATED	["37218346_fullText_2"]	montelukast	C0298130
Neurodegenerative Disorders	C0524851	IS_TREATED	["34348130_fullText_13"]	PNU-282987	C1567285
Pancreatitis	C0030305	IS_TREATED	["36126221_fullText_12"]	Nicotinic Agonists	C0242948
Myopia	C0027092	IS_TREATED	["34302355_fullText_9"]	Nicotinic Agonists	C0242948
Kidney Failure, Acute	C0022660	IS_TREATED	["35311383_fullText_12"]	Nicotinic Agonists	C0242948
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34342835_fullText_1","35385359_fullText_6"]	Budesonide	C0054201
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34137664_fullText_1","34137664_fullText_5"]	formoterol	C0060657
Chronic lung disease	C0746102	IS_TREATED	["34334369_fullText_1"]	formoterol	C0060657
Asthma	C0004096	IS_TREATED	["34334369_fullText_1"]	formoterol	C0060657
Cerebrovascular accident	C0038454	IS_TREATED	["35941901_fullText_3"]	formoterol	C0060657
Asthma	C0004096	IS_TREATED	["34334369_fullText_1"]	formoterol	C0060657
Chronic lung disease	C0746102	IS_TREATED	["34334369_fullText_1"]	formoterol	C0060657
Heart failure	C0018801	IS_TREATED	["35999128_fullText_1"]	tocilizumab	C1609165
Chronic heart failure	C0264716	IS_TREATED	["33874876_fullText_1"]	Diuretics	C0012798
Heart failure	C0018801	IS_TREATED	["34779371_fullText_12"]	Diuretics	C0012798
Cardiovascular Diseases	C0007222	IS_TREATED	["36017016_fullText_1"]	Diuretics	C0012798
Hypertensive disease	C0020538	IS_TREATED	["36017016_fullText_1","34118232_fullText_2","34779371_fullText_9"]	Diuretics	C0012798
Glaucoma	C0017601	IS_TREATED	["36097849_fullText_3"]	Carteolol	C0007299
Syndrome	C0039082	IS_TREATED	["34340527_fullText_3"]	Pisum sativum (pea) extract	C3257529
Neuromuscular Diseases	C0027868	IS_TREATED	["21919378_fullText_3"]	Rocuronium	C0209337
Dystrophia myotonica 1	C2931688	IS_TREATED	["22154451_fullText_1"]	Rocuronium	C0209337
Muscular Dystrophy, Facioscapulohumeral	C0238288	IS_TREATED	["23835682_fullText_5","20091552_fullText_4","15674918_fullText_11"]	Albuterol	C0001927
Acute colitis	C2118460	IS_TREATED	["35767902_fullText_15"]	Albuterol	C0001927
airway disease	C0699949	IS_TREATED	["35767902_fullText_2"]	Albuterol	C0001927
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["23790237_fullText_1"]	Albuterol	C0001927
Myasthenia Gravis	C0026896	IS_TREATED	["23790237_fullText_1"]	Albuterol	C0001927
Asthma	C0004096	IS_TREATED	["34334369_fullText_1"]	Albuterol	C0001927
Chronic lung disease	C0746102	IS_TREATED	["34334369_fullText_1"]	Albuterol	C0001927
Chronic lung disease	C0746102	IS_TREATED	["34334369_fullText_1"]	Albuterol	C0001927
Asthma	C0004096	IS_TREATED	["34334369_fullText_1"]	Albuterol	C0001927
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34530132_fullText_6"]	Albuterol	C0001927
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["26552645_fullText_3","23219351_fullText_4"]	Albuterol	C0001927
Severe malnutrition	C0311276	IS_TREATED	["26296515_fullText_7"]	Albuterol	C0001927
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34449512_fullText_10"]	Theophylline	C0039771
Thin basement membrane disease	C0403440	IS_TREATED	["33932990_fullText_4"]	Theophylline	C0039771
Heart failure	C0018801	IS_TREATED	["34375046_fullText_2"]	Theophylline	C0039771
Sialorrhea	C0037036	IS_TREATED	["35989107_fullText_5"]	Clozapine	C0009079
Migraine Disorders	C0149931	IS_TREATED	["33797074_fullText_1","33797074_fullText_2","33797074_fullText_9"]	Prochlorperazine	C0033229
Cirrhosis	C1623038	IS_TREATED	["36897563_fullText_9","35661713_fullText_7"]	carvedilol	C0054836
Heart failure	C0018801	IS_TREATED	["34561298_fullText_3"]	carvedilol	C0054836
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34279195_fullText_6"]	carvedilol	C0054836
Heart Diseases	C0018799	IS_TREATED	["34561298_fullText_14"]	carvedilol	C0054836
Liver Cirrhosis	C0023890	IS_TREATED	["36826975_fullText_11"]	carvedilol	C0054836
Hypertensive disease	C0020538	IS_TREATED	["34561298_fullText_3"]	carvedilol	C0054836
Hypertension, Portal	C0020541	IS_TREATED	["33838852_fullText_4"]	Non-selective beta-blocking agent	C0304515
Hypertensive disease	C0020538	IS_TREATED	["36040016_fullText_1"]	Non-selective beta-blocking agent	C0304515
Restless Legs Syndrome	C0035258	IS_TREATED	["37008995_fullText_10","35605349_fullText_8"]	gabapentin	C0060926
Myopathy	C0026848	IS_TREATED	["12298310_fullText_5"]	Lidocaine	C0023660
Myotonic Dystrophy	C0027126	IS_TREATED	["31027145_fullText_5"]	Opioids	C0242402
Restless Legs Syndrome	C0035258	IS_TREATED	["37990163_fullText_4","36697248_fullText_4","36697248_fullText_11"]	Opioids	C0242402
Recurrent seizures	C0748607	IS_TREATED	["18094870_fullText_1"]	Anticonvulsants	C0003286
Epilepsy	C0014544	IS_TREATED	["27977873_fullText_74"]	Anticonvulsants	C0003286
Chronic Insomnia	C0751249	IS_TREATED	["34553844_fullText_3","35022783_fullText_2"]	Suvorexant	C3179535
Syndrome	C0039082	IS_TREATED	["32895905_fullText_3"]	Pyridostigmine	C0034261
Neurodegenerative Disorders	C0524851	IS_TREATED	["37092053_fullText_4","33946788_fullText_7"]	ethyl acetate	C0059747
Liver Cirrhosis	C0023890	IS_TREATED	["35445132_fullText_7"]	Somatostatin	C0037659
Painful Bladder Syndrome	C1720830	IS_TREATED	["32183225_fullText_48","23326493_fullText_28","34106226_fullText_133","34106226_fullText_150","20959636_fullText_173","28588248_fullText_57"]	paraform	C0070066
Mastocytosis	C0024899	IS_TREATED	["33806685_fullText_9"]	H2 receptor blockers	C1979715
Alzheimer's Disease	C0002395	IS_TREATED	["36432070_fullText_9"]	Quercetin	C0034392
Phenylketonurias	C0031485	IS_TREATED	["34819582_fullText_2"]	cinnamic acid	C0055753
Phenylketonurias	C0031485	IS_TREATED	["29941359_fullText_4","6743769_fullText_8"]	cinnamic acid	C0055753
Phenylketonurias	C0031485	IS_TREATED	["3291200_fullText_5"]	Aspartame	C0003999
Chronic Kidney Insufficiency	C0403447	IS_TREATED	["36880102_fullText_6"]	Hypnotics and Sedatives	C0020592
Critical Illness	C0010340	IS_TREATED	["36418766_fullText_3"]	Hypnotics and Sedatives	C0020592
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["36849413_fullText_11"]	Hypnotics and Sedatives	C0020592
Kidney Failure	C0035078	IS_TREATED	["34112223_fullText_9"]	Atenolol	C0004147
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	Atenolol	C0004147
Glaucoma, Open-Angle	C0017612	IS_TREATED	["37061271_fullText_3"]	brimonidine	C0525227
Glaucoma	C0017601	IS_TREATED	["37061271_fullText_2"]	brimonidine	C0525227
Ocular Hypertension	C0028840	IS_TREATED	["37061271_fullText_3"]	brimonidine	C0525227
Disorder of eye	C0015397	IS_TREATED	["37061271_fullText_2"]	brimonidine	C0525227
Disorder of eye	C0015397	IS_TREATED	["37061271_fullText_2"]	brimonidine	C0525227
Glaucoma	C0017601	IS_TREATED	["37061271_fullText_2","35835657_fullText_1"]	brimonidine	C0525227
Complex Regional Pain Syndromes	C0458219	IS_TREATED	["34859869_fullText_9"]	ramosetron	C0526950
Severe Acute Respiratory Syndrome	C1175175	IS_TREATED	["34851510_fullText_2"]	Fluvoxamine	C0085228
Neurodegenerative Disorders	C0524851	IS_TREATED	["37628986_fullText_3"]	Anti-Inflammatory Agents	C0003209
CNS disorder	C0007682	IS_TREATED	["34565380_fullText_2"]	Anti-Inflammatory Agents	C0003209
Degenerative brain disorder	C0154671	IS_TREATED	["35762037_fullText_1"]	Enzyme Inhibitors	C0014432
cardiovascular risk factor	C0850624	IS_TREATED	["35468729_fullText_1"]	Triptans	C1567966
Migraine Disorders	C0149931	IS_TREATED	["37817093_fullText_1","35593784_fullText_8"]	Triptans	C1567966
Migraine Disorders	C0149931	IS_TREATED	["33749826_fullText_1","34472095_fullText_1","36739511_fullText_2","35589944_fullText_1","35468729_fullText_1"]	Triptans	C1567966
Parkinson Disease	C0030567	IS_TREATED	["33783470_fullText_4"]	atomoxetine	C0076823
Sleep Apnea, Obstructive	C0520679	IS_TREATED	["35975547_fullText_9"]	atomoxetine	C0076823
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34711232_fullText_9"]	umeclidinium / vilanterol	C3709478
Parkinson Disease	C0030567	IS_TREATED	["36894682_fullText_1"]	Agonist drug	C0521879
Neurodegenerative Disorders	C0524851	IS_TREATED	["33946788_fullText_7"]	Methanol	C0001963
Neurodegenerative Disorders	C0524851	IS_TREATED	["37092053_fullText_4"]	Chloroform	C0008238
Movement Disorders	C0026650	IS_TREATED	["36354229_fullText_1"]	Cholinergic Antagonists	C0242897
Asthma	C0004096	IS_TREATED	["37741092_fullText_9"]	Bronchodilator Agents	C0006280
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["33780994_fullText_1","36065315_fullText_1","33865004_fullText_1","33833507_fullText_2","33829619_fullText_5","34711232_fullText_2","36967224_fullText_1"]	Bronchodilator Agents	C0006280
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34620878_fullText_1","34544314_fullText_1","36065315_fullText_5","35427740_fullText_1","37879449_fullText_3","37442289_fullText_3","37197795_fullText_1","35074516_fullText_2","35044875_fullText_1","35527239_fullText_2"]	Bronchodilator Agents	C0006280
Asthma	C0004096	IS_TREATED	["37442289_fullText_3","35527239_fullText_2"]	Bronchodilator Agents	C0006280
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["37800633_fullText_5"]	salmeterol	C0073992
Asthma	C0004096	IS_TREATED	["34334369_fullText_1"]	salmeterol	C0073992
Chronic lung disease	C0746102	IS_TREATED	["34334369_fullText_1"]	salmeterol	C0073992
Asthma	C0004096	IS_TREATED	["34334369_fullText_1"]	salmeterol	C0073992
Chronic lung disease	C0746102	IS_TREATED	["34334369_fullText_1"]	salmeterol	C0073992
Observation of Neuromuscular Block	C0700323	IS_TREATED	["35016451_fullText_5"]	Antidote	C0003295
Hypertensive disease	C0020538	IS_TREATED	["36171560_fullText_6"]	Doxazosin	C0114873
Liver Cirrhosis	C0023890	IS_TREATED	["36826975_fullText_11"]	Doxazosin	C0114873
Gout	C0018099	IS_TREATED	["34964888_fullText_4"]	Adrenergic alpha-1 Receptor Antagonists	C0304512
Alzheimer's Disease	C0002395	IS_TREATED	["33776997_fullText_3","35662286_fullText_5","35883449_fullText_2"]	Galantamine	C0016967
Heart failure	C0018801	IS_TREATED	["34106365_fullText_1"]	nebivolol	C0068475
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	nebivolol	C0068475
succinic semialdehyde dehydrogenase deficiency	C0268631	IS_TREATED	["34015244_fullText_1"]	GABA-B Receptor Antagonists	C2936802
Phenylketonurias	C0031485	IS_TREATED	["30720885_fullText_1","25660215_fullText_4","22388642_fullText_1","19026037_fullText_3","38673342_fullText_8"]	Sapropterin dihydrochloride	C1996349
Classical phenylketonuria	C0751434	IS_TREATED	["25497838_fullText_1"]	Sapropterin dihydrochloride	C1996349
Phenylketonurias	C0031485	IS_TREATED	["23436109_fullText_4"]	Sapropterin dihydrochloride	C1996349
Phenylketonurias	C0031485	IS_TREATED	["30268140_fullText_1","25812600_fullText_5","25724073_fullText_1","23235653_fullText_5","22391997_fullText_1","18036498_fullText_8"]	Sapropterin dihydrochloride	C1996349
Hyperphenylalaninaemia	C0751435	IS_TREATED	["33485801_fullText_1","25497838_fullText_1"]	Sapropterin dihydrochloride	C1996349
Gastrointestinal dysfunction	C0679407	IS_TREATED	["35253917_fullText_1"]	Serotonin Agonists	C0162757
Migraine Disorders	C0149931	IS_TREATED	["33730977_fullText_1","36627414_fullText_2"]	Serotonin Agonists	C0162757
Neurodegenerative Disorders	C0524851	IS_TREATED	["34047146_fullText_2"]	Monoamine Oxidase Inhibitors	C0026457
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35039513_fullText_2"]	Ally	C1098293
Cerebrovascular accident	C0038454	IS_TREATED	["34727752_fullText_3"]	Nootropic Agents	C0242913
Colitis	C0009319	IS_TREATED	["37827341_fullText_8"]	Citicoline	C0010725
Myotonic Dystrophy	C0027126	IS_TREATED	["3927876_fullText_7"]	Testosterone	C0039601
Neuromuscular Diseases	C0027868	IS_TREATED	["3927876_fullText_7"]	Testosterone	C0039601
Hypogonadism	C0020619	IS_TREATED	["18525423_fullText_2"]	Testosterone	C0039601
Myasthenia Gravis	C0026896	IS_TREATED	["37114698_fullText_7"]	Pyridostigmine Bromide	C0034262
Recurrent disease	C0277556	IS_TREATED	["36109351_fullText_4"]	omalizumab	C0966225
Chronic urticaria	C0263338	IS_TREATED	["34695599_fullText_7"]	omalizumab	C0966225
Urticaria	C0042109	IS_TREATED	["36468733_fullText_3"]	omalizumab	C0966225
Urticaria	C0042109	IS_TREATED	["34921427_fullText_1"]	Histamine-1 Receptor Inhibitor [EPC]	C2919009
Urticaria	C0042109	IS_TREATED	["34921427_fullText_1"]	Histamine-1 Receptor Inhibitor [EPC]	C2919009
Asthma	C0004096	IS_TREATED	["34688426_fullText_3"]	Azithromycin	C0052796
Parkinson Disease	C0030567	IS_TREATED	["35107654_fullText_1","35107654_fullText_7"]	MAO B Inhibitors, dopaminergic anti-parkinson drugs	C3653412
Chronic pain	C0150055	IS_TREATED	["36626471_fullText_2","35080922_fullText_2"]	Medical Marijuana	C0813973
Chronic nonmalignant pain	C3662064	IS_TREATED	["36897501_fullText_2"]	Medical Marijuana	C0813973
Arteriosclerosis	C0003850	IS_TREATED	["33758122_fullText_1"]	Antiplatelet Agents	C0085826
Acute Coronary Syndrome	C0948089	IS_TREATED	["33758122_fullText_1"]	Antiplatelet Agents	C0085826
Epilepsy	C0014544	IS_TREATED	["35094259_fullText_3"]	lorcaserin	C2350948
Hypertensive disease	C0020538	IS_TREATED	["34779371_fullText_6"]	Terazosin	C0076107
Ureterolithiasis	C0041952	IS_TREATED	["36629069_fullText_10"]	naftopidil	C0083701
Ureterolithiasis	C0041952	IS_TREATED	["34003612_fullText_6"]	silodosin	C1870115
Urologic Diseases	C0042075	IS_TREATED	["36051157_fullText_3","36051157_fullText_4","36051157_fullText_9"]	silodosin	C1870115
Alzheimer's Disease	C0002395	IS_TREATED	["34299581_fullText_2"]	Amylases	C0002712
Diabetes	C0011847	IS_TREATED	["34299581_fullText_2"]	Amylases	C0002712
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["36198721_fullText_9","35536261_fullText_2"]	tiotropium	C0213771
Asthma	C0004096	IS_TREATED	["37428619_fullText_1"]	tiotropium	C0213771
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34140019_fullText_4","34489206_fullText_1"]	tiotropium	C0213771
Diabetes	C0011847	IS_TREATED	["35486279_fullText_3"]	Antidiabetics	C0935929
Glaucoma	C0017601	IS_TREATED	["36144638_fullText_9"]	Antidiabetics	C0935929
Epilepsy	C0014544	IS_TREATED	["35955863_fullText_86"]	Acetazolamide	C0000981
Macular Edema, Cystoid	C0024440	IS_TREATED	["36293220_fullText_104"]	Acetazolamide	C0000981
Cerebellar Diseases	C0007760	IS_TREATED	["30873657_fullText_3","30873657_fullText_10","31636082_fullText_142","35955863_fullText_82","31640729_fullText_102"]	Acetazolamide	C0000981
Dermatitis, Atopic	C0011615	IS_TREATED	["34560549_fullText_10"]	Antipruritics	C0003417
Chronic heart failure	C0264716	IS_TREATED	["36318859_fullText_4"]	Bisoprolol	C0053799
Syndrome	C0039082	IS_TREATED	["36318859_fullText_4","36318859_fullText_6"]	Bisoprolol	C0053799
Heart failure	C0018801	IS_TREATED	["34106365_fullText_1"]	Bisoprolol	C0053799
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35422024_fullText_4"]	Bisoprolol	C0053799
Hypertensive disease	C0020538	IS_TREATED	["35855505_fullText_4"]	Bisoprolol	C0053799
Hypertensive disease	C0020538	IS_TREATED	["36602061_fullText_6"]	Anti-platelet drugs	C2963157
Acute Coronary Syndrome	C0948089	IS_TREATED	["34115343_fullText_1"]	Anti-platelet drugs	C2963157
Allergic condition	C0851444	IS_TREATED	["34850647_fullText_2"]	Histamine H1 Antagonists, Non-Sedating	C1136312
Allergic condition	C0851444	IS_TREATED	["34622396_fullText_2"]	Histamine H1 Antagonists, Non-Sedating	C1136312
Epilepsy	C0014544	IS_TREATED	["32980745_fullText_3"]	Pyridoxal Phosphate	C0034266
EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508	IS_TREATED	["7915028_fullText_4"]	Pyridoxal Phosphate	C0034266
Hypophosphatasia	C0020630	IS_TREATED	["26893260_fullText_5"]	Pyridoxal Phosphate	C0034266
SVEINSSON CHORIORETINAL ATROPHY	C1862382	IS_TREATED	["34802041_fullText_7"]	rimonabant	C1142933
endothelial dysfunction	C0856169	IS_TREATED	["35861684_fullText_1"]	Pentoxifylline	C0030899
Severe malnutrition	C0311276	IS_TREATED	["26296515_fullText_7"]	Ephedrine	C0014479
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["26552645_fullText_3"]	Ephedrine	C0014479
Obesity	C0028754	IS_TREATED	["34533553_fullText_1"]	Plant alkaloid	C0301258
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["35290649_fullText_1"]	aclidinium bromide	C2699758
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34686204_fullText_2"]	aclidinium	C2699757
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34489206_fullText_1"]	aclidinium	C2699757
Sjogren's Syndrome	C1527336	IS_TREATED	["35765109_fullText_2"]	cevimeline	C0093437
Tonic - clonic seizures	C0494475	IS_TREATED	["31640729_fullText_42"]	Phenobarbital	C0031412
Hypertensive disease	C0020538	IS_TREATED	["36196467_fullText_6"]	Aldosterone	C0002006
Neurodegenerative Disorders	C0524851	IS_TREATED	["33861265_fullText_7"]	fucoidan	C0060794
Sleep Apnea, Obstructive	C0520679	IS_TREATED	["35975547_fullText_3"]	oxybutynin	C0069805
LONG QT SYNDROME 3	C1859062	IS_TREATED	["34427958_fullText_1"]	Sodium Channel Blockers	C0872271
Non dystrophic myotonia	C1828221	IS_TREATED	["30805745_fullText_10"]	ranolazine	C0073633
Narcolepsy	C0027404	IS_TREATED	["37446929_fullText_6","12798791_fullText_3"]	modafinil	C0066677
Cataplexy	C0007384	IS_TREATED	["37233887_fullText_3"]	pitolisant	C3529928
Narcolepsy	C0027404	IS_TREATED	["37233887_fullText_3","36758348_fullText_5"]	pitolisant	C3529928
Glaucoma	C0017601	IS_TREATED	["36001461_fullText_1"]	Timolol Maleate	C0087093
Hyperprolactinemia	C0020514	IS_TREATED	["2128051_fullText_5"]	Bromocriptine	C0006230
Parkinsonian Disorders	C0242422	IS_TREATED	["34702339_fullText_1"]	Bromocriptine	C0006230
Hyperprolactinemia	C0020514	IS_TREATED	["34702339_fullText_1"]	Bromocriptine	C0006230
Hyperglycemia	C0020456	IS_TREATED	["34702339_fullText_1"]	Bromocriptine	C0006230
Galactorrhea	C3665358	IS_TREATED	["34137053_fullText_10"]	Bromocriptine	C0006230
Hyperprolactinemia	C0020514	IS_TREATED	["34261980_fullText_1"]	Bromocriptine	C0006230
Infantile Refsum Disease (disorder)	C0282527	PRODUCES	["7686919_fullText_1"]	Prostaglandins	C0033554
Phenylketonurias	C0031485	IS_TREATED	["24560888_fullText_11"]	Caseins	C0007332
Asthma	C0004096	IS_TREATED	["37218346_fullText_1"]	Leukotriene Antagonists	C0595726
Parkinson Disease	C0030567	IS_TREATED	["33744514_fullText_2"]	Benserazide	C0005014
Sexual Dysfunction	C0549622	IS_TREATED	["37329592_fullText_3"]	vortioxetine	C3661282
Chylous effusion	C0013691	IS_TREATED	["34187907_fullText_4"]	Octreotide	C0028833
Virus Diseases	C0042769	IS_TREATED	["22327749_fullText_51"]	Amiodarone	C0002598
Epilepsy	C0014544	IS_TREATED	["34796981_fullText_2"]	Amiodarone	C0002598
Sustained ventricular tachycardia	C0750197	IS_TREATED	["22327749_fullText_44"]	Amiodarone	C0002598
Intraoperative floppy iris syndrome	C1688637	IS_TREATED	["34652535_fullText_6"]	Anti-Inflammatory Agents, Non-Steroidal	C0003211
Juvenile arthritis	C3495559	IS_TREATED	["33722205_fullText_4"]	Anti-Inflammatory Agents, Non-Steroidal	C0003211
Migraine Disorders	C0149931	IS_TREATED	["37584847_fullText_3"]	Anti-Inflammatory Agents, Non-Steroidal	C0003211
Septicemia	C0036690	IS_TREATED	["37864722_fullText_1"]	landiolol	C0905464
Acute heart failure	C0264714	IS_TREATED	["37864722_fullText_1"]	landiolol	C0905464
Critical Illness	C0010340	IS_TREATED	["37864722_fullText_1"]	landiolol	C0905464
Supraventricular tachycardia	C0039240	IS_TREATED	["35979562_fullText_2"]	landiolol	C0905464
Inappropriate sinus tachycardia	C1881170	IS_TREATED	["35979562_fullText_2"]	landiolol	C0905464
Glaucoma	C0017601	IS_TREATED	["33844617_fullText_1"]	Brimonidine tartrate	C0077768
Ocular hyperemia	C0155169	IS_TREATED	["35951740_fullText_7"]	Brimonidine tartrate	C0077768
Sleep Apnea, Obstructive	C0520679	IS_TREATED	["35709641_fullText_8"]	Drug Combinations	C0013162
Asthma	C0004096	IS_TREATED	["34936532_fullText_1"]	Drug Combinations	C0013162
Heart failure	C0018801	IS_TREATED	["37940331_fullText_1"]	Drug Combinations	C0013162
Phenylketonurias	C0031485	IS_TREATED	["2360545_fullText_1"]	Zinc	C0043481
Endometriosis	C0014175	IS_TREATED	["31027145_fullText_33"]	Leuprolide	C0085272
Pituitary Diseases	C0032002	PRODUCES	["787856_fullText_4"]	Gonadotropins	C0018061
Toxic Shock Syndrome	C0600327	IS_TREATED	["35593100_fullText_7"]	bilastine	C1101148
Hypoplastic enamel-onycholysis-hypohidrosis syndrome	C0406735	IS_TREATED	["35593100_fullText_7"]	bilastine	C1101148
Movement Disorders	C0026650	IS_TREATED	["21431622_fullText_354"]	Amantadine	C0002403
Parkinson Disease	C0030567	IS_TREATED	["37973769_fullText_18"]	zonisamide	C0078844
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34140019_fullText_4","35948844_fullText_4"]	olodaterol	C2934193
Advanced cirrhosis	C1263666	IS_TREATED	["35616800_fullText_4"]	Albumin Human, USP	C0304925
Restless Legs Syndrome	C0035258	IS_TREATED	["34137476_fullText_2"]	Dipyridamole	C0012582
Restless Legs Syndrome	C0035258	IS_TREATED	["34137476_fullText_12"]	Dipyridamole	C0012582
Endometriosis	C0014175	IS_TREATED	["35163699_fullText_12"]	quinagolide	C0256089
Akathisia, Tardive	C0162549	IS_TREATED	["36522124_fullText_8"]	Acetaminophen	C0000970
Neuropathy	C0442874	IS_TREATED	["35754070_fullText_12"]	Acetaminophen	C0000970
Gastroparesis	C0152020	IS_TREATED	["36749528_fullText_6"]	Domperidone	C0013015
Neurodegenerative Disorders	C0524851	IS_TREATED	["33806197_fullText_10"]	Butylated Hydroxytoluene	C0006507
Acute myocardial infarction	C0155626	IS_TREATED	["35621210_fullText_3"]	cangrelor	C1121991
Chronic kidney disease stage 5	C2316810	IS_TREATED	["31985336_abstract_8"]	Allopurinol	C0002144
Kidney Failure, Acute	C0022660	IS_TREATED	["34029971_fullText_4"]	acetamide	C0050423
Migraine Disorders	C0149931	IS_TREATED	["34304734_fullText_3"]	Sumatriptan	C0075632
Glaucoma	C0017601	IS_TREATED	["36097849_fullText_3"]	Timolol	C0040233
Ocular Hypertension	C0028840	IS_TREATED	["35278294_fullText_1"]	Timolol	C0040233
Dermatologic disorders	C0037274	IS_TREATED	["34798680_fullText_2"]	Timolol	C0040233
Pyogenic granuloma	C0085653	IS_TREATED	["34672473_fullText_4"]	Timolol	C0040233
Glaucoma, Primary Open Angle	C0339573	IS_TREATED	["35278294_fullText_1"]	Timolol	C0040233
Phenylketonurias	C0031485	IS_TREATED	["31102715_fullText_7"]	Amprenavir	C0754188
Phenylketonurias	C0031485	IS_TREATED	["30037505_fullText_4"]	Amprenavir	C0754188
Painful Bladder Syndrome	C1720830	IS_TREATED	["21795378_fullText_23","26708183_fullText_61"]	Acetone	C0001002
Painful Bladder Syndrome	C1720830	IS_TREATED	["26908607_fullText_197"]	DAPI	C0057142
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	IS_TREATED	["34890517_fullText_2"]	Topical agent	C1644713
Acute heart failure	C0264714	IS_TREATED	["33739204_fullText_1"]	Levosimendan	C0246904
Heart failure	C0018801	IS_TREATED	["34384564_fullText_9"]	Metformin	C0025598
Diabetes	C0011847	IS_TREATED	["34384564_fullText_9"]	Metformin	C0025598
Hyperinsulinism	C0020459	IS_TREATED	["34615619_fullText_5"]	Metformin	C0025598
Hyperglycemia	C0020456	IS_TREATED	["15717887_fullText_10"]	Metformin	C0025598
Myotonic Dystrophy	C0027126	IS_TREATED	["19506327_fullText_5"]	Metformin	C0025598
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["19506327_fullText_5"]	Metformin	C0025598
