Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Sleep Apnea, Obstructive	C0520679	IS_TREATED	["35313858_fullText_7"]	Angiotensin-Converting Enzyme Inhibitors	C0003015
Cardiomyopathies	C0878544	IS_TREATED	["23137741_fullText_3"]	Angiotensin-Converting Enzyme Inhibitors	C0003015
Heart failure	C0018801	IS_TREATED	["33781390_fullText_2"]	Angiotensin-Converting Enzyme Inhibitors	C0003015
Cardiac dilatation	C0264732	IS_TREATED	["22327749_fullText_55"]	Angiotensin-Converting Enzyme Inhibitors	C0003015
Heart failure	C0018801	IS_TREATED	["34364800_fullText_3"]	Angiotensin II receptor antagonist	C0521942
Cardiomyopathies	C0878544	IS_TREATED	["23137741_fullText_3"]	Angiotensin II receptor antagonist	C0521942
Heart failure	C0018801	IS_TREATED	["33781390_fullText_2"]	Angiotensin II receptor antagonist	C0521942
Alzheimer's Disease	C0002395	IS_TREATED	["35684298_fullText_1"]	Calcium Channel Blockers	C0006684
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34650619_fullText_1"]	tiotropium bromide	C1306772
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34342835_fullText_1"]	formoterol fumarate	C0771469
Myotonic Dystrophy	C0027126	IS_TREATED	["8099979_fullText_5"]	sevoflurane	C0074414
Non-Convulsive Status Epilepticus	C0751523	IS_TREATED	["30029642_fullText_25"]	Benzodiazepines	C0005064
Allergic disposition	C3539909	IS_TREATED	["34587362_fullText_8"]	Antihistamines	C0003360
Motion Sickness	C0026603	IS_TREATED	["36250781_fullText_10","36250781_fullText_24"]	Antihistamines	C0003360
Chronic urticaria	C0263338	IS_TREATED	["33931937_fullText_2"]	Antihistamines	C0003360
Cardiovascular Diseases	C0007222	IS_TREATED	["34438076_fullText_5"]	Antihistamines	C0003360
early pregnancy	C0747845	IS_TREATED	["36207047_fullText_6"]	Antihistamines	C0003360
Motion Sickness	C0026603	IS_TREATED	["36250781_fullText_2"]	Antihistamines	C0003360
Recurrent disease	C0277556	IS_TREATED	["36109351_fullText_4"]	Anti-Histamine	C1961851
Cutaneous hypersensitivity	C0585186	IS_TREATED	["34560549_fullText_1"]	Anti-Histamine	C1961851
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["36185170_fullText_1","35429764_fullText_1","35418750_fullText_1","36434678_fullText_2","33821890_fullText_1","35849317_fullText_2"]	Muscarinic Antagonists	C0003385
Asthma	C0004096	IS_TREATED	["34626859_fullText_1"]	Muscarinic Antagonists	C0003385
Overactive Bladder	C0878773	IS_TREATED	["37191196_fullText_1","35272333_fullText_1"]	Muscarinic Antagonists	C0003385
