Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
Gravidity	C0600457	IS_TREATED	["37874567_fullText_12"]	Adrenergic Agonists	C0001648
Gravidity	C0600457	IS_TREATED	["37874567_fullText_12"]	Adrenal Cortex Hormones	C0001617
Gravidity	C0600457	IS_TREATED	["36094046_fullText_2"]	Antidepressive Agents	C0003289
Gravidity	C0600457	IS_TREATED	["37517656_fullText_6"]	Histamine H1 Antagonists	C0019592
partial response	C1521726	IS_TREATED	["36043350_fullText_5"]	Fluoxetine	C0016365
Self injury	C3809885	IS_TREATED	["37811711_fullText_19"]	Antidepressive Agents	C0003289
Seizures, early onset	C3275909	IS_TREATED	["24664145_fullText_11"]	pyridoxine	C0034272
Cardiac Arrhythmia	C0003811	IS_TREATED	["35093388_fullText_3"]	Bisoprolol	C0053799
Cardiac Arrhythmia	C0003811	IS_TREATED	["34533690_fullText_5"]	Adrenergic beta-Antagonists	C0001645
Observation of attack	C1304680	IS_TREATED	["34644189_fullText_3","34275352_fullText_1","37524744_fullText_2","35593784_fullText_2"]	Triptans	C1567966
Observation of attack	C1304680	IS_TREATED	["37578023_fullText_3","37578023_abstract_3"]	canakinumab	C2718773
Inflammatory lesion	C3872830	IS_TREATED	["36724132_fullText_9"]	Nitric Oxide	C0028128
Abstinence	C3843422	IS_TREATED	["34649897_fullText_3"]	Bupropion	C0085208
Abstinence	C3843422	IS_TREATED	["37069490_fullText_5"]	varenicline	C1569608
Abstinence	C3843422	IS_TREATED	["37678096_fullText_5"]	cytisine	C0056913
Repetitious behavior	C1827547	IS_TREATED	["34856309_fullText_3"]	Histamine H3 Antagonists	C1956071
Repetitious behavior	C1827547	IS_TREATED	["34643815_fullText_4"]	Selective Serotonin Reuptake Inhibitors	C0360105
Repetitious behavior	C1827547	IS_TREATED	["34744001_fullText_9"]	Fluoxetine	C0016365
Pruritus	C0033774	IS_TREATED	["35675220_fullText_1"]	Heat Shock Protein Inhibitor	C2697571
Pruritus	C0033774	IS_TREATED	["35743023_fullText_8"]	Antihistamines	C0003360
Pruritus	C0033774	IS_TREATED	["34326284_fullText_8"]	Mirtazapine	C0049506
Pruritus	C0033774	IS_TREATED	["34830245_fullText_4"]	Biological Response Modifiers	C0005525
Pruritus	C0033774	IS_TREATED	["35675220_fullText_1","34864727_fullText_9"]	Cannabinoid Receptor Agonists	C2927148
Pruritus	C0033774	IS_TREATED	["34326284_fullText_8"]	Antidepressive Agents	C0003289
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	IS_TREATED	["36549972_fullText_3"]	Adrenergic beta-Antagonists	C0001645
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	IS_TREATED	["34963443_fullText_8"]	Bromocriptine	C0006230
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	IS_TREATED	["37251366_fullText_5"]	clopidogrel	C0070166
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	IS_TREATED	["37251366_fullText_5"]	Ticagrelor	C1999375
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	IS_TREATED	["37246063_fullText_4"]	Sugammadex	C1700695
Drooling	C0013132	IS_TREATED	["32972427_fullText_37"]	Levocarnitine	C0087163
Drooling	C0013132	IS_TREATED	["34998418_fullText_13","32972427_fullText_37"]	Glycopyrrolate	C0017970
Ventricular Premature Complex by ECG Finding	C3714652	IS_TREATED	["34922221_fullText_4"]	Adrenergic beta-Antagonists	C0001645
Inflammatory pain	C0234251	IS_TREATED	["35658695_fullText_12"]	Adrenergic Agonists	C0001648
Inflammatory pain	C0234251	IS_TREATED	["37331003_fullText_7"]	Serotonin 5-HT1A Receptor Agonists	C2936511
Inflammatory pain	C0234251	IS_TREATED	["36122809_fullText_10"]	Tetrahydrocannabinol	C0039663
Inflammatory pain	C0234251	IS_TREATED	["36122809_fullText_10"]	Carbidopa	C0006982
Neuralgia	C0027796	IS_TREATED	["36372242_fullText_8","36372242_fullText_10"]	Cetirizine	C0055147
Neuralgia	C0027796	IS_TREATED	["35754070_fullText_9"]	gabapentin	C0060926
Neuralgia	C0027796	IS_TREATED	["36372242_fullText_10"]	Morphine	C0026549
Neuralgia	C0027796	IS_TREATED	["35754070_fullText_10"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Neuralgia	C0027796	IS_TREATED	["34332778_fullText_7"]	Opioids	C0242402
Neuralgia	C0027796	IS_TREATED	["34673421_fullText_2"]	Adrenergic Agonists	C0001648
Neuralgia	C0027796	IS_TREATED	["35754070_fullText_9"]	pregabalin	C0657912
Actual Positive Blood Pressure	C2712122	IS_TREATED	["33832897_fullText_3"]	Fructose	C0016745
Hyperalgesia	C0020429	IS_TREATED	["34166321_fullText_10"]	Diphosphates	C0034320
Pain score	C0582148	IS_TREATED	["34474267_fullText_5"]	Metoclopramide	C0025853
36+ months	C3843385	IS_TREATED	["21332590_fullText_1"]	Phenylalanine	C0031453
ST segment	C0429029	IS_TREATED	["34167672_fullText_6"]	prasugrel	C1620287
ST segment	C0429029	IS_TREATED	["34514849_fullText_3"]	Heparin	C0019134
ST segment	C0429029	IS_TREATED	["34514849_fullText_3"]	bivalirudin	C0168273
Urinary Incontinence Adverse Event	C1962973	IS_TREATED	["37226116_fullText_1"]	onabotulinumtoxinA	C2719767
Urinary Incontinence Adverse Event	C1962973	IS_TREATED	["37791545_fullText_3"]	Estrogens	C0014939
Urinary Incontinence Adverse Event	C1962973	IS_TREATED	["34830281_fullText_1"]	Muscarinic Antagonists	C0003385
Memory observations	C0700327	IS_TREATED	["35577394_fullText_1"]	Dopamine	C0013030
Non-compliant behavior	C0474415	IS_TREATED	["36193931_fullText_9"]	limited use	C3241999
> 2/day	C3843640	IS_TREATED	["34884536_fullText_6"]	animal allergen extracts	C3540698
Cardiovascular finding	C0425560	IS_TREATED	["34911135_fullText_10"]	Amino Acids	C0002520
Cardiovascular finding	C0425560	IS_TREATED	["35230706_fullText_1"]	agonists	C0243192
Cardiovascular finding	C0425560	IS_TREATED	["35230706_fullText_1"]	Adenosine	C0001443
Mechanical Allodynia	C2936719	IS_TREATED	["34774500_fullText_5"]	agonists	C0243192
Mechanical Allodynia	C2936719	IS_TREATED	["34391797_fullText_7"]	LY 235959	C0257654
Mechanical Allodynia	C2936719	IS_TREATED	["35658695_fullText_9"]	Adrenergic Agonists	C0001648
Mechanical Allodynia	C2936719	IS_TREATED	["34192579_fullText_4"]	Carbidopa	C0006982
Mechanical Allodynia	C2936719	IS_TREATED	["34846548_fullText_9"]	caryophyllene	C0054838
Mechanical Allodynia	C2936719	IS_TREATED	["34774500_fullText_5"]	AM 1241	C1098957
blood pressure fluctuation	C0549405	IS_TREATED	["33769959_fullText_6"]	Blockade	C3540676
daytime sleepiness	C0541854	IS_TREATED	["16855999_fullText_8"]	modafinil	C0066677
daytime sleepiness	C0541854	IS_TREATED	["20803968_fullText_1","16855999_fullText_10"]	modafinil	C0066677
Nose symptoms	C0231918	IS_TREATED	["35446512_fullText_7"]	nasal saline	C0721973
Nose symptoms	C0231918	IS_TREATED	["34647283_fullText_5"]	Antihistamines	C0003360
Mental state (observable entity)	C0278060	IS_TREATED	["38515136_fullText_6"]	Phenylalanine	C0031453
analgesic effect	C0948482	IS_TREATED	["36356937_fullText_4"]	Tetrahydrocannabinol	C0039663
analgesic effect	C0948482	IS_TREATED	["35658695_fullText_10"]	yohimbine	C0724441
analgesic effect	C0948482	IS_TREATED	["35122794_fullText_9"]	Blockade	C3540676
analgesic effect	C0948482	IS_TREATED	["36752814_fullText_5"]	Antihistamines	C0003360
analgesic effect	C0948482	IS_TREATED	["36748975_fullText_4"]	NMDA receptor antagonist	C0598695
analgesic effect	C0948482	IS_TREATED	["36356937_fullText_4"]	Heroin	C0011892
analgesic effect	C0948482	IS_TREATED	["33760644_fullText_10"]	Ro 25-6981	C0669120
Immobile	C0231441	IS_TREATED	["33712507_fullText_5"]	Muscarinic Antagonists	C0003385
Immobile	C0231441	IS_TREATED	["33712507_fullText_5"]	Scopolamine	C0036442
Immobile	C0231441	IS_TREATED	["34425507_fullText_9"]	Duration	C2926735
Immobile	C0231441	IS_TREATED	["33910028_fullText_2"]	donepezil	C0527316
Immobile	C0231441	IS_TREATED	["35500452_fullText_4"]	Citalopram	C0008845
Neuropathic pain	C3714625	IS_TREATED	["34481450_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
Neuropathic pain	C3714625	IS_TREATED	["37480023_fullText_8"]	Analgesics	C0002771
