Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
cardiovascular problem	C0850760	IS_TREATED	["35842897_fullText_2"]	Pharmacologic Substance	C1254351
Acute vomiting	C0232597	IS_TREATED	["35355772_fullText_8"]	maropitant	C1871004
Visceral Pain	C0234245	IS_TREATED	["37833878_fullText_12"]	Cannabinoids	C0006864
Hyperhidrosis disorder	C0020458	IS_TREATED	["35427257_fullText_1"]	Anticholinergic Agents	C0242896
Hyperhidrosis disorder	C0020458	IS_TREATED	["35393764_fullText_10"]	Cisatracurium	C1096766
Hyperhidrosis disorder	C0020458	IS_TREATED	["36263444_fullText_2"]	Glycopyrrolate	C0017970
Muscle Spasticity	C0026838	IS_TREATED	["37348821_fullText_2"]	Cannabinoids	C0006864
Social withdrawal	C0424095	IS_TREATED	["34653559_fullText_9"]	Hesperidin	C0019392
Noisy respiration	C0237304	IS_TREATED	["35446669_fullText_6"]	Muscarinic Antagonists	C0003385
Bladder pain	C0232849	IS_TREATED	["34607587_fullText_6"]	Opioids	C0242402
Prolonged menses	C0425945	IS_TREATED	["34587384_fullText_1"]	Antidepressive Agents	C0003289
Urine volume finding	C1287298	IS_TREATED	["34118232_fullText_6"]	U-50488	C0147448
New York Heart Association Class II	C1882085	IS_TREATED	["34911641_fullText_8"]	Lysine	C0024337
Frailty	C0424594	IS_TREATED	["36193578_fullText_6"]	Adrenergic beta-Antagonists	C0001645
Frailty	C0424594	IS_TREATED	["36193578_fullText_6"]	Ras Inhibitor	C1514727
normal patient	C0848894	IS_TREATED	["11043158_fullText_6"]	Phenylalanine	C0031453
Palpitations	C0030252	IS_TREATED	["37682158_fullText_9"]	carvedilol	C0054836
Tachyarrhythmia	C0080203	IS_TREATED	["28416514_fullText_147"]	Anti-Arrhythmia Agents	C0003195
Dryness of eye	C0314719	IS_TREATED	["37080380_fullText_2"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Low APGAR scores	C0549400	IS_TREATED	["34623076_fullText_4"]	Antidepressive Agents	C0003289
MISUSE	C0549649	IS_TREATED	["35987306_fullText_7"]	eticlopride	C0059853
MISUSE	C0549649	IS_TREATED	["35276118_fullText_4"]	Opioids	C0242402
MISUSE	C0549649	IS_TREATED	["37258429_fullText_14"]	donepezil	C0527316
Overweight	C0497406	IS_TREATED	["34735098_fullText_4"]	Bupropion	C0085208
General symptom	C0159028	IS_TREATED	["35948343_fullText_3"]	Antidepressive Agents	C0003289
General symptom	C0159028	IS_TREATED	["36162349_fullText_9"]	Adrenergic Antagonists	C0242889
Decreased renal function	C0232807	IS_TREATED	["35934764_fullText_5"]	Sugammadex	C1700695
Tinnitus	C0040264	IS_TREATED	["34036823_fullText_9"]	gabapentin	C0060926
Tinnitus	C0040264	IS_TREATED	["34036823_fullText_2"]	gabapentin	C0060926
Homelessness	C0237154	IS_TREATED	["34799872_fullText_1"]	Antidepressive Agents	C0003289
Several days	C3845714	IS_TREATED	["24957181_fullText_33"]	Trihexyphenidyl	C0041009
Several days	C3845714	IS_TREATED	["24957181_fullText_33"]	Diazepam	C0012010
Several days	C3845714	IS_TREATED	["30135079_fullText_118"]	ethylene diurea	C0059804
Several days	C3845714	IS_TREATED	["23240525_fullText_2"]	Basis	C1874451
Several days	C3845714	IS_TREATED	["24664145_fullText_5"]	pyridoxine	C0034272
Primary nocturnal enuresis	C2228139	IS_TREATED	["36043350_fullText_1"]	Fluoxetine	C0016365
Primary nocturnal enuresis	C2228139	IS_TREATED	["36043350_fullText_5"]	Fluoxetine	C0016365
Primary nocturnal enuresis	C2228139	IS_TREATED	["36043350_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Fractures of the long bones	C0240231	IS_TREATED	["36030445_fullText_7"]	Selective Serotonin Reuptake Inhibitors	C0360105
total lipids	C0369610	IS_TREATED	["23827125_fullText_4"]	Eicosapentaenoic Acid	C0000545
Hypersomnolence	C0751229	IS_TREATED	["3713739_fullText_2"]	Methylphenidate	C0025810
Hypersomnolence	C0751229	IS_TREATED	["17285226_fullText_1"]	modafinil	C0066677
blood loss risk	C3251812	IS_TREATED	["34275780_fullText_5"]	clopidogrel	C0070166
Blood loss status	C1319214	IS_TREATED	["36215960_fullText_3"]	Ticagrelor	C1999375
Non-ST Elevation Myocardial Infarction by ECG Finding	C3537184	IS_TREATED	["35429947_fullText_4"]	clopidogrel	C0070166
Non-ST Elevation Myocardial Infarction by ECG Finding	C3537184	IS_TREATED	["35429947_fullText_4"]	Adrenergic beta-Antagonists	C0001645
Non-ST Elevation Myocardial Infarction by ECG Finding	C3537184	IS_TREATED	["36206137_fullText_7"]	prasugrel	C1620287
Non-ST Elevation Myocardial Infarction by ECG Finding	C3537184	IS_TREATED	["34514849_fullText_3"]	Heparin	C0019134
Non-ST Elevation Myocardial Infarction by ECG Finding	C3537184	IS_TREATED	["34514849_fullText_3"]	bivalirudin	C0168273
Non-ST Elevation Myocardial Infarction by ECG Finding	C3537184	IS_TREATED	["36206137_fullText_7"]	Ticagrelor	C1999375
Ability to walk	C0559964	IS_TREATED	["37218390_fullText_6"]	Hypnotics	C0020591
Hospital patient (finding)	C0239966	IS_TREATED	["35670771_fullText_1"]	Marihuana	C0024808
Patient status	C0449437	IS_TREATED	["12968295_fullText_5"]	Vitamins	C0042890
blank	C0750479	IS_TREATED	["36917582_fullText_1"]	heliox	C0062185
Biphasic Pattern	C1332555	IS_TREATED	["12859675_fullText_5"]	Dopamine	C0013030
Duration of gestation	C0460089	IS_TREATED	["34464696_fullText_6"]	Ethanol	C0001962
allergic symptom	C0740903	IS_TREATED	["35429867_fullText_2"]	bilastine	C1101148
allergic symptom	C0740903	IS_TREATED	["36417570_fullText_3"]	Antihistamines	C0003360
Lack of Efficacy	C0235828	IS_TREATED	["36928484_fullText_2"]	Antidepressive Agents	C0003289
ca increase	C0553702	IS_TREATED	["27763639_fullText_32"]	paxilline	C0083955
Unresponsiveness	C0241526	IS_TREATED	["34747977_fullText_2"]	Nadolol	C0027302
Musculoskeletal Pain	C0026858	IS_TREATED	["33710319_fullText_7"]	Analgesics	C0002771
Mental problem	C0848067	IS_TREATED	["35561568_fullText_7"]	liraglutide	C1456408
Mental problem	C0848067	IS_TREATED	["35437683_fullText_8"]	Psychotropic Drugs	C0033978
Decreased pressure	C0520819	IS_TREATED	["37482222_fullText_14"]	Folic Acid	C0016410
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	Selective Serotonin Reuptake Inhibitors	C0360105
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	Amitriptyline	C0002600
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	Tetracyclic antidepressant	C0360108
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	Imipramine	C0020934
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	Anti-Anxiety Agents	C0040616
Nonulcer dyspepsia	C0267167	IS_TREATED	["36842175_fullText_5"]	levosulpiride	C0210380
Patient ventilated	C1299448	IS_TREATED	["36419197_fullText_2"]	Sedatives	C0036557
New York Heart Association Class I	C1882084	IS_TREATED	["34911641_fullText_8"]	Lysine	C0024337
Frail	C0871754	IS_TREATED	["37047938_fullText_8"]	Phenformin Hydrochloride	C0770237
Step length	C0427126	IS_TREATED	["33754884_fullText_8"]	Fluconazole	C0016277
Injury 2	C3842783	IS_TREATED	["34112758_fullText_2"]	mirabegron	C2983812
Supraventricular Tachycardia by ECG Finding	C3815188	IS_TREATED	["35258638_fullText_9"]	Anti-Arrhythmia Agents	C0003195
hypertension chronic	C0745114	IS_TREATED	["38419071_fullText_69"]	Diuretics	C0012798
hypertension chronic	C0745114	IS_TREATED	["38419071_fullText_69"]	Clonidine	C0009014
Canadian Cardiovascular Society Grading Scale Class III	C2698969	IS_TREATED	["34915981_fullText_3"]	Metoprolol	C0025859
Recovery of Function	C0599766	IS_TREATED	["35748547_fullText_2"]	Selective Serotonin Reuptake Inhibitors	C0360105
Recovery of Function	C0599766	IS_TREATED	["35748547_fullText_2"]	Tricyclic Antidepressive Agents	C0003290
Abnormal androgen	C0542079	IS_TREATED	["12602971_fullText_4"]	Androgens	C0002844
Fourth Stage of Labor	C2985294	IS_TREATED	["37205743_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
Fourth Stage of Labor	C2985294	IS_TREATED	["37205743_fullText_6"]	Selective Serotonin Reuptake Inhibitors	C0360105
Fourth Stage of Labor	C2985294	IS_TREATED	["36703575_fullText_6"]	Phentolamine	C0031448
Severe brain damage	C3279537	IS_TREATED	["7106768_fullText_5"]	Phenylalanine	C0031453
Postoperative Nausea and Vomiting	C0520909	IS_TREATED	["37128935_fullText_3"]	aprepitant	C1176306
Arterial flow	C0429856	IS_TREATED	["34101137_fullText_1"]	prasugrel	C1620287
Constant movement	C0424236	IS_TREATED	["34060465_fullText_2"]	Metoclopramide	C0025853
Line 2	C3843265	IS_TREATED	["26785728_fullText_126"]	Level	C2946261
Complicated grieving	C1960756	IS_TREATED	["34000119_fullText_2"]	Citalopram	C0008845
Short arm	C0426857	IS_TREATED	["36645274_fullText_3"]	Dopamine	C0013030
Lipid droplet accumulation	C3278535	IS_TREATED	["34849584_fullText_81"]	Antioxidants	C0003402
6/4.5	C1631070	IS_TREATED	["37247474_fullText_5"]	Marihuana	C0024808
identifies medication	C0518534	IS_TREATED	["37892121_fullText_6"]	bilastine	C1101148
Epilepsy severity	C1319803	IS_TREATED	["35761500_fullText_5"]	duloxetine	C0245561
Cephalopelvic Disproportion	C0085988	IS_TREATED	["36367720_fullText_5"]	Cotinine	C0010194
Motor disturbances	C2220255	IS_TREATED	["36746310_fullText_3"]	Glycine	C0017890
Rhythm from artificial pacing	C0232193	IS_TREATED	["36999245_fullText_4"]	Adrenergic beta-Antagonists	C0001645
Nasal obstruction present finding	C0027429	IS_TREATED	["37357787_fullText_3"]	Anticholinergic Agents	C0242896
Nasal obstruction present finding	C0027429	IS_TREATED	["37357787_fullText_3"]	Decongestants	C0282374
Nasal obstruction present finding	C0027429	IS_TREATED	["37357787_fullText_3"]	Adrenal Cortex Hormones	C0001617
watery rhinorrhea	C2202981	IS_TREATED	["37357787_fullText_3"]	Adrenal Cortex Hormones	C0001617
watery rhinorrhea	C2202981	IS_TREATED	["37357787_fullText_3"]	Anticholinergic Agents	C0242896
watery rhinorrhea	C2202981	IS_TREATED	["37357787_fullText_3"]	Decongestants	C0282374
Perseverative behavior	C1843368	IS_TREATED	["34921828_fullText_10"]	Selective Serotonin Reuptake Inhibitors	C0360105
Acute low back pain	C0457950	IS_TREATED	["37054418_fullText_15"]	Diclofenac	C0012091
Acute low back pain	C0457950	IS_TREATED	["37054418_fullText_15"]	Ketorolac	C0073631
Acute low back pain	C0457950	IS_TREATED	["37054418_fullText_15"]	Ibuprofen	C0020740
Genitourinary symptoms	C0426317	IS_TREATED	["37834122_fullText_5"]	Cannabidiol	C0006863
Genitourinary symptoms	C0426317	IS_TREATED	["37834122_fullText_5"]	Tetrahydrocannabinol	C0039663
GA-1	C3840680	IS_TREATED	["16430418_fullText_3"]	Anesthetics	C0002932
body ache	C0741585	IS_TREATED	["34818261_fullText_8"]	Phosphodiesterase Inhibitors	C0031638
Tumor Mass	C3273930	IS_TREATED	["36280567_fullText_6"]	agonists	C0243192
Train of four ratio	C0428698	IS_TREATED	["36229945_fullText_4"]	Neostigmine	C0027679
Self-employed	C0425092	IS_TREATED	["35598746_fullText_6"]	Antidepressive Agents	C0003289
Sedative withdrawal	C3531755	IS_TREATED	["36346349_fullText_12"]	Dexmedetomidine	C0113293
Sedative withdrawal	C3531755	IS_TREATED	["36346349_fullText_4","36346349_fullText_12"]	Dexmedetomidine	C0113293
Increased vascular resistance	C0520890	IS_TREATED	["35861684_fullText_1"]	Phosphodiesterase Inhibitors	C0031638
Increased vascular resistance	C0520890	IS_TREATED	["35861684_fullText_1"]	adenosine receptor antagonist	C0815050
Increased vascular resistance	C0520890	IS_TREATED	["35861684_fullText_1"]	Pentoxifylline	C0030899
Prodromal Period	C3494360	IS_TREATED	["35851379_fullText_9"]	Selective Serotonin Reuptake Inhibitors	C0360105
Language spoken	C0424919	IS_TREATED	["26061925_fullText_3"]	Phenylalanine	C0031453
Radicular pain	C0278147	IS_TREATED	["35754070_fullText_12"]	Acetaminophen	C0000970
Radicular pain	C0278147	IS_TREATED	["35754070_fullText_12"]	duloxetine	C0245561
Bereavement, life event (finding)	C1879338	IS_TREATED	["34103192_fullText_5"]	Aspirin	C0004057
Bereavement, life event (finding)	C1879338	IS_TREATED	["34103192_fullText_5"]	Adrenergic beta-Antagonists	C0001645
Ability to communicate	C0565998	IS_TREATED	["35501967_fullText_7"]	Citalopram	C0008845
Vulval pain	C0241718	IS_TREATED	["37984764_fullText_2"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Aroused sexually	C1314759	IS_TREATED	["37532077_fullText_13"]	WITHANIA SOMNIFERA	C2930158
Recent myocardial infarction	C1998297	IS_TREATED	["36815843_fullText_2"]	Adrenergic beta-Antagonists	C0001645
completed ninth grade	C1883654	IS_TREATED	["37656712_fullText_10"]	Marihuana	C0024808
completed seventh grade	C1883651	IS_TREATED	["37656712_fullText_10"]	Marihuana	C0024808
Drug Withdrawal Symptoms	C0086189	IS_TREATED	["34928557_fullText_1"]	Selective Serotonin Reuptake Inhibitors	C0360105
Seizures in the newborn, refractory	C3151685	IS_TREATED	["35211704_fullText_5"]	pyridoxine	C0034272
prevention side effects	C0814346	IS_TREATED	["29954767_fullText_2"]	pyridoxine	C0034272
abnormal quantities	C1948079	IS_TREATED	["1945471_fullText_3"]	glutaric acid	C0061506
Increased IgG	C0239988	IS_TREATED	["35137040_fullText_6"]	Polysaccharides	C0032594
Endocrine dysgenesis	C2750596	IS_TREATED	["29112118_fullText_75"]	Mannose	C0024742
Electrocardiogram atrioventricular block complete heart block	C2215935	IS_TREATED	["24932094_fullText_16"]	Isoproterenol	C0022245
Electrocardiogram atrioventricular block complete heart block	C2215935	IS_TREATED	["24932094_fullText_16"]	Atropine	C0004259
Genetic carrier status	C0949156	IS_TREATED	["1843186_fullText_7"]	Program	C2728259
Reduced fertility	C1867795	IS_TREATED	["21283659_fullText_26"]	Basis	C1874451
Increased tolerance	C0151956	IS_TREATED	["24373161_fullText_1"]	Phenylalanine	C0031453
Laryngeal paresis	C1268572	IS_TREATED	["11932983_fullText_3"]	Pharmacologic Substance	C1254351
MUT	C3813722	IS_TREATED	["33771987_fullText_161"]	Glucose	C0017725
Hb S	C3844842	IS_TREATED	["23896802_fullText_1"]	chloroflurenol-methyl	C0055412
Hb S	C3844842	IS_TREATED	["22492623_fullText_41"]	Buffers	C0006353
METHOD:*	C5445274	IS_TREATED	["38870029_fullText_57"]	Dimethyl Sulfoxide	C0012403
treated by diet	C0749645	IS_TREATED	["25007061_fullText_3"]	Phenylalanine	C0031453
Myoclonic Seizures	C4317123	IS_TREATED	["38070824_fullText_5"]	perampanel	C2698764
EPILEPSY, MITOCHONDRIAL	C4016624	IS_TREATED	["39231983_fullText_7"]	Cannabidiol	C0006863
