Gene	Gene_id	RELATION	PROVENANCE	Pathway	Pathway_id
PAH gene	C1418251	AFFECTS	["33970801_fullText_10","8965095_fullText_1","8629090_fullText_9"]	phenylalanine 4-monooxygenase activity	C1151127
HULC gene	C2677155	AFFECTS	["35101330_fullText_3"]	phenylalanine 4-monooxygenase activity	C1151127
mutant gene	C0678941	AFFECTS	["27620137_fullText_3"]	phenylalanine 4-monooxygenase activity	C1151127
PAH gene	C1418251	DISRUPTS	["15922970_fullText_1"]	phenylalanine 4-monooxygenase activity	C1151127
DEGS1 wt Allele	C3539688	AFFECTS	["34524592_fullText_5"]	protein kinase activity	C1150527
RNF213 gene	C1422738	AFFECTS	["37924258_fullText_7"]	zinc ion binding	C1148621
AASS gene	C1424938	AFFECTS	["36128717_fullText_51"]	lysine catabolism	C1156685
LOR gene	C1416897	AFFECTS	["36128717_fullText_119"]	lysine catabolism	C1156685
SIRT5 gene	C1423065	AFFECTS	["35157847_fullText_73"]	lysine catabolism	C1156685
ALDH7A1 gene	C1412691	AFFECTS	["28087462_fullText_1"]	lysine catabolism	C1156685
SLC39A8 gene	C1427169	AFFECTS	["33413482_fullText_88"]	Bone Development	C0005939
LRP4 gene	C1416916	AFFECTS	["37640745_fullText_6"]	neuromuscular transmission	C0260043
IMPACT gene	C1825598	AFFECTS	["36699037_fullText_5"]	gonadotropin hormone-releasing hormone activity	C1149487
SLC6A4 gene	C1420214	DISRUPTS	["37644775_fullText_5"]	Palmitoylation	C0598435
PMM2 gene	C1418674	AFFECTS	["31727010_fullText_4"]	polysaccharide biosynthetic process	C1157190
PMM2 gene	C1418674	DISRUPTS	["24305089_fullText_4"]	polysaccharide biosynthetic process	C1157190
CEBPD gene	C1413324	AFFECTS	["28512194_fullText_48"]	heart development	C1749797
RENBP gene	C1419339	AFFECTS	["28512194_fullText_48"]	heart development	C1749797
EFS gene	C1424622	AFFECTS	["39059271_fullText_2"]	Metabolic Control	C1513158
ROCK2 gene	C1419598	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
GATA4 gene	C1414995	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
NOS1 gene	C1417759	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
NPPA gene	C1417807	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
TGFB1 gene	C1366557	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
NPPB gene	C1417808	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
SMAD3 gene	C0919432	ASSOCIATED_WITH		Ventricular Remodeling	C0600519
ATXN3 gene	C1538301	AUGMENTS	["38497605_fullText_146"]	deacetylase activity	C1149763
SIRT1 gene	C1423062	AUGMENTS	["27165717_fullText_55"]	deacetylase activity	C1149763
GCDH gene	C1415009	AUGMENTS	["35157847_fullText_94"]	lysine metabolic process	C1156798
FGF19 gene	C1414603	DISRUPTS	["27469511_fullText_19"]	Bile Acid Biosynthesis Pathway	C1157403
GCDH gene	C1415009	AFFECTS	["32992790_fullText_120"]	cofactor binding	C1323251
ATP6AP2 gene	C1425435	AFFECTS	["32629928_fullText_87"]	V-ATPase assembly	C2610718
VMA21 gene	C2681112	AFFECTS	["32629928_fullText_87"]	V-ATPase assembly	C2610718
ALG11 gene	C1876205	AFFECTS	["38733638_fullText_3"]	Protein Glycosylation	C0376322
PDCD6 gene	C1418406	AFFECTS	["38733638_fullText_3"]	Protein Glycosylation	C0376322
ATP6AP1 gene	C1412687	AFFECTS	["32629928_fullText_63"]	Protein Glycosylation	C0376322
DHDDS gene	C1427027	AFFECTS	["27343064_fullText_15"]	Protein Glycosylation	C0376322
PMM2 gene	C1418674	AFFECTS	["26785728_fullText_1","38430517_fullText_1"]	Protein Glycosylation	C0376322
DPAGT1 gene	C1414133	DISRUPTS	["30388443_fullText_3"]	Protein Glycosylation	C0376322
SRD5A3 gene	C2240046	DISRUPTS	["25270028_fullText_47"]	Protein Glycosylation	C0376322
GFPT1 gene	C1415046	DISRUPTS	["23488891_fullText_8"]	Protein Glycosylation	C0376322
MAN1B1 gene	C1416994	DISRUPTS	["26401844_fullText_1","34831340_fullText_15"]	Protein Glycosylation	C0376322
NGLY1 gene	C1425023	AFFECTS	["33497766_fullText_4"]	protein deglycosylation	C1157972
PMM2 gene	C1418674	DISRUPTS	["24139637_fullText_1"]	phosphomannomutase activity	C1150368
NGLY1 gene	C1425023	AFFECTS	["35406718_fullText_33","35565658_fullText_110","36102038_fullText_9","35653343_fullText_6"]	Endoplasmic Reticulum-Associated Degradation	C3178997
PMM2 gene	C1418674	AFFECTS	["35732497_fullText_0"]	N-Glycan Biosynthesis Pathway	C0596625
CHPT1 wt Allele	C3539603	AFFECTS	["25270028_fullText_27"]	dolichol biosynthetic process	C1157360
MPI gene	C1417244	AFFECTS	["12434892_fullText_5"]	mannose biosynthetic process	C1156338
ATXN3 gene	C1538301	AFFECTS	["39320846_fullText_142"]	erad	C1157980
NGLY1 gene	C1425023	AFFECTS__SPEC__	["29346549_fullText_5"]	erad	C1157980
NGLY1 gene	C1425023	AFFECTS	["29346549_fullText_5","35406718_fullText_131","35406718_fullText_133"]	erad	C1157980
MAGT1 gene	C2239666	AFFECTS	["25135935_fullText_9"]	protein disulfide isomerase activity	C1150347
REXO1L1P gene	C1826799	AFFECTS	["33477953_fullText_123"]	protein disulfide isomerase activity	C1150347
PGM1 gene	C1418516	AFFECTS	["22492991_fullText_8"]	nucleotide-sugar biosynthetic process	C1157685
TMEM199 gene	C1425293	AFFECTS	["32629928_fullText_89"]	iron metabolism	C0596803
CCDC115 gene	C1824644	AFFECTS	["32629928_fullText_89"]	iron metabolism	C0596803
MBNL1 gene	C1417055	AFFECTS	["21454535_fullText_1"]	Muscle Development	C0949649
PEX1 gene	C1418469	AFFECTS	["21669930_fullText_46"]	Muscle Development	C0949649
DMPK gene	C1414085	AFFECTS	["10936001_fullText_10"]	Cardiac conduction	C0232217
HSPB2 gene	C1415768	AUGMENTS	["9490724_fullText_85"]	autophosphorylation	C0813988
CELF2 gene	C1413825	AUGMENTS	["28512194_fullText_7"]	thymus development	C1655797
PRRT2 wt Allele	C3539645	AFFECTS	["22431750_fullText_85"]	protein stabilization	C1327386
GCDH gene	C1415009	AFFECTS	["21904051_fullText_16"]	benzoyl-CoA catabolic process	C3546982
ALDH18A1 gene	C1538262	AFFECTS	["21431621_fullText_103"]	proline biosynthetic process	C1156627
MAN2C1 gene	C1416998	AFFECTS	["35045343_fullText_145"]	mannosidase activity	C1150076
Homologous Gene	C1334043	DISRUPTS	["35045343_fullText_23"]	lipid phosphatase activity	C1323635
USP9X wt Allele	C3541878	AFFECTS	["39125643_fullText_105"]	Enzyme Activation	C0014429
JOSD1 gene	C1825638	AUGMENTS	["38497605_fullText_98"]	Monoubiquitination	C1513486
SAMD4A gene	C1826968	AFFECTS	["23637619_fullText_11"]	Increased Protein Synthesis [PE]	C1372531
DDX6 gene	C0812257	AFFECTS	["24792155_fullText_130"]	Increased Protein Synthesis [PE]	C1372531
ATXN3 gene	C1538301	AFFECTS	["39320846_fullText_25","39320846_fullText_139","38497605_fullText_155"]	Proteostasis	C4505258
GBA gene	C1414998	DISRUPTS	["37449546_fullText_4"]	glucosylceramidase activity	C1149759
ATXN3 gene	C1538301	AUGMENTS	["39320846_fullText_15"]	ubiquitinyl hydrolase activity	C1817182
ATXN3 gene	C1538301	AFFECTS	["39320846_fullText_6"]	ubiquitinyl hydrolase activity	C1817182
CST12P gene	C3539520	DISRUPTS	["2159398_fullText_4"]	nucleotidase activity	C1149915
NDUFS4 gene	C1417647	DISRUPTS	["38870029_fullText_76"]	sulfide oxidation	C1159423
Locus	C1708726	AFFECTS	["7766944_fullText_4"]	cofactor biosynthetic process	C1523208
