Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Cannabinoids	C0006864	AFFECTS	["36939145_fullText_2","36327298_fullText_4"]	Intoxication	C0728899
Cannabinoids	C0006864	AFFECTS	["36710256_fullText_2"]	prenatal exposure	C0871124
Cannabinoids	C0006864	AFFECTS	["34165606_fullText_3"]	Hypothermia, natural	C0020672
Cannabinoids	C0006864	PREVENTS	["33737752_fullText_1","33737752_fullText_6"]	Tremor	C0040822
Psychoactive substance	C0682880	AFFECTS	["37922577_fullText_2"]	Detected (finding)	C0442726
Atropine	C0004259	CAUSES	["37742601_fullText_1"]	Visual Impairment	C3665347
Amphetamine	C0002658	CAUSES	["34389398_fullText_6"]	Hyperactive behavior	C0424295
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	CAUSES	["33901435_fullText_6"]	Imbalance	C1397014
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	AFFECTS	["36001790_fullText_2"]	Fatigue	C0015672
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	INHIBITS	["34545997_fullText_3"]	90%	C3842582
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	AUGMENTS	["35445439_fullText_2"]	Excitability	C0235169
5-(3-hydroxybenzoyl)-2-thiophenesulfonamide	C0048996	DISRUPTS	["34851768_fullText_7"]	Fluctuation	C0231239
Tetrahydrocannabinol	C0039663	AFFECTS	["35955774_fullText_8"]	Allodynia	C0458247
Tetrahydrocannabinol	C0039663	INHIBITS	["35955774_fullText_1"]	Allodynia	C0458247
Tetrahydrocannabinol	C0039663	INHIBITS	["37863313_fullText_5"]	Weight Gain	C0043094
Tetrahydrocannabinol	C0039663	AUGMENTS	["33999707_fullText_7"]	Oxygen content	C0391841
Marihuana	C0024808	CAUSES	["34134573_fullText_4"]	Personality Traits	C0233849
Marihuana	C0024808	AFFECTS	["37715955_fullText_5"]	Hypothermia, natural	C0020672
Marihuana	C0024808	AFFECTS	["35352276_fullText_1"]	seizure activity	C1148454
Marihuana	C0024808	AFFECTS	["36897501_fullText_2"]	patient symptoms	C1317600
Marihuana	C0024808	AFFECTS	["34102966_fullText_9"]	Cardiovascular finding	C0425560
Marihuana	C0024808	INHIBITS	["37314807_fullText_5"]	Social stigmata	C0277787
Marihuana	C0024808	INHIBITS	["35955774_fullText_1"]	Allodynia	C0458247
Hallucinogens	C0018533	CAUSES	["35164453_fullText_1"]	Hyperactive behavior	C0424295
Hallucinogens	C0018533	CAUSES	["34715446_fullText_6"]	Social Interaction	C0037420
Hallucinogens	C0018533	CAUSES	["34715446_fullText_6"]	head jerking	C0239876
Hallucinogens	C0018533	INHIBITS	["34417357_fullText_1"]	Rapid onset	C1838994
Psilocybine	C0033850	INHIBITS	["36192411_fullText_4"]	Vitality	C0424589
Dexmedetomidine	C0113293	AFFECTS	["34214520_fullText_7"]	slight fever	C1096446
Dexmedetomidine	C0113293	INHIBITS	["34130390_fullText_11"]	Systemic arterial pressure	C1272641
Dexmedetomidine	C0113293	AUGMENTS	["37286034_fullText_5"]	analgesic effect	C0948482
Dexmedetomidine	C0113293	AUGMENTS	["36254422_fullText_10"]	Sedated state	C0235195
Dexmedetomidine	C0113293	DISRUPTS	["36613961_fullText_5"]	Excitability	C0235169
Dexmedetomidine	C0113293	PREVENTS	["36745083_fullText_4"]	Agitation	C0085631
Escitalopram	C1099456	AFFECTS	["35132611_fullText_11"]	Recurrent falls	C0458990
Escitalopram	C1099456	AFFECTS	["34999203_fullText_9"]	Resting state	C0679218
Cholinesterase Inhibitors	C0008425	CAUSES	["36725013_fullText_7"]	Abnormal posture	C0231471
Cholinesterase Inhibitors	C0008425	INHIBITS	["37993407_fullText_6","35665915_fullText_13","35665915_fullText_18"]	Falls	C0085639
yohimbine	C0724441	CAUSES	["34817810_fullText_10"]	Left shifted white blood cells	C0240173
yohimbine	C0724441	AFFECTS	["36374735_fullText_5"]	Protection	C1545588
yohimbine	C0724441	INHIBITS	["34162157_fullText_10"]	Protection	C1545588
Hydrocortisone	C0020268	CAUSES	["34601389_fullText_8"]	Hyperactive behavior	C0424295
Hydrocortisone	C0020268	INHIBITS	["36894421_fullText_8"]	Reduced concentration	C0424099
Prolactin	C0033371	CAUSES	["33234470_fullText_13"]	Short stature for age	C2732728
Phenylalanine	C0031453	CAUSES	["38433424_fullText_11"]	Normal delivery	C1384485
Phenylalanine	C0031453	CAUSES	["39135125_fullText_1","36999718_fullText_6"]	Accumulation	C4055506
Phenylalanine	C0031453	CAUSES	["86428_fullText_4","663350_fullText_6"]	Intoxication	C0728899
Phenylalanine	C0031453	CAUSES	["15665165_fullText_2"]	Pregnancy, Twin	C0152150
Phenylalanine	C0031453	CAUSES	["23628728_fullText_1"]	handicapping condition	C0231172
Phenylalanine	C0031453	CAUSES	["37700622_fullText_1"]	Poor outcome	C3806166
Phenylalanine	C0031453	CAUSES	["8828606_fullText_12"]	Sequela of disorder	C0543419
Phenylalanine	C0031453	CAUSES	["23628728_fullText_1"]	Stillbirth	C0595939
Phenylalanine	C0031453	CAUSES	["12032274_fullText_9","2941618_fullText_4"]	Imbalance	C1397014
Phenylalanine	C0031453	CAUSES	["29941359_fullText_4"]	consideration	C0518609
Phenylalanine	C0031453	CAUSES	["36521084_fullText_1"]	Perceived quality of life	C0518214
Phenylalanine	C0031453	CAUSES	["31471952_fullText_2"]	Severely Abnormal Ventricular Ejection Fraction	C3274777
Phenylalanine	C0031453	CAUSES	["3819940_fullText_3"]	Good neonatal condition at birth	C0578757
Phenylalanine	C0031453	CAUSES	["7014037_fullText_4"]	Increased excretory function	C0311428
Phenylalanine	C0031453	AFFECTS	["39468625_fullText_9"]	Perceived quality of life	C0518214
Phenylalanine	C0031453	AFFECTS	["34864852_fullText_1","11032331_fullText_1"]	Phenotypic variability	C1853719
Phenylalanine	C0031453	AFFECTS	["11749047_fullText_1"]	Pregnancy Outcome	C0032972
Phenylalanine	C0031453	AFFECTS	["26084935_fullText_9"]	Emotional	C0849912
Phenylalanine	C0031453	AFFECTS	["37700622_fullText_2"]	Non-compliant behavior	C0474415
Phenylalanine	C0031453	AFFECTS	["36628809_fullText_5"]	Weight Gain	C0043094
Phenylalanine	C0031453	AFFECTS	["11032331_fullText_10"]	Very high	C0442804
Phenylalanine	C0031453	AFFECTS	["12408183_fullText_9"]	Abnormal result	C0459424
Phenylalanine	C0031453	AFFECTS	["20884009_fullText_4"]	Normal development	C1821244
Phenylalanine	C0031453	AFFECTS	["37827804_fullText_3","23306691_fullText_3"]	Breastfeeding (mother)	C1623040
Phenylalanine	C0031453	AFFECTS	["36628809_fullText_5"]	Lipids abnormal	C0549634
Phenylalanine	C0031453	PREDISPOSES	["36384480_fullText_7"]	Overweight	C0497406
Phenylalanine	C0031453	ASSOCIATED_WITH	["1750755_fullText_10"]	high weight	C0948775
Phenylalanine	C0031453	ASSOCIATED_WITH	["27612877_fullText_8"]	Overweight	C0497406
Phenylalanine	C0031453	ASSOCIATED_WITH	["24206931_fullText_2"]	Indifferent mood	C0085632
Phenylalanine	C0031453	INHIBITS	["1916459_fullText_4"]	Psychiatric disturbances	C1856060
Phenylalanine	C0031453	INHIBITS	["7836491_fullText_2"]	Time 2	C0808270
Phenylalanine	C0031453	INHIBITS	["37922902_abstract_1"]	Body Weight decreased	C0043096
Phenylalanine	C0031453	INHIBITS	["37922902_abstract_1"]	Decreased tyrosine	C1291165
Phenylalanine	C0031453	AUGMENTS	["38999811_fullText_8"]	>40 years	C4699619
Phenylalanine	C0031453	AUGMENTS	["9266384_fullText_7"]	Distance vision 6/9	C0442751
Phenylalanine	C0031453	AUGMENTS	["29285660_fullText_1"]	Imbalance	C1397014
Phenylalanine	C0031453	AUGMENTS	["30930161_fullText_3"]	Low self-esteem	C0679136
Phenylalanine	C0031453	AUGMENTS	["133670_fullText_5"]	Day 2	C3842676
Phenylalanine	C0031453	ASSOCIATED_WITH__INFER__	["30047169_fullText_6","30047169_fullText_7"]	Fluctuation	C0231239
Phenylalanine	C0031453	ASSOCIATED_WITH__INFER__	["33222540_fullText_6"]	Headache	C0018681
Dopamine Antagonists	C0242702	DISRUPTS	["34002866_fullText_9"]	Vomiting	C0042963
Dopamine Antagonists	C0242702	PREVENTS	["34002866_fullText_9"]	Postoperative Nausea	C0520904
Dopamine Antagonists	C0242702	PREVENTS	["34002866_fullText_9"]	Nausea	C0027497
Nifedipine	C0028066	INHIBITS	["26254182_fullText_5"]	Systemic arterial pressure	C1272641
GABA-B Receptor Agonists	C2936800	DISRUPTS	["34058433_fullText_7"]	Excitability	C0235169
Adrenergic alpha-Antagonists	C0001641	AFFECTS	["37245173_fullText_3"]	Falls	C0085639
Adrenergic alpha-Antagonists	C0001641	AUGMENTS	["36167697_fullText_7"]	6/5	C0442749
Triprolidine	C0041098	AUGMENTS	["33768603_fullText_7"]	daytime sleepiness	C0541854
Anticholinergic Agents	C0242896	CAUSES	["36628441_fullText_1","37506033_fullText_8"]	Xerostomia	C0043352
Anticholinergic Agents	C0242896	CAUSES	["37506033_fullText_8"]	Constipation	C0009806
Anticholinergic Agents	C0242896	AFFECTS	["37054659_fullText_7"]	physical function	C0516981
Anticholinergic Agents	C0242896	INHIBITS	["33911165_fullText_1"]	Urine volume finding	C1287298
Anticholinergic Agents	C0242896	INHIBITS	["35658842_fullText_5"]	Distance vision 6/9	C0442751
Anticholinergic Agents	C0242896	AUGMENTS	["36331050_fullText_6"]	medication use	C0240320
Anticholinergic Agents	C0242896	PREVENTS	["36211804_fullText_6"]	Tremor	C0040822
Anticholinergic Agents	C0242896	PREVENTS	["34609452_fullText_2"]	Death rattle	C0547002
Leukotrienes	C0023545	CAUSES	["36211437_fullText_5"]	Pruritus	C0033774
Paroxetine	C0070122	CAUSES	["35226247_fullText_5"]	Decreased testosterone level	C1295654
Paroxetine	C0070122	CAUSES	["35226247_fullText_5"]	Increased prolactin	C0553731
Paroxetine	C0070122	AFFECTS	["35879764_fullText_2"]	Weight Gain	C0043094
Paroxetine	C0070122	CAUSES__SPEC__	["35226247_fullText_2"]	hormonal changes	C1134488
Paroxetine	C0070122	DISRUPTS	["34851768_fullText_3"]	Physiological tremor	C1960562
venlafaxine	C0078569	CAUSES	["34100266_fullText_3"]	patient condition	C0683521
Proton Pump Inhibitors	C0358591	AUGMENTS	["35505518_fullText_5"]	Negative Finding	C1513916
Proton Pump Inhibitors	C0358591	DISRUPTS	["37458926_fullText_5"]	Irritable Mood	C0022107
Proton Pump Inhibitors	C0358591	DISRUPTS	["37458926_fullText_5"]	Weight Gain	C0043094
Prednisone	C0032952	AUGMENTS	["7804464_fullText_5"]	Form of muscle	C0240417
Metoclopramide	C0025853	CAUSES	["35962748_fullText_2"]	Headache	C0018681
Metoclopramide	C0025853	CAUSES	["33849703_fullText_3"]	Nausea	C0027497
Metoclopramide	C0025853	CAUSES	["33849703_fullText_3"]	Vomiting	C0042963
Ticagrelor	C1999375	AFFECTS	["33966075_fullText_3"]	Thrombocytopenia	C0040034
Ticagrelor	C1999375	AUGMENTS	["34283374_fullText_4"]	Protection	C1545588
clopidogrel	C0070166	CAUSES__SPEC__	["34563718_fullText_1"]	Fatigue	C0015672
clopidogrel	C0070166	INHIBITS	["35037896_fullText_3"]	Household income	C0557163
8-Hydroxy-2-(di-n-propylamino)tetralin	C0050079	CAUSES	["35707918_fullText_7"]	Hypothermia, natural	C0020672
8-Hydroxy-2-(di-n-propylamino)tetralin	C0050079	CAUSES	["34728431_fullText_1","34728431_fullText_5"]	Hyperventilation	C0020578
fostriecin	C0118175	INHIBITS	["34498115_fullText_7"]	Immobile	C0231441
fostriecin	C0118175	INHIBITS	["34498115_fullText_7"]	Does climb	C0561942
Progesterone	C0033308	CAUSES	["34601389_fullText_8"]	Hyperactive behavior	C0424295
Progesterone	C0033308	DISRUPTS	["34813897_fullText_7"]	Mechanical Allodynia	C2936719
Methamphetamine	C0025611	CAUSES	["36269378_fullText_3"]	Lethal	C3151529
Trazodone	C0040805	AFFECTS	["33731232_fullText_5"]	Sleep disturbances	C0037317
Organic phosphorus insecticide, NOS	C0301172	CAUSES	["35643835_fullText_2"]	skeletal muscle paralysis	C0235055
GABA-A Receptor Antagonists	C2936801	INHIBITS	["33927244_fullText_8"]	Allodynia	C0458247
Corticosterone	C0010124	AFFECTS	["39267392_fullText_96"]	Functional Status	C0598463
Corticosterone	C0010124	AUGMENTS__SPEC__	["35504472_fullText_1"]	Form of muscle	C0240417
Norepinephrine Reuptake Inhibitor [EPC]	C3537046	CAUSES	["35243962_fullText_7"]	Hematuria	C0018965
Norepinephrine Reuptake Inhibitor [EPC]	C3537046	INHIBITS	["37074259_fullText_9"]	Anxiety symptoms	C0860603
Psychotropic Drugs	C0033978	CAUSES	["36473166_fullText_13"]	Failure of transfer of passive immunity in newborn	C1299937
5-Hydroxytryptophan	C0000578	CAUSES	["18502400_fullText_3"]	Cognitive delay	C1864897
Dopamine-2 Receptor Antagonist [EPC]	C2917388	CAUSES	["36269378_fullText_7"]	Lethal	C3151529
Curcumin	C0010467	CAUSES	["31988047_abstract_6"]	Fatty deposition	C0333574
Curcumin	C0010467	INHIBITS	["31988047_abstract_1"]	Fatty deposition	C0333574
Psychostimulant	C0304403	AFFECTS	["37466616_fullText_2"]	MISUSE	C0549649
Central Nervous System Stimulants	C0002763	AFFECTS	["34010807_fullText_2"]	Endurance	C0518031
Adrenergic Agonists	C0001648	CAUSES	["36394965_fullText_6"]	Absence of pain sensation	C0344307
Adrenergic Agonists	C0001648	CAUSES	["34855077_fullText_2"]	Tachycardia	C0039231
Adrenergic Agonists	C0001648	AFFECTS	["33709435_fullText_5"]	Pulmonary Dysfunction	C1709770
Adrenergic Agonists	C0001648	AFFECTS	["35588870_fullText_4"]	Behavior showing increased motor activity	C0474395
Adrenergic Agonists	C0001648	AFFECTS	["37721189_fullText_4"]	Urethral function	C0422815
Adrenergic Agonists	C0001648	AUGMENTS	["35184981_fullText_13"]	Sweating	C0038990
Adrenergic Agonists	C0001648	AUGMENTS	["35504472_fullText_1"]	Form of muscle	C0240417
Epinephrine	C0014563	CAUSES	["36394965_fullText_6"]	Absence of pain sensation	C0344307
Epinephrine	C0014563	AUGMENTS	["36394965_fullText_5"]	analgesic effect	C0948482
Epinephrine	C0014563	DISRUPTS	["34477163_fullText_4"]	Tachycardia	C0039231
Agomelatine	C0971637	AFFECTS	["34919834_fullText_13"]	Interpretation of behavior	C0475175
Mirtazapine	C0049506	CAUSES	["35258103_fullText_5"]	Hyponatremia	C0020625
Mirtazapine	C0049506	CAUSES__SPEC__	["33814367_fullText_5"]	Weight Gain	C0043094
Human Interleukin-10 (Nonglycosylated)	C2983956	CAUSES	["35733107_fullText_2"]	Hyperalgesia	C0020429
ractopamine	C0072954	AUGMENTS__SPEC__	["34337648_fullText_6"]	Weight Gain	C0043094
ractopamine	C0072954	AUGMENTS__SPEC__	["34337648_fullText_6"]	Thinness	C0039870
Zilpaterol	C1259819	AUGMENTS__SPEC__	["34337648_fullText_6"]	Weight Gain	C0043094
Zilpaterol	C1259819	AUGMENTS__SPEC__	["34337648_fullText_6"]	Thinness	C0039870
Adrenergic beta-Agonists	C0001644	AUGMENTS	["34337648_fullText_6"]	Weight Gain	C0043094
Adrenergic beta-Agonists	C0001644	AUGMENTS	["34337648_fullText_6"]	Thinness	C0039870
Albuterol	C0001927	AFFECTS	["34129945_fullText_3"]	FEV1 Adverse Event	C1561566
quetiapine	C0123091	CAUSES	["34004020_fullText_5"]	Dysfunctional voiding of urine	C0429826
Clozapine	C0009079	AFFECTS	["36473166_fullText_13"]	Failure of transfer of passive immunity in newborn	C1299937
Clozapine	C0009079	AFFECTS	["37400227_fullText_3"]	Psychotic symptom	C0871189
Haloperidol	C0018546	CAUSES	["36623805_fullText_2"]	Extrapyramidal sign	C0234133
Haloperidol	C0018546	CAUSES__SPEC__	["36522124_fullText_5"]	Akathisia	C0392156
Haloperidol	C0018546	INHIBITS	["37578035_fullText_3","37578035_fullText_5"]	Reflex, Righting	C0234156
Sulpiride	C0038803	CAUSES	["37422466_fullText_4"]	high weight	C0948775
carvedilol	C0054836	AUGMENTS	["36232617_fullText_6"]	Fractional shortening	C2599768
gabapentin	C0060926	DISRUPTS	["34036823_fullText_4"]	Tinnitus	C0040264
Lidocaine	C0023660	CAUSES	["35217147_fullText_10"]	Sedated state	C0235195
Tramadol	C0040610	AUGMENTS	["34128998_fullText_6"]	Mild Adverse Event	C1513302
Opioids	C0242402	CAUSES	["27631259_fullText_5","27631259_fullText_22"]	Muscle Rigidity	C0026837
Opioids	C0242402	AFFECTS	["36232883_fullText_12"]	analgesic effect	C0948482
Opioids	C0242402	AUGMENTS	["36331050_fullText_6"]	medication use	C0240320
Opioids	C0242402	AUGMENTS	["35020700_fullText_2"]	Lethal	C3151529
Opioids	C0242402	DISRUPTS	["35790401_fullText_17"]	Abdominal Pain	C0000737
Opioids	C0242402	PREVENTS	["36745083_fullText_4"]	Agitation	C0085631
tamsulosin	C0257343	PREVENTS__SPEC__	["36812907_fullText_10"]	Pain, Postoperative	C0030201
Suvorexant	C3179535	CAUSES	["35868501_fullText_3"]	Mechanical Allodynia	C2936719
CL 316243	C0171208	DISRUPTS	["36597221_fullText_7"]	Stiffness	C0427008
dezocine	C0057626	CAUSES	["36397408_fullText_1"]	Postoperative Nausea	C0520904
dezocine	C0057626	CAUSES	["36397408_fullText_1"]	Vomiting	C0042963
Oxidopamine	C0085196	AUGMENTS	["34556558_fullText_7"]	Excitability	C0235169
Quercetin	C0034392	AFFECTS	["34875999_fullText_11"]	Glucose low	C0860801
cinnamic acid	C0055753	AFFECTS	["34875999_fullText_11"]	Glucose low	C0860801
Berberine	C0005117	AFFECTS	["34875999_fullText_11"]	Glucose low	C0860801
Hypnotics and Sedatives	C0020592	AFFECTS	["37054659_fullText_7"]	physical function	C0516981
Hypnotics and Sedatives	C0020592	INHIBITS	["37054659_fullText_1"]	physical function	C0516981
Fluvoxamine	C0085228	CAUSES	["35258103_fullText_5"]	Hyponatremia	C0020625
Fluvoxamine	C0085228	AFFECTS	["36103313_fullText_13"]	Serious Adverse Event	C1519255
lafutidine	C0172827	INHIBITS	["34848484_fullText_4"]	Abnormal digestive tract function	C0232459
Fluorouracil	C0016360	CAUSES	["34605226_fullText_6"]	Consequent	C3845876
Anti-Inflammatory Agents	C0003209	AFFECTS	["35565998_fullText_1"]	diabetic	C0241863
fluorophore	C0598447	AFFECTS	["24781112_fullText_26"]	Very important	C3844729
atomoxetine	C0076823	AFFECTS	["34143680_fullText_4"]	Co-morbid conditions	C1275743
atomoxetine	C0076823	INHIBITS	["35691145_fullText_3"]	Anxiety symptoms	C0860603
Hyaluronic Acid	C0020196	ASSOCIATED_WITH	["34214592_fullText_5"]	Imbalance	C1397014
fesoterodine	C2343853	PREDISPOSES	["35708534_fullText_6"]	Acute retention of urine	C0341742
Viloxazine	C0042665	AFFECTS	["34269426_fullText_2"]	Missed Dose	C1709043
Cholinergic Antagonists	C0242897	PREDISPOSES	["34555904_fullText_8"]	Psychotic symptom	C0871189
Bicuculline	C0005372	INHIBITS__SPEC__	["33927244_fullText_8"]	Allodynia	C0458247
Bronchodilator Agents	C0006280	AUGMENTS	["36272353_fullText_4"]	Cardiovascular event	C1320716
Cholinergic Agonists	C0242894	CAUSES	["36970756_fullText_9"]	Encounter due to vagabond status	C0687129
Dimethylnitrosamine	C0012431	AUGMENTS	["34180947_fullText_1","34180947_fullText_5"]	Urinary elimination status	C1320408
Doxazosin	C0114873	CAUSES	["34958827_fullText_8"]	Senility	C0231337
Galantamine	C0016967	AFFECTS	["35006557_fullText_11"]	Indifferent mood	C0085632
aluminum chloride	C0102840	CAUSES	["35576663_fullText_1"]	Progressive neurodegeneration	C1845518
nebivolol	C0068475	INHIBITS	["35202021_fullText_7"]	Cardiovascular event	C1320716
cariprazine	C2936870	CAUSES	["35156402_fullText_9"]	Akathisia	C0392156
Guanfacine	C0079466	INHIBITS	["33923533_fullText_1"]	Hyperactive behavior	C0424295
2,5-dichloro-4-bromophenol	C0045550	INHIBITS	["36058298_fullText_6"]	Repolarization abnormalities	C3279217
Citicoline	C0010725	PREVENTS	["37827341_fullText_7"]	Imbalance	C1397014
Citicoline	C0010725	PREVENTS	["34727752_fullText_1"]	Depressive Symptoms	C0086132
Luteinizing Hormone	C0023607	INHIBITS	["36984518_fullText_5"]	Test Result	C0456984
Testosterone	C0039601	CAUSES	["34601389_fullText_8"]	Hyperactive behavior	C0424295
Colforsin	C0917964	CAUSES	["36614209_fullText_6"]	Lipid droplet accumulation	C3278535
Famotidine	C0015620	INHIBITS	["34214498_fullText_7"]	Poor outcome	C3806166
Medical Marijuana	C0813973	INHIBITS	["35343818_fullText_2"]	Behavioral difficulties	C3275496
Win 55212-2	C0148782	CAUSES	["35341569_fullText_5"]	Absence of pain sensation	C0344307
Antiplatelet Agents	C0085826	CAUSES	["34563718_fullText_1"]	Fatigue	C0015672
silodosin	C1870115	AFFECTS	["36059204_fullText_11"]	Systemic arterial pressure	C1272641
Terpenes	C0039561	CAUSES	["34846548_fullText_3"]	Absence of pain sensation	C0344307
WAY 100635	C0290799	AFFECTS	["34192579_fullText_5"]	Mechanical Allodynia	C2936719
WAY 100635	C0290799	AFFECTS	["34192579_fullText_5"]	Immobile	C0231441
Isoflurophate	C0022181	AFFECTS	["35897817_fullText_12"]	Hyperexcitability Behavior	C0856984
Bisoprolol	C0053799	AFFECTS	["35093388_fullText_5"]	Ventricular Arrhythmia ECG Assessment	C3812282
Dihydroergotamine	C0012291	AUGMENTS	["34128998_fullText_6"]	Mild Adverse Event	C1513302
Histamine H1 Antagonists, Non-Sedating	C1136312	INHIBITS	["37815801_fullText_1"]	Sedated state	C0235195
Polyunsaturated Fatty Acids	C0032615	AUGMENTS	["33804754_fullText_2"]	Cardiovascular event	C1320716
Methacholine	C0600370	CAUSES	["34069899_fullText_4","34069899_fullText_5"]	Small airways	C1862763
Bilirubin	C0005437	DISRUPTS	["28644367_fullText_67"]	Urinary elimination status	C1320408
aprepitant	C1176306	AFFECTS	["36856158_fullText_3"]	Nose symptoms	C0231918
aprepitant	C1176306	INHIBITS	["37958914_fullText_7"]	Sequela of disorder	C0543419
aprepitant	C1176306	INHIBITS	["34244927_fullText_5"]	HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO	C3281105
Ondansetron	C0061851	PREVENTS	["36635365_fullText_4"]	Vomiting	C0042963
Ondansetron	C0061851	PREVENTS	["36635365_fullText_4"]	Nausea	C0027497
Finasteride	C0060389	AUGMENTS	["35122898_fullText_9"]	Omission	C3845736
Sodium Benzoate	C0142805	AFFECTS	["31978010_abstract_8"]	Day 5	C3842674
modafinil	C0066677	AFFECTS	["19808135_fullText_10"]	Daytime somnolence	C2219848
modafinil	C0066677	INHIBITS	["12499477_fullText_6"]	Drowsiness	C0013144
Arecoline	C0003753	CAUSES	["33916832_fullText_7","33916832_fullText_9"]	Hyperactive behavior	C0424295
butylscopolamine bromide	C0006519	AUGMENTS	["34174090_fullText_12"]	6/5	C0442749
SCH 23390	C0080138	CAUSES	["35986048_fullText_11"]	Sedated state	C0235195
Estrogens	C0014939	ASSOCIATED_WITH	["37791545_fullText_7"]	Urinary symptoms	C0426359
Estrogens	C0014939	AUGMENTS	["34339849_fullText_2"]	Syncope	C0039070
Adenosine-5'-(N-ethylcarboxamide)	C0050789	CAUSES	["33802928_fullText_10"]	Hypotension	C0020649
Adenosine-5'-(N-ethylcarboxamide)	C0050789	AFFECTS	["33802928_fullText_9"]	Systemic arterial pressure	C1272641
Benserazide	C0005014	CAUSES	["34478885_fullText_7"]	Muscle twitch	C0231530
vortioxetine	C3661282	PREVENTS	["36376052_fullText_3"]	Depressive Symptoms	C0086132
Pilocarpine	C0031923	INHIBITS	["36781441_fullText_8"]	Myeloid proliferation	C3808595
Oxprenolol	C0030040	AFFECTS	["36346141_fullText_4"]	heart size	C0744689
Oxprenolol	C0030040	AFFECTS	["36346141_fullText_2"]	Body Weight decreased	C0043096
Amiodarone	C0002598	AFFECTS	["34796981_fullText_13"]	seizure activity	C1148454
celecoxib	C0538927	AFFECTS	["35754107_fullText_8"]	Withdrawal Symptoms	C0087169
landiolol	C0905464	INHIBITS	["34128200_fullText_4"]	Mean blood pressure	C0428886
landiolol	C0905464	DISRUPTS	["34477163_fullText_4"]	Tachycardia	C0039231
landiolol	C0905464	PREVENTS	["37877587_fullText_4"]	Single organ dysfunction	C0349410
Drug Combinations	C0013162	CAUSES	["36752814_fullText_1"]	analgesic effect	C0948482
Drug Combinations	C0013162	INHIBITS	["36508272_fullText_5"]	Systemic arterial pressure	C1272641
Drug Combinations	C0013162	INHIBITS	["33734828_fullText_7"]	13-14	C3843711
Gonadorelin	C0023610	AFFECTS	["33775739_fullText_2"]	Encounter due to vagabond status	C0687129
Cyproheptadine	C0010620	AFFECTS	["35445439_fullText_11"]	Excitability	C0235169
Amantadine	C0002403	CAUSES	["34324057_fullText_6"]	Symptom severe	C0436345
atipamezole	C0052593	DISRUPTS	["33994525_fullText_5"]	Mechanical Allodynia	C2936719
Antiemetics	C0003297	CAUSES	["35427418_fullText_2"]	Vomiting	C0042963
Antiemetics	C0003297	CAUSES	["35427418_fullText_2"]	Nausea	C0027497
Prostaglandin E2	C3813211	CAUSES	["34766335_fullText_7"]	Dilated	C0700124
Emetics	C0013973	PREVENTS	["34071460_fullText_5"]	Vomiting	C0042963
Timolol	C0040233	CAUSES	["33798551_fullText_7"]	Senility	C0231337
Harmine	C0018605	CAUSES	["34078836_fullText_7"]	CNS symptom	C0422879
Estradiol	C0014912	CAUSES	["35628371_fullText_10"]	Memory Loss	C0751295
Estradiol	C0014912	ASSOCIATED_WITH	["36748975_fullText_7"]	Absence of pain sensation	C0344307
Potassium Chloride	C0032825	AFFECTS	["448391_fullText_4"]	Excitability	C0235169
Potassium Chloride	C0032825	ASSOCIATED_WITH	["6854347_fullText_2"]	Excitability	C0235169
Clenbuterol	C0008932	CAUSES	["37062796_fullText_13"]	Life Threatening Adverse Event	C1517874
pressors	C0237795	INHIBITS	["26254182_fullText_10"]	Systemic arterial pressure	C1272641
milnacipran	C1533126	CAUSES	["35258103_fullText_5"]	Hyponatremia	C0020625
ganaxolone	C0537150	DISRUPTS	["36208918_fullText_10"]	Depressive Symptoms	C0086132
Anti-Arrhythmia Agents	C0003195	CAUSES	["36613736_fullText_8"]	Cardiac Arrhythmia	C0003811
Anti-Arrhythmia Agents	C0003195	CAUSES	["36142287_fullText_10"]	heart rhythm irregular	C0744683
Anti-Arrhythmia Agents	C0003195	INHIBITS	["33721036_fullText_1"]	Cardiac Arrhythmia	C0003811
Loop Diuretics	C0354100	INHIBITS	["33759308_fullText_7"]	Non-compliant behavior	C0474415
Protein-tyrosine kinase inhibitor	C1268567	INHIBITS	["34186142_fullText_5"]	Hypothermia, natural	C0020672
amiridine	C0051691	INHIBITS	["34481434_fullText_2"]	Emotional	C0849912
Phosphonoacetic Acid	C0031681	CAUSES	["2278031_fullText_8"]	Neural Tube Defects	C0027794
Midodrine	C0026078	CAUSES	["35150075_fullText_5"]	Residual urine volume	C0429774
Serotonin 5-HT3 Receptor Antagonists	C2936526	PREVENTS__SPEC__	["34208557_fullText_2"]	Vomiting	C0042963
Serotonin 5-HT3 Receptor Antagonists	C2936526	PREVENTS__SPEC__	["34208557_fullText_2"]	Nausea	C0027497
ranpirnase	C0069919	AFFECTS	["34296531_fullText_6"]	N18	C0442791
Hemicholinium 3	C0018983	PREVENTS	["35124160_fullText_8"]	Tachycardia	C0039231
Terbutaline	C0039542	CAUSES	["35994413_fullText_4"]	Encounter due to being a donor	C1527169
