Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
opium alkaloids and derivative combination cough suppressants	C3539957	CAUSES	["26287655_fullText_59"]	Gait abnormality	C0575081
Insulin	C0021641	ASSOCIATED_WITH	["3552801_fullText_1"]	Tissue sensitivity	C0234235
Insulin	C0021641	INHIBITS	["36894421_fullText_6"]	Glucose low	C0860801
Air	C3536832	INHIBITS	["33752971_fullText_5"]	po2 normal	C0852876
Dantrolene	C0010976	INHIBITS	["27854224_fullText_146"]	Cardiac Arrhythmia	C0003811
Glucose	C0017725	CAUSES	["35050903_fullText_54"]	Unexpected therapeutic effect	C0235735
Glucose	C0017725	CAUSES	["9669722_fullText_10"]	Gastrointestinal symptom	C0426576
Glucose	C0017725	AFFECTS	["35358799_fullText_2"]	Imbalance	C1397014
Glucose	C0017725	AFFECTS	["21812000_fullText_2"]	Neurological observations	C0422837
Glucose	C0017725	AFFECTS	["36237192_fullText_6"]	Weight Gain	C0043094
Morphine	C0026549	CAUSES	["37493532_fullText_5"]	Absence of pain sensation	C0344307
Morphine	C0026549	AFFECTS	["35106734_fullText_8"]	Excitability	C0235169
Morphine	C0026549	AUGMENTS	["35385881_fullText_6"]	Withdrawal Symptoms	C0087169
Fentanyl	C0015846	INHIBITS	["36294112_fullText_5"]	Level of anxiety	C0564474
Lactate	C0376261	AFFECTS	["33825506_fullText_9"]	Imbalance	C1397014
Lactate	C0376261	AUGMENTS	["12638019_fullText_7"]	exercise induced	C0239313
Mexiletine Hydrochloride	C0543459	AFFECTS	["12615652_fullText_4"]	Muscle Cramp	C0026821
Mexiletine	C0025887	AFFECTS	["33046619_fullText_6"]	Handgrip myotonia	C2750560
Mexiletine	C0025887	AFFECTS	["36706619_fullText_10"]	Anticipated	C3840775
Mexiletine	C0025887	AFFECTS	["33046619_fullText_7"]	Walking distance	C0429886
Fluoxetine	C0016365	CAUSES	["33942795_fullText_9"]	Recovery of Function	C0599766
Fluoxetine	C0016365	CAUSES	["36256730_fullText_5"]	Level of anxiety	C0564474
Fluoxetine	C0016365	AFFECTS	["35879764_fullText_2"]	Weight Gain	C0043094
Fluoxetine	C0016365	AFFECTS	["37858884_fullText_7"]	Immobile	C0231441
Fluoxetine	C0016365	AFFECTS	["35234346_fullText_3"]	Weaning	C0043084
Fluoxetine	C0016365	INHIBITS	["34744001_fullText_8"]	Reflex, Righting	C0234156
Fluoxetine	C0016365	INHIBITS	["34465201_fullText_1"]	Increased fractures	C1838660
Fluoxetine	C0016365	INHIBITS	["34465201_fullText_1"]	Hyponatremia	C0020625
Dimethyl Sulfoxide	C0012403	AFFECTS	["26908607_fullText_114"]	Handling	C1832073
Dimethyl Sulfoxide	C0012403	AUGMENTS	["34537380_fullText_8"]	Mechanical Allodynia	C2936719
Dimethyl Sulfoxide	C0012403	AUGMENTS	["34537380_fullText_8"]	Hyperalgesia	C0020429
TONICS	C3543842	DISRUPTS	["35934131_fullText_1"]	Excitability	C0235169
Hypnotics	C0020591	AFFECTS	["37010536_fullText_1","37010536_fullText_3","37010536_fullText_5"]	At risk for falls	C1268740
Norepinephrine	C0028351	AFFECTS	["33822820_fullText_7"]	Mean blood pressure	C0428886
Norepinephrine	C0028351	AFFECTS	["36036112_fullText_4"]	Body Weight decreased	C0043096
Norepinephrine	C0028351	AFFECTS	["34519561_fullText_3"]	acute stress	C0848237
Norepinephrine	C0028351	AFFECTS	["35748393_fullText_2"]	Memory observations	C0700327
Norepinephrine	C0028351	AFFECTS	["34358575_fullText_7"]	Vocalization (finding)	C0564182
Norepinephrine	C0028351	AUGMENTS	["37838337_fullText_5"]	Excitability	C0235169
Tyrosine	C0041485	CAUSES	["39388898_fullText_1"]	Accumulation	C4055506
Tyrosine	C0041485	CAUSES	["1479795_fullText_4"]	Test Result	C0456984
Tyrosine	C0041485	CAUSES	["3939586_fullText_4"]	Abnormality	C1704258
Tyrosine	C0041485	CAUSES	["35840874_fullText_2"]	Headache	C0018681
Tyrosine	C0041485	AFFECTS	["11013857_fullText_6"]	Normal development	C1821244
Bactrim	C0591139	AFFECTS	["8597984_fullText_4"]	Gait	C0016928
NADH	C0027289	CAUSES	["34743684_fullText_8"]	Papule	C0332563
NADH	C0027289	AFFECTS	["38870029_fullText_76"]	Accumulation	C4055506
Galactose	C0016945	CAUSES	["31954591_abstract_9"]	Favorable Clinical Outcome	C1333602
Valine	C0042285	INHIBITS	["33139125_fullText_12"]	Sequela of disorder	C0543419
Sugars	C0242209	CAUSES	["24997537_fullText_6"]	Severe disorder	C1836348
Steroids	C0038317	AUGMENTS	["36306407_fullText_8"]	Worse	C1457868
Immunoglobulins, Intravenous	C0085297	AUGMENTS	["31099193_fullText_17"]	patient condition	C0683521
Blood lactate	C3824990	CAUSES	["35050903_fullText_29"]	CNS symptom	C0422879
Niacin	C0027996	CAUSES	["38949024_fullText_40"]	Dizziness	C0012833
Niacin	C0027996	CAUSES	["38949024_fullText_40"]	Headache	C0018681
Nicotinamide adenine dinucleotide (NAD)	C0027270	AFFECTS	["30429455_fullText_7"]	Rescue	C3840763
Fatty Acids	C0015684	CAUSES	["11478383_fullText_7"]	Unresponsiveness	C0241526
Vaccines	C0042210	CAUSES	["31996241_fullText_33"]	Decompensation	C0231187
Thiamine	C0039840	AUGMENTS	["38316835_fullText_18"]	Very mild	C4036115
Levocarnitine	C0087163	CAUSES	["29490096_fullText_6"]	Urinary elimination status	C1320408
Levocarnitine	C0087163	CAUSES	["28143689_fullText_13"]	Normal development	C1821244
Lactic acid	C0064582	INHIBITS	["39385390_fullText_17"]	Accumulation	C4055506
Narcotic Antagonists	C0027410	INHIBITS	["36462602_fullText_7"]	analgesic effect	C0948482
Naltrexone	C0027360	INHIBITS	["36642390_fullText_2"]	Sucrose intake	C0556137
Baclofen	C0004609	AFFECTS	["36473166_fullText_13"]	Failure of transfer of passive immunity in newborn	C1299937
Scopolamine	C0036442	CAUSES	["34251950_fullText_8"]	Intoxication	C0728899
Adrenal Cortex Hormones	C0001617	ASSOCIATED_WITH	["36595087_fullText_8"]	Pruritus	C0033774
Adrenal Cortex Hormones	C0001617	ASSOCIATED_WITH	["34002866_fullText_11"]	Nausea	C0027497
Adrenal Cortex Hormones	C0001617	ASSOCIATED_WITH	["36595087_fullText_8"]	Rhinorrhea	C1260880
Adrenal Cortex Hormones	C0001617	ASSOCIATED_WITH	["34002866_fullText_11"]	Vomiting	C0042963
Adrenal Cortex Hormones	C0001617	INHIBITS	["36964764_fullText_2"]	patient symptoms	C1317600
Propranolol	C0033497	AFFECTS	["34918994_fullText_8"]	Cardiovascular finding	C0425560
Propranolol	C0033497	INHIBITS	["35361699_fullText_3"]	Well adult	C0686750
Propranolol	C0033497	INHIBITS	["34143243_fullText_18"]	daytime sleepiness	C0541854
Propranolol	C0033497	PREVENTS	["36497147_fullText_4","36497147_fullText_7","36497147_fullText_11"]	Tremor	C0040822
Propranolol	C0033497	PREVENTS	["36497147_fullText_7"]	Physiological tremor	C1960562
Lipopolysaccharides	C0023810	AUGMENTS	["34702901_fullText_6"]	Sexuality.status	C1829914
Isoflurane	C0022180	CAUSES	["35050903_fullText_54"]	Unexpected therapeutic effect	C0235735
Isoflurane	C0022180	CAUSES	["37770252_fullText_18"]	Sequela of disorder	C0543419
Isoflurane	C0022180	AUGMENTS	["37770252_fullText_67"]	Mocking	C0562577
Cisplatin	C0008838	CAUSES	["36148411_fullText_1","36148411_fullText_3","36148411_fullText_6","36148411_fullText_11"]	Vomiting	C0042963
Cisplatin	C0008838	PREVENTS	["35763658_fullText_1"]	Vomiting	C0042963
Cisplatin	C0008838	PREVENTS	["35763658_fullText_1"]	Nausea	C0027497
Propofol	C0033487	AFFECTS	["29390978_fullText_38"]	Hepatomegaly	C0019209
Propofol	C0033487	AFFECTS	["29390978_fullText_38"]	Myoglobinuria	C0027080
Buthionine Sulfoximine	C0054252	AUGMENTS	["34110719_fullText_9"]	Urinary elimination status	C1320408
Antiepileptic Agents	C0003299	AFFECTS__SPEC__	["34440401_fullText_3"]	Laboratory test result abnormal	C0438215
olanzapine	C0171023	CAUSES	["35321690_fullText_5"]	Unable to concentrate	C0235198
olanzapine	C0171023	CAUSES	["35321690_fullText_5"]	daytime sleepiness	C0541854
Oxaloacetates	C0029989	AUGMENTS	["30429455_fullText_92"]	Rescue	C3840763
remifentanil	C0246631	CAUSES	["34166321_fullText_1"]	Hyperalgesia	C0020429
Analgesics	C0002771	AFFECTS	["36232883_fullText_12"]	analgesic effect	C0948482
Aminoglycosides	C0002556	CAUSES	["17276742_fullText_1"]	Deafness	C0011053
Immunoglobulins	C0021027	AFFECTS	["1096999_fullText_2"]	Defective biosynthesis	C0522072
Magnesium Cation	C2346927	AFFECTS	["34389324_fullText_7"]	Lethal	C3151529
Capsaicin	C0006931	CAUSES	["37030486_fullText_2"]	Does cough	C0687152
cobaltous cation	C2347816	CAUSES	["35708704_fullText_7"]	Hyperventilation	C0020578
cobaltous cation	C2347816	AFFECTS	["1614221_fullText_6"]	Tidal Volume	C0040210
cobaltous cation	C2347816	INHIBITS	["25753091_fullText_7"]	Respiratory muscle weakness	C1836141
cobaltous cation	C2347816	AUGMENTS	["36326471_fullText_5"]	Arterial diameter	C0579132
Sucrose	C0038636	CAUSES	["38375626_fullText_7"]	Decompensation	C0231187
Ketamine	C0022614	CAUSES	["35110693_fullText_5"]	Diestrus	C0012154
Ketamine	C0022614	CAUSES	["34715446_fullText_4"]	Abnormality	C1704258
