Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Calcium	C0006675	ASSOCIATED_WITH	["20830525_fullText_4"]	Juvenile-Onset Vitelliform Macular Dystrophy	C2745945
Calcium	C0006675	ASSOCIATED_WITH	["37580872_fullText_12"]	Wasting	C0235394
Calcium	C0006675	ASSOCIATED_WITH	["27854224_fullText_155"]	Muscular Dystrophy	C0026850
Calcium	C0006675	ASSOCIATED_WITH	["12151524_fullText_6"]	Myasthenic Syndromes, Congenital, Slow Channel	C0751885
Calcium	C0006675	ASSOCIATED_WITH	["15317754_fullText_4"]	Hypertrophic Cardiomyopathy	C0007194
Choline	C0008405	ASSOCIATED_WITH	["35792828_fullText_93"]	Cerebral Infarction	C0007785
Choline	C0008405	ASSOCIATED_WITH	["35254130_fullText_10"]	Lafora Disease	C0751783
Taurine	C0039350	ASSOCIATED_WITH	["16437496_fullText_9"]	Myotonic Dystrophy	C0027126
Glutamine	C0017797	CAUSES	["19666135_fullText_1"]	Hereditary Neurodegenerative Disorder	C3273225
Glutamine	C0017797	CAUSES	["9217978_fullText_1"]	Neurodegenerative Disorders	C0524851
Glutamine	C0017797	CAUSES	["24293103_fullText_2"]	Machado-Joseph Disease	C0024408
Glutamine	C0017797	ASSOCIATED_WITH	["38337708_fullText_5"]	Galactosemias	C0016952
Tryptophan	C0041249	ASSOCIATED_WITH	["38085662_fullText_3"]	Phenylketonurias	C0031485
Tryptophan	C0041249	ASSOCIATED_WITH	["31952437_fullText_1"]	Enzyme Deficiency	C0149676
Tryptophan	C0041249	ASSOCIATED_WITH	["21431622_fullText_4"]	Glutaric aciduria, type 1	C0268595
Tryptophan	C0041249	ASSOCIATED_WITH	["22231382_fullText_2"]	Autosomal hereditary disorder	C0265384
Duration	C2926735	CAUSES	["28416514_fullText_8"]	Ventricular arrhythmia	C0085612
Duration	C2926735	CAUSES	["35838014_fullText_7"]	Rhinitis	C0035455
Duration	C2926735	AFFECTS	["33998674_fullText_2"]	Primary Raynaud's	C0151445
Duration	C2926735	PREDISPOSES	["22669364_fullText_5"]	Phenylketonuria, Maternal	C0085547
Duration	C2926735	PREDISPOSES	["24310756_fullText_5"]	Sleep Apnea Syndromes	C0037315
Duration	C2926735	PREDISPOSES	["33754317_fullText_3"]	Ischemic stroke	C0948008
Duration	C2926735	PREVENTS	["34049377_fullText_7"]	Strudwick syndrome	C0700635
coenzyme Q10	C0056077	ASSOCIATED_WITH__INFER__	["17442628_fullText_5"]	Phenylketonurias	C0031485
Antioxidants	C0003402	CAUSES	["39472629_fullText_10"]	Neurodegenerative Disorders	C0524851
Antioxidants	C0003402	CAUSES	["12210848_fullText_9"]	Phenylketonurias	C0031485
Antioxidants	C0003402	CAUSES	["37667390_fullText_72"]	Leigh Disease	C0023264
Antioxidants	C0003402	CAUSES	["34280479_fullText_4"]	POLYDACTYLY, POSTAXIAL, WITH PROGRESSIVE MYOPIA	C1868117
Antioxidants	C0003402	CAUSES__SPEC__	["12210848_fullText_9"]	Phenylketonurias	C0031485
Antioxidants	C0003402	PREVENTS	["35408542_fullText_1"]	Asthma	C0004096
Program	C2728259	AFFECTS	["7324907_fullText_8"]	Phenylketonurias	C0031485
Program	C2728259	AFFECTS	["7324907_fullText_8"]	Galactosemias	C0016952
Program	C2728259	PREVENTS	["23628728_fullText_5"]	Phenylketonuria, Maternal	C0085547
Mediator brand of benfluorex hydrochloride	C0127400	CAUSES	["27165717_fullText_42"]	Machado-Joseph Disease	C0024408
Mediator brand of benfluorex hydrochloride	C0127400	AFFECTS	["37445932_fullText_2"]	Arthritis	C0003864
Mediator brand of benfluorex hydrochloride	C0127400	AUGMENTS	["12618080_fullText_7"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Mediator brand of benfluorex hydrochloride	C0127400	DISRUPTS	["23637619_fullText_32"]	Myopathy	C0026848
animal allergen extracts	C3540698	CAUSES	["2122126_fullText_6"]	Complex congenital heart defect	C3536558
animal allergen extracts	C3540698	CAUSES	["34626216_fullText_7"]	Colitis	C0009319
animal allergen extracts	C3540698	AUGMENTS	["34006978_fullText_7"]	Alzheimer's Disease	C0002395
Quinolinic Acid	C0072879	AUGMENTS	["2960429_fullText_4"]	Glutaric aciduria, type 1	C0268595
8-chloro-cyclic adenosine monophosphate	C0050063	DISRUPTS	["34012003_fullText_7"]	SVEINSSON CHORIORETINAL ATROPHY	C1862382
Ethanol	C0001962	AUGMENTS	["34509497_fullText_9"]	alcohol effect	C0678356
Ethanol	C0001962	PREVENTS	["37101028_fullText_7"]	Cardiovascular Diseases	C0007222
Ethanol	C0001962	PREVENTS	["37101028_fullText_7"]	Diabetes	C0011847
Calcium ion	C0596235	CAUSES	["24376746_fullText_60","24376746_fullText_77"]	muscle degeneration	C0234958
Calcium ion	C0596235	ASSOCIATED_WITH	["34768876_fullText_4"]	PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP A	C3539168
Lipids	C0023779	CAUSES	["29908352_fullText_1"]	Congenital Disorders	C0242354
Lipids	C0023779	AFFECTS	["36292947_fullText_6"]	Alzheimer's Disease	C0002395
Lipids	C0023779	PREVENTS	["10539751_fullText_1"]	Phenylketonurias	C0031485
Histone deacetylase inhibitor	C1512474	ASSOCIATED_WITH	["35417732_fullText_1"]	Neurodegenerative Disorders	C0524851
Sodium Valproate	C0037567	DISRUPTS	["35093793_fullText_14"]	Chronic headache disorder	C2316225
Small Molecule	C1328819	CAUSES	["32856901_fullText_2"]	Dystrophia myotonica 1	C2931688
Small Molecule	C1328819	AFFECTS	["34606227_fullText_18"]	multiple pathologies	C0679225
