Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
Tryptophan	C0041249	INHIBITS	["25333616_fullText_0"]	GCDH gene	C1415009
Trehalose	C0040815	PART_OF	["38964453_fullText_12"]	ATXN3 gene	C1538301
Trehalose	C0040815	PART_OF	["34481906_fullText_6"]	DSC3 gene	C1414158
viral vector	C1520007	COEXISTS_WITH	["38732047_fullText_61"]	NDUFS4 gene	C1417647
viral vector	C1520007	COEXISTS_WITH	["34120625_fullText_21"]	NGLY1 gene	C1425023
viral vector	C1520007	COEXISTS_WITH	["32371897_fullText_6"]	Transgenes	C0282641
Fiber	C0225326	COEXISTS_WITH	["23326493_fullText_67"]	GCDH gene	C1415009
Fiber	C0225326	STIMULATES	["23247112_fullText_7"]	GCLC wt Allele	C1704697
Duration	C2926735	COEXISTS_WITH	["32368833_fullText_58"]	EHD3 gene	C1414320
Duration	C2926735	COEXISTS_WITH	["32368833_fullText_58"]	OSBPL3 gene	C1424223
Duration	C2926735	COEXISTS_WITH	["34488355_fullText_7"]	AKR1A1 wt Allele	C3715044
Duration	C2926735	COEXISTS_WITH	["21880333_fullText_1"]	LY6E gene	C1334353
Duration	C2926735	INHIBITS	["31968060_fullText_145"]	HMI gene	C1415618
Duration	C2926735	INHIBITS	["36599574_fullText_4"]	P2RY12 gene	C1425330
Duration	C2926735	compared_with	["33998674_fullText_8"]	ARPP21 gene	C2699119
coenzyme Q10	C0056077	COEXISTS_WITH	["31996177_fullText_79"]	COQ2 gene	C1824776
Antioxidants	C0003402	INHIBITS	["34171359_fullText_5"]	CYP1A1 gene	C0919425
Program	C2728259	COEXISTS_WITH	["11476784_fullText_1"]	PBRM1 gene	C1853685
Program	C2728259	COEXISTS_WITH	["30135079_fullText_53"]	NGLY1 gene	C1425023
Program	C2728259	COEXISTS_WITH	["29844506_fullText_90"]	Genome, Bacterial	C0085238
Program	C2728259	compared_with	["10394040_fullText_3"]	GGT1 gene	C1415053
Mediator brand of benfluorex hydrochloride	C0127400	INHIBITS	["28512194_fullText_63"]	RBFOX2 gene	C1419304
Mediator brand of benfluorex hydrochloride	C0127400	INHIBITS	["32368833_fullText_25"]	PHEX gene	C1418526
Mediator brand of benfluorex hydrochloride	C0127400	INHIBITS	["12897163_fullText_3"]	PEX13 gene	C1418474
Mediator brand of benfluorex hydrochloride	C0127400	INHIBITS	["36708234_fullText_6"]	MAOB gene	C1417002
Mediator brand of benfluorex hydrochloride	C0127400	INHIBITS	["35436248_fullText_11"]	CFP gene	C1418482
Mediator brand of benfluorex hydrochloride	C0127400	INTERACTS_WITH	["23873129_fullText_1","23873129_fullText_5"]	CLCN1 gene	C1413450
Mediator brand of benfluorex hydrochloride	C0127400	STIMULATES	["20855289_fullText_82","20855289_fullText_83","20855289_fullText_103","20855289_fullText_151"]	MYOD1 gene	C1417574
Mediator brand of benfluorex hydrochloride	C0127400	STIMULATES	["35789976_fullText_8"]	PRRT2 wt Allele	C3539645
Mediator brand of benfluorex hydrochloride	C0127400	STIMULATES	["34530858_fullText_5"]	CYBB gene	C1413844
Mediator brand of benfluorex hydrochloride	C0127400	STIMULATES	["16194547_fullText_6"]	ATXN3 gene	C1538301
Level	C2946261	COEXISTS_WITH	["36128717_fullText_14"]	AASS gene	C1424938
Level	C2946261	STIMULATES	["34182003_fullText_10"]	THBS1 gene	C1336626
animal allergen extracts	C3540698	COEXISTS_WITH	["35952337_fullText_6"]	PPRC1 gene	C1428919
