Phenotype	Phenotype_id	RELATION	PROVENANCE	Gene	Gene_id
MULTICENTRIC CASTLEMAN DISEASE, SUSCEPTIBILITY TO	C3541461	IS_TREATED	["26258410_fullText_5"]	INDUCIBLE cAMP EARLY REPRESSOR	C1852403
Elevated liver transaminases	C2674385	COEXISTS_WITH	["32576142_fullText_3"]	NGLY1 gene	C1425023
