Disease	Disease_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Virus Diseases	C0042769	CAUSES	["23829769_fullText_18"]	Gastrointestinal symptom	C0426576
Phenylketonuria, Maternal	C0085547	AFFECTS	["10769367_fullText_7"]	Pregnancy Outcome	C0032972
Obesity	C0028754	AFFECTS	["37769981_fullText_1"]	Pregnancy Outcome	C0032972
Phenylketonurias	C0031485	AFFECTS	["3468826_fullText_2"]	Breastfeeding (mother)	C1623040
Syndrome	C0039082	AFFECTS	["24140416_fullText_1"]	Ventricular Tachyarrhythmia ECG Assessment	C3827656
Jervell-Lange Nielsen Syndrome	C0022387	PREDISPOSES	["36422233_fullText_1"]	Ventricular Arrhythmia ECG Assessment	C3812282
Chronic Kidney Diseases	C1561643	PREDISPOSES	["33835396_fullText_5"]	Hyperkalemia	C0020461
Septicemia	C0036690	COEXISTS_WITH	["35322092_fullText_10"]	Cardiac index	C0428776
Virus Diseases	C0042769	CAUSES	["31099193_fullText_45"]	Prodromal Symptoms	C3494358
Septicemia	C0036690	COEXISTS_WITH	["35322092_fullText_8","35322092_fullText_10","35322092_fullText_12"]	Ovariectomized female	C3687559
Nocturia	C0028734	ISA	["36067995_fullText_1"]	Lower Urinary Tract Symptoms	C0574785
nervous system disorder	C0027765	CAUSES	["34175450_fullText_2"]	Forgetful	C0542476
Phenylketonurias	C0031485	COEXISTS_WITH	["20331662_fullText_4"]	Severe cognitive impairment	C3554639
Phenylketonurias	C0031485	COEXISTS_WITH__SPEC__	["26624009_fullText_1"]	Severe cognitive impairment	C3554639
Myopathy	C0026848	CAUSES	["28330959_fullText_107"]	Myalgia	C0231528
Fibromyalgia	C0016053	ISA	["24803843_fullText_30"]	Myalgia	C0231528
Mitochondrial Diseases	C0751651	COEXISTS_WITH	["26977240_fullText_67"]	physical symptom	C0679309
Phenylketonurias	C0031485	COEXISTS_WITH	["20478016_fullText_4"]	Abdominal Pain	C0000737
Asthma	C0004096	AFFECTS	["34628125_fullText_2"]	Small airways	C1862763
Chronic Obstructive Airway Disease	C0024117	AFFECTS	["34628125_fullText_2"]	Small airways	C1862763
Epilepsy	C0014544	COEXISTS_WITH__SPEC__	["36854724_fullText_1"]	Hyperexcitability Behavior	C0856984
Rare Diseases	C0678236	AFFECTS	["37607165_fullText_1"]	Reduced life expectancy	C1858274
Gaucher Disease	C0017205	AFFECTS__SPEC__	["37607165_fullText_1"]	Reduced life expectancy	C1858274
Left Ventricular Hypertrophy	C0149721	COEXISTS_WITH	["22827830_fullText_34"]	Left ventricular mass	C0455825
Neuromuscular inhibition	C0234119	COEXISTS_WITH	["20565393_fullText_4"]	normal patient	C0848894
Heart Diseases	C0018799	ISA	["17575483_fullText_3"]	Tachyarrhythmia	C0080203
Syndrome	C0039082	AFFECTS	["27854224_fullText_256"]	Tachyarrhythmia	C0080203
Obesity	C0028754	ISA	["38068741_abstract_45","36384480_fullText_8","34144002_fullText_1","34144002_fullText_2","34144002_fullText_4","34144002_fullText_5","34144002_fullText_7","34144002_fullText_8","26708644_fullText_1"]	Overweight	C0497406
Chronic respiratory failure	C0264492	AFFECTS	["26786377_fullText_2"]	advanced disease	C0679246
Hyperthyroidism	C0020550	AFFECTS	["34570185_fullText_7"]	Increased skin temperature	C0232417
Hyperthyroidism	C0020550	AFFECTS	["34570185_fullText_7"]	Core body temperature	C0456240
Chronic disease	C0008679	AFFECTS	["35247145_fullText_2"]	Peripheral perfusion	C0425710
Phenylketonurias	C0031485	AFFECTS	["24048906_fullText_2"]	Patient Problem	C1254481
Respiratory Failure	C1145670	AFFECTS	["38041474_fullText_8"]	Patient on waiting list (finding)	C0422768
Chronic pain	C0150055	COEXISTS_WITH	["37348821_fullText_2"]	Cachexia	C0006625
Muscular Dystrophy	C0026850	CAUSES	["37318869_fullText_1"]	Cachexia	C0006625
Muscular Atrophy	C0026846	COEXISTS_WITH__SPEC__	["28367954_fullText_1"]	Cachexia	C0006625
Myotonic Dystrophy	C0027126	COEXISTS_WITH__SPEC__	["3065594_fullText_1"]	Cachexia	C0006625
Hereditary Diseases	C0019247	CAUSES	["37406430_fullText_1"]	Single organ dysfunction	C0349410
Epilepsy	C0014544	COEXISTS_WITH	["30420707_fullText_2"]	Long Term Survivorship	C1517940
Lentivirus Infections	C0079680	AFFECTS	["25333616_fullText_31"]	blank	C0750479
Tuberculosis, Pulmonary	C0041327	COEXISTS_WITH	["34882838_fullText_4"]	Duration of gestation	C0460089
Phenylketonurias	C0031485	COEXISTS_WITH	["17607414_fullText_4"]	Autistic features	C1846135
Dermatitis	C0011603	COEXISTS_WITH__SPEC__	["34288036_fullText_7"]	Generalized pruritus	C0475858
Hypertensive disease	C0020538	COEXISTS_WITH	["35482399_fullText_4"]	Second half	C3843057
Myotonic Dystrophy	C0027126	AFFECTS	["2128051_fullText_6"]	Increased prolactin level	C0747979
Metabolic Diseases	C0025517	COEXISTS_WITH	["36246929_fullText_3"]	Increased prolactin level	C0747979
Hyperprolactinemia	C0020514	COEXISTS_WITH	["36286827_fullText_10"]	peri-menopausal	C0849668
Nephrosis	C0027720	IS_A		Proteinuria	C0033687
Chronic Headache	C0151293	AFFECTS	["35840874_fullText_8"]	Pain Threshold	C0162703
Chronic disease	C0008679	COEXISTS_WITH	["36790443_fullText_1"]	chemical exposure	C0678803
Paraphimosis	C0030483	IS_A		Phimosis	C0031538
Epilepsy	C0014544	COEXISTS_WITH	["28344438_fullText_15"]	Histological finding	C0449575
Hydrops Fetalis, Non-Immune	C0455988	COEXISTS_WITH	["31420886_fullText_10"]	Thrombocytopenia	C0040034
Blood Coagulation Disorders	C0005779	COEXISTS_WITH	["26066342_fullText_9"]	Thrombocytopenia	C0040034
Acquired thrombocytopenia	C0154301	IS_A		Thrombocytopenia	C0040034
Thrombocytopenia due to platelet alloimmunization	C0272286	IS_A		Thrombocytopenia	C0040034
Phenylketonurias	C0031485	COEXISTS_WITH	["31112507_fullText_5"]	Fourth Stage of Labor	C2985294
Phenylketonurias	C0031485	AFFECTS	["21216643_fullText_1"]	Severe brain damage	C3279537
Allergic condition	C0851444	AFFECTS	["34482800_fullText_1"]	Severe inflammation	C0522569
Asthma	C0004096	COEXISTS_WITH	["34449953_fullText_6","34449953_fullText_9","34449953_fullText_10","34449953_fullText_11"]	Skier	C0425040
Glaucoma	C0017601	COEXISTS_WITH	["37150298_fullText_4"]	3/12	C0442761
SVEINSSON CHORIORETINAL ATROPHY	C1862382	COEXISTS_WITH	["35738030_fullText_3"]	Military service	C3714797
Glaucoma	C0017601	ISA	["35587357_fullText_1"]	Abnormal blood pressure	C0005826
Myotonic Dystrophy	C0027126	COEXISTS_WITH	["7811171_fullText_5"]	chronic fatigue	C0518656
Ischemic stroke	C0948008	COEXISTS_WITH	["36778208_fullText_7"]	Lymphocyte count decreased	C0853986
BRACHYDACTYLY, TYPE D	C0220664	COEXISTS_WITH	["37500247_fullText_1"]	physical appearance	C0750731
Asthma	C0004096	COEXISTS_WITH	["36959028_fullText_2"]	Airway Remodeling	C2717792
Akathisia, Tardive	C0162549	AFFECTS	["36522124_fullText_1"]	Repetitive movements	C3806732
Carnitine deficiency	C1142132	COEXISTS_WITH	["32872442_fullText_158"]	GA-1	C3840680
Acute encephalopathy	C1306587	COEXISTS_WITH	["15689364_fullText_2"]	GA-1	C3840680
Macrocephaly	C0221355	COEXISTS_WITH	["16430418_fullText_3"]	GA-1	C3840680
Migraine Disorders	C0149931	COEXISTS_WITH	["35848693_fullText_2"]	Source of information	C0683836
Chronic pain syndrome	C1298685	AFFECTS	["35544938_fullText_6"]	Eye symptom	C0586406
Cardiovascular Diseases	C0007222	COEXISTS_WITH	["34103192_fullText_7"]	Bereavement, life event (finding)	C1879338
Myotonic Dystrophy	C0027126	COEXISTS_WITH__SPEC__	["3065594_fullText_1"]	Skeletal muscle weakness	C3806327
Parkinson Disease	C0030567	AFFECTS	["35041839_fullText_10"]	Procedural memory	C0561782
Chronic disease	C0008679	AFFECTS	["35468904_fullText_1"]	Memory difficulties	C1843862
Neuromuscular Diseases	C0027868	CAUSES	["29390978_fullText_44"]	Early satiety	C0239233
Cholelithiasis	C0008350	CAUSES	["18653337_fullText_5"]	abdominal symptom	C0740651
Epilepsy	C0014544	COEXISTS_WITH	["37580162_fullText_1"]	Seizures in the newborn, refractory	C3151685
Hyperphenylalaninaemia	C0751435	COEXISTS_WITH	["9542220_fullText_3"]	Previous pregnancies 2	C0232997
Malignant hyperpyrexia due to anesthesia	C0024591	COEXISTS_WITH	["3207229_fullText_1"]	Previous pregnancies 2	C0232997
Equine laminitis	C0263541	AFFECTS	["38459834_fullText_85"]	Partial loss	C3845645
Kernicterus due to isoimmunization	C0270204	IS_A		Neonatal Jaundice	C0022353
Perinatal jaundice due to hepatocellular damage	C0158976	IS_A		Neonatal Jaundice	C0022353
Congenital Disorders	C0242354	COEXISTS_WITH	["36965289_fullText_1"]	Variable features	C2673413
Hypoglycemia	C0020615	COEXISTS_WITH	["35308014_fullText_4"]	Hyperinsulinemic hypoglycemia	C1864903
Spinal Muscular Atrophy	C0026847	COEXISTS_WITH	["1202397_fullText_3"]	Place in family order: youngest sibling	C0728834
Congenital Disorders	C0242354	COEXISTS_WITH	["22801829_fullText_1"]	Electroretinographic (ERG) finding	C0429401
Sleep Apnea, Obstructive	C0520679	AFFECTS	["36528660_fullText_2"]	Small corpus callosum	C1846150
Rare Diseases	C0678236	AFFECTS	["36181121_fullText_1"]	Connective and Soft Tissue Finding	C3714517
Dystrophia myotonica 1	C2931688	AFFECTS__SPEC__	["36181121_fullText_1"]	Connective and Soft Tissue Finding	C3714517
Neuromuscular Diseases	C0027868	AFFECTS	["6702917_fullText_6"]	Fetus normal	C0566879
Epilepsy	C0014544	COEXISTS_WITH	["30746764_fullText_7"]	EEG HYPSARRHYTHMIA	C2216187
Zellweger Syndrome	C0043459	COEXISTS_WITH	["21826223_fullText_20"]	Infant Death	C0549159
Phenylketonurias	C0031485	COEXISTS_WITH	["7195856_fullText_1"]	Severe viral infections	C3277428
brain dysfunction	C0262405	COEXISTS_WITH	["37291632_fullText_2"]	Microcephaly, severe	C1850352
Micronodular cirrhosis	C0267812	ISA	["17954208_fullText_5"]	General symptoms and signs (R50-R69)	C0478147
Neurodegenerative Disorders	C0524851	AFFECTS	["20959636_fullText_120"]	Peroxisome deficiency	C3279400
Rare Diseases	C0678236	COEXISTS_WITH	["32013919_fullText_79"]	Hearing impairment, sensorineural	C3275535
Zellweger Syndrome	C0043459	COEXISTS_WITH	["15685158_fullText_9"]	Abnormal neuronal migration	C1837231
Peroxisomal Disorders	C0282528	COEXISTS_WITH	["11478384_fullText_1","9382874_fullText_1"]	Abnormal neuronal migration	C1837231
Hereditary Diseases	C0019247	COEXISTS_WITH	["877816_fullText_1"]	Carrier of disorder	C0560175
Cystic Periventricular Leukomalacia	C0751280	COEXISTS_WITH	["7567228_fullText_1"]	Periventricular cysts	C1839858
Myopathy	C0026848	COEXISTS_WITH	["27266866_fullText_17"]	Myotonic discharges	C1850308
Respiratory Failure	C1145670	COEXISTS_WITH	["30838353_fullText_3"]	Respiratory muscle weakness	C1836141
pulmonary involvement	C0748159	COEXISTS_WITH	["30301614_fullText_13"]	Respiratory muscle weakness	C1836141
Syndrome	C0039082	COEXISTS_WITH	["671991_fullText_3"]	Cardialgia	C0858529
Myopathy	C0026848	COEXISTS_WITH	["26501102_fullText_129"]	Atrophic fibers	C1850834
CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	C1852502	COEXISTS_WITH	["24932094_fullText_5","24932094_fullText_35"]	Electrocardiogram atrioventricular block complete heart block	C2215935
Myotonic Dystrophy	C0027126	AFFECTS	["1346925_fullText_1"]	Muscle wasting, progressive	C2678062
Deglutition Disorders	C0011168	AFFECTS	["30994189_fullText_2"]	Gagging	C0016927
Diabetes	C0011847	COEXISTS_WITH	["18657426_fullText_9"]	Abnormal nerve conduction	C0234090
nervous system disorder	C0027765	COEXISTS_WITH	["16006155_fullText_6"]	Sleep abnormalities	C3277092
Congenital adrenal hyperplasia	C0001627	COEXISTS_WITH	["236512_fullText_10"]	Bone age	C0429620
Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844	COEXISTS_WITH	["23532445_fullText_4"]	Line 7	C3843260
Virus Diseases	C0042769	COEXISTS_WITH	["26081110_fullText_74"]	Kussmaul's respiration	C0541813
Somatotropin deficiency	C0271561	COEXISTS_WITH	["30419932_fullText_61"]	Short stature, severe	C1843670
Brachydactyly	C0221357	ISA	["30419932_fullText_81"]	Short finger	C0239594
Adrenal gland hypofunction	C0001623	AFFECTS	["30419932_fullText_212"]	Life crisis	C0438400
Virus Diseases	C0042769	COEXISTS_WITH	["26081110_fullText_74"]	Upper limb dystonia	C1843267
Diabetes Mellitus	C0011849	AFFECTS	["36557887_fullText_141"]	Tissue Failure	C1710427
Chronic disease	C0008679	AFFECTS	["36412346_fullText_46"]	Cystic Change	C1511605
Nephrocalcinosis	C0027709	COEXISTS_WITH	["35741019_fullText_69"]	Liver palpable	C0577045
Phenylketonurias	C0031485	COEXISTS_WITH__SPEC__	["15088800_fullText_1"]	Progressive mental retardation	C1846149
Metabolic Diseases	C0025517	COEXISTS_WITH	["15088800_fullText_1"]	Progressive mental retardation	C1846149
Retinitis Pigmentosa	C0035334	AFFECTS	["26627182_fullText_41"]	Tunnel visual field constriction	C2937228
Glaucoma	C0017601	AFFECTS	["26627182_fullText_41"]	Tunnel visual field constriction	C2937228
Sandhoff Disease	C0036161	COEXISTS_WITH	["27682710_fullText_3"]	Cherry red spot	C0278234
Dystrophia myotonica 1	C2931688	AFFECTS	["22131273_fullText_3"]	Tends not to be sociable	C0564537
Dystrophia myotonica 1	C2931688	AFFECTS	["28344440_fullText_0"]	Abnormal Growth Hormone	C0860787
Heart Block	C0018794	AFFECTS__SPEC__	["28344440_fullText_0"]	Abnormal Growth Hormone	C0860787
Heart Diseases	C0018799	AFFECTS	["28344440_fullText_0"]	Abnormal Growth Hormone	C0860787
Deuteranomaly	C3887938	AFFECTS	["39231983_fullText_51"]	Neuroinflammation	C5394393
Cold paroxysmal hemoglobinuria	C0086774	IS_A		Hemoglobinuria	C0019048
Gingival Hypertrophy	C0017567	IS_A		Gingival Overgrowth	C0376480
Epulides	C0266919	IS_A		Gingival Overgrowth	C0376480
Hereditary gingival fibromatosis	C0399440	IS_A		Gingival Overgrowth	C0376480
Orbital Cellulitis	C0149507	IS_A		Acute inflammation of orbit	C0155256
Tenonitis	C0155259	IS_A		Acute inflammation of orbit	C0155256
Orbital osteomyelitis	C0155258	IS_A		Acute inflammation of orbit	C0155256
Orbital periostitis	C0155257	IS_A		Acute inflammation of orbit	C0155256
Familial lecithin cholesterol acyltransferase deficiency	C0023195	IS_A		Hypolipoproteinemias	C0020623
Hypobetalipoproteinemias	C0020597	IS_A		Hypolipoproteinemias	C0020623
Tangier Disease	C0039292	IS_A		Hypolipoproteinemias	C0020623
Abetalipoproteinemia	C0000744	IS_A		Hypolipoproteinemias	C0020623
Syphilis, Congenital	C0039131	IS_A		Syphilitic chancre	C0007939
Syphilis, Latent	C0039133	IS_A		Syphilitic chancre	C0007939
Syphilis, tertiary	C0153188	IS_A		Syphilitic chancre	C0007939
Syphilis, secondary	C0149985	IS_A		Syphilitic chancre	C0007939
Early symptomatic syphilis	C0153139	IS_A		Syphilitic chancre	C0007939
Intervertebral disk calcification	C0410607	AFFECTS	["37563694_fullText_5"]	Joint stiffness, progressive	C3550574
Mitochondrial Diseases	C0751651	COEXISTS_WITH	["38459834_fullText_87"]	1 (finding)	C5201140
Phenylketonurias	C0031485	COEXISTS_WITH	["7719440_fullText_11"]	General physical condition	C1142435
Hyperphenylalaninaemia	C0751435	COEXISTS_WITH	["21152388_fullText_10"]	Therapeutic diets	C0452264
Hyperphenylalaninaemia	C0751435	AFFECTS	["21933604_fullText_1"]	Livebirth	C0419373
Phenylketonurias	C0031485	COEXISTS_WITH	["18755275_fullText_1"]	Decreased brain weight	C1855082
Phenylketonurias	C0031485	AFFECTS	["6446685_fullText_1"]	IMBECILITY	C0541729
EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508	AFFECTS	["38579001_fullText_4"]	Accumulation	C4055506
Progressive cerebellar ataxia	C0393525	AFFECTS	["38580500_fullText_3"]	Motor incoordination	C4012581
motor disorder	C0221163	COEXISTS_WITH	["38923784_fullText_75"]	SYSTEM:*	C5444317
Acute encephalopathy	C1306587	COEXISTS_WITH	["38419071_fullText_12"]	Lethality	C5203340
Respiratory Failure	C1145670	COEXISTS_WITH	["38419071_fullText_12"]	Lethality	C5203340
Congenital disorder of glycosylation type 1G	C2931001	COEXISTS_WITH	["38876156_fullText_2"]	Ocular abnormalities	C5436858
Syndrome	C0039082	COEXISTS_WITH	["39267509_fullText_3"]	Encounter for Genetic screening NEC in ICD9CM	C0017394
Phenylketonurias	C0031485	AFFECTS	["39146838_fullText_2"]	Intensity and Distress 1	C5202796
Epilepsy	C0014544	COEXISTS_WITH	["39231983_fullText_185"]	High risk	C4319571
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["36729871_fullText_22"]	Mixed Response	C5236980
