Disease	Disease_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Liver diseases	C0023895	ISA	["37758136_fullText_10"]	Illness (finding)	C0221423
Phenylketonurias	C0031485	COEXISTS_WITH	["8828616_fullText_1"]	Reduced concentration	C0424099
Syndrome	C0039082	COEXISTS_WITH	["12632995_fullText_2"]	Visual Impairment	C3665347
Phenylketonurias	C0031485	COEXISTS_WITH	["10916518_fullText_3","7474891_fullText_4"]	Compliance	C3714738
Phenylketonurias	C0031485	AFFECTS	["20373144_fullText_3","20373144_fullText_5"]	Compliance	C3714738
Chronic metabolic disorder	C1263722	AFFECTS	["16435177_fullText_1"]	Compliance	C3714738
Van der Woude syndrome	C0175697	AFFECTS	["19743980_fullText_2"]	Compliance	C3714738
Bilateral total vocal cord paralysis	C0155850	CAUSES	["10207933_fullText_2"]	Stridor	C0038450
Peroxisome Biogenesis Disorder, Complementation Group G	C1864172	AFFECTS	["29967337_fullText_3"]	Symptom mild	C0436343
Phenylketonurias	C0031485	AFFECTS__SPEC__	["20123473_fullText_11"]	Symptom mild	C0436343
Phenylketonurias	C0031485	COEXISTS_WITH	["34391119_fullText_1"]	Undiagnosed	C1408353
Dermatitis, Phototoxic	C0162830	CAUSES	["34743684_fullText_3"]	Exanthema	C0015230
Muscular Dystrophy	C0026850	PREDISPOSES	["33864373_fullText_5"]	Dystrophic changes	C3276192
Spastic syndrome	C0270814	COEXISTS_WITH	["11271368_fullText_2"]	Diffuse Pattern	C1333299
Pierson syndrome	C1836876	COEXISTS_WITH	["27925579_fullText_3"]	Abnormal result	C0459424
Leigh Disease	C0023264	COEXISTS_WITH	["24731534_fullText_49"]	Convulsive Seizures	C0751494
Neurodegenerative Disorders	C0524851	COEXISTS_WITH	["37652198_fullText_1"]	Senility	C0231337
Axonal neuropathy	C0270921	CAUSES	["9343141_fullText_1"]	Proximal weakness	C0750403
Virus Diseases	C0042769	COEXISTS_WITH	["31735801_fullText_9"]	Achalasia	C1321756
Congenital Disorders	C0242354	COEXISTS_WITH	["35665995_fullText_3"]	Achalasia	C1321756
Classical phenylketonuria	C0751434	CAUSES	["11043162_fullText_1"]	Clouded consciousness	C0683369
Beriberi	C0005122	CAUSES	["18467350_fullText_2"]	Clouded consciousness	C0683369
Acute infectious disease	C0275518	COEXISTS_WITH	["34255953_fullText_1"]	Falls	C0085639
Acute Cerebrovascular Accidents	C0751956	PREDISPOSES	["34015940_fullText_1"]	Falls	C0085639
Parkinson Disease	C0030567	PREDISPOSES	["35485491_fullText_8"]	Falls	C0085639
Bannayan-Riley-Ruvalcaba Syndrome	C0265326	PREDISPOSES	["35229895_fullText_1"]	Falls	C0085639
Macrocephaly	C0221355	COEXISTS_WITH	["12210585_fullText_7"]	Dilated	C0700124
Mitochondrial Myopathies	C0162670	COEXISTS_WITH	["37534760_fullText_2"]	Heteroplasmic	C3845270
Acidosis, Lactic	C0001125	COEXISTS_WITH	["37534760_fullText_2"]	Heteroplasmic	C3845270
Encephalopathies	C0085584	COEXISTS_WITH	["37534760_fullText_2"]	Heteroplasmic	C3845270
Cardiomyopathies	C0878544	COEXISTS_WITH	["32867169_fullText_77"]	Heteroplasmic	C3845270
Heart failure	C0018801	COEXISTS_WITH	["34928236_fullText_76"]	Heteroplasmic	C3845270
Leigh Disease	C0023264	COEXISTS_WITH	["36335839_fullText_1"]	Heteroplasmic	C3845270
Depletion of mitochondrial DNA	C0342782	COEXISTS_WITH	["31261379_fullText_8"]	Heteroplasmic	C3845270
Rare Diseases	C0678236	COEXISTS_WITH	["32013919_fullText_79"]	Motor retardation	C0424230
Hereditary Diseases	C0019247	COEXISTS_WITH	["8530628_fullText_1"]	Motor retardation	C0424230
Congenital Disorders of Glycosylation	C0282577	COEXISTS_WITH__SPEC__	["8530628_fullText_1"]	Motor retardation	C0424230
Usher Syndrome	C0271097	COEXISTS_WITH	["26287655_fullText_82"]	Deafness	C0011053
Developmental regression	C1836830	COEXISTS_WITH	["36412346_fullText_40"]	White matter lesions	C2752009
Developmental regression	C1836830	COEXISTS_WITH	["36412346_fullText_14"]	Consciousness, Level Altered	C0751054
Acute respiratory failure	C0264490	COEXISTS_WITH	["30172469_fullText_4"]	Term infant	C0456128
Telangiectasis	C0039446	COEXISTS_WITH	["36896690_fullText_8"]	Term infant	C0456128
Phenylketonurias	C0031485	COEXISTS_WITH	["38203665_fullText_4"]	Missense	C3845273
LEBER OPTIC ATROPHY AND DYSTONIA	C1839040	COEXISTS_WITH	["19458970_fullText_1"]	Unspecified visual loss	C3665346
Optic Atrophy, Hereditary, Leber	C0917796	COEXISTS_WITH	["19458970_fullText_1"]	Unspecified visual loss	C3665346
Peroxisomal Disorders	C0282528	AFFECTS	["27827795_fullText_2"]	Neonatal Death	C0410916
Failure to Thrive	C0015544	COEXISTS_WITH	["2716238_fullText_3"]	Vomiting, recurrent	C0750325
Cytochrome-c Oxidase Deficiency	C0268237	COEXISTS_WITH	["29601977_fullText_170"]	CTCAE Grade 5 Encephalopathy	C1561319
Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776	COEXISTS_WITH	["31967322_fullText_79"]	Prognosis bad	C0278252
Heart Diseases	C0018799	COEXISTS_WITH	["36404400_fullText_1"]	Prognosis bad	C0278252
Phenylketonurias	C0031485	COEXISTS_WITH	["1494969_fullText_2"]	Poor outcome	C3806166
Asthma	C0004096	COEXISTS_WITH	["33863317_fullText_1"]	Poor outcome	C3806166
Cytochrome-c Oxidase Deficiency	C0268237	COEXISTS_WITH	["9843204_fullText_1"]	Necrotic Lesion	C1334929
Leigh Disease	C0023264	IS_TREATED	["39066889_fullText_34"]	Ketogenic Diet	C0259972
Hereditary myopathy NOS	C1399469	COEXISTS_WITH	["36534775_fullText_1"]	Variable severity	C1836143
Hyperinsulinism	C0020459	COEXISTS_WITH	["19101627_fullText_2"]	Variable severity	C1836143
Phenylketonurias	C0031485	AFFECTS	["20023364_fullText_1"]	Nervous system problem	C0221571
Medium-chain acyl-coenzyme A dehydrogenase deficiency	C0220710	AFFECTS	["12523003_fullText_6"]	Metabolic crises	C3278052
Infectious disease of digestive tract	C1264613	COEXISTS_WITH	["19616603_fullText_6"]	Impaired exercise tolerance	C0424551
Wernicke Encephalopathy	C0043121	COEXISTS_WITH	["37525097_fullText_12"]	Bilateral Deafness	C3665473
Telogen effluvium	C0263518	IS_A		Alopecia	C0002170
Loose Anagen Hair Syndrome	C0406468	IS_A		Alopecia	C0002170
Maple Syrup Urine Disease	C0024776	COEXISTS_WITH	["17761035_fullText_2"]	Decompensation	C0231187
Cerebral atrophy	C0235946	COEXISTS_WITH	["24341803_fullText_39","24341803_fullText_83"]	Decompensation	C0231187
Hyperuricemia	C0740394	PREDISPOSES	["32048023_abstract_14"]	Decompensation	C0231187
Liver Failure	C0085605	PREDISPOSES	["36064306_fullText_4"]	Decompensation	C0231187
