Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
PMM2 gene	C1418674	ASSOCIATED_WITH__INFER__	["31640729_fullText_15"]	Signs and Symptoms	C0037088
MT-TA gene	C1537998	ASSOCIATED_WITH__INFER__	["17895983_fullText_82"]	Signs and Symptoms	C0037088
GPBAR1 gene	C1426330	ASSOCIATED_WITH		Constipation	C0009806
POMC gene	C1337111	ASSOCIATED_WITH		Constipation	C0009806
OPRM1 gene	C1417965	ASSOCIATED_WITH		Constipation	C0009806
LAMA1 gene	C1416775	CAUSES	["37602534_fullText_7"]	Serious Adverse Event	C1519255
LAMA1 gene	C1416775	DISRUPTS	["37602534_fullText_10"]	Serious Adverse Event	C1519255
NT5E gene	C1417861	DISRUPTS	["34224862_fullText_4"]	Neuronal degeneration	C3670500
ABCB1 gene	C0376622	ASSOCIATED_WITH		Hypotension, Orthostatic	C0020651
OPRM1 gene	C1417965	ASSOCIATED_WITH		Hypotension, Orthostatic	C0020651
NDUFS8 gene	C1417651	CAUSES	["35148383_fullText_54"]	patient condition	C0683521
Exome	C3178814	CAUSES	["35217561_fullText_10"]	patient condition	C0683521
DARS2 gene	C1824885	CAUSES	["33182419_fullText_79"]	Tremor	C0040822
LGALS4 gene	C1416832	CAUSES	["31246996_fullText_116"]	Tremor	C0040822
UNC13A gene	C1427949	ASSOCIATED_WITH		Tremor	C0040822
ADORA2A gene	C1412246	ASSOCIATED_WITH		Tremor	C0040822
GBA gene	C1414998	ASSOCIATED_WITH		Tremor	C0040822
