Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
LTF gene	C1416933	ASSOCIATED_WITH		Weight Loss	C1262477
ATG5 gene	C1825497	ASSOCIATED_WITH		Weight Loss	C1262477
SOD1 gene	C1420306	ASSOCIATED_WITH		Weight Loss	C1262477
POMC gene	C1337111	ASSOCIATED_WITH		Weight Loss	C1262477
GNRH1 gene	C1415169	ASSOCIATED_WITH		Weight Loss	C1262477
FST gene	C1414830	ASSOCIATED_WITH		Weight Loss	C1262477
HDAC3 gene	C1366355	ASSOCIATED_WITH		Weight Loss	C1262477
COL2A1 gene	C1413580	ASSOCIATED_WITH		Weight Loss	C1262477
NPY gene	C1417815	ASSOCIATED_WITH		Weight Loss	C1262477
TLR4 gene	C1336636	ASSOCIATED_WITH		Weight Loss	C1262477
ACE gene	C1413931	ASSOCIATED_WITH		Weight Loss	C1262477
GH1 gene	C1333673	ASSOCIATED_WITH		Weight Loss	C1262477
GDF15 gene	C1335222	ASSOCIATED_WITH		Hyperemesis Gravidarum	C0020450
NDUFS4 gene	C1417647	AFFECTS	["38732047_fullText_128"]	1 (finding)	C5201140
ALDH7A1 gene	C1412691	CAUSES	["39501195_fullText_2"]	Accumulation	C4055506
ALYREF gene	C1425988	CAUSES	["39320846_fullText_10"]	Accumulation	C4055506
ATXN3 gene	C1538301	CAUSES	["38497605_fullText_76"]	Accumulation	C4055506
NDUFS6 gene	C1417649	CAUSES	["38459834_fullText_115"]	Accumulation	C4055506
SQRDL gene	C1426907	AFFECTS	["38870029_fullText_4","38870029_fullText_97"]	Accumulation	C4055506
PEX13 gene	C1418474	CAUSES	["37962062_fullText_10"]	Intensity and Distress 5	C5203119
ADO gene	C1428110	CAUSES	["39125643_fullText_70"]	Low risk	C5201228
ATXN3 gene	C1538301	CAUSES	["38923784_fullText_13"]	Motility problems	C4693871
MT-ND5 gene	C1537994	AUGMENTS	["39385390_fullText_92"]	Mutation Load	C5555125
NDUFAF2 gene	C1826392	CAUSES	["38949024_fullText_19"]	Abnormal eyelash morphology	C2675111
NDUFS4 gene	C1417647	AUGMENTS	["38177503_fullText_115"]	Leakage	C4281748
