Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Not significant	C1273937	COEXISTS_WITH	["28367954_fullText_33"]	Muscular dystrophy congenital, merosin negative	C1263858
Neurologic Manifestations	C0027854	COEXISTS_WITH	["39125643_fullText_1"]	Hereditary Neurodegenerative Disorder	C3273225
Neurologic Manifestations	C0027854	COEXISTS_WITH	["37162580_fullText_3"]	Leukoencephalopathies	C0270612
Neurologic Manifestations	C0027854	COMPLICATES	["37162580_fullText_2","31701331_fullText_4"]	Phenylketonurias	C0031485
Chief complaint (finding)	C0277786	COEXISTS_WITH	["22131273_fullText_3"]	Dystrophia myotonica 1	C2931688
Discrepancy	C1290905	COEXISTS_WITH	["20923787_fullText_13"]	Glutaric aciduria, type 1	C0268595
Discrepancy	C1290905	COEXISTS_WITH	["839235_fullText_6"]	Myotonic Dystrophy	C0027126
Handling	C1832073	COEXISTS_WITH	["25214534_fullText_12"]	Leigh syndrome , French Canadian type	C1857355
Progressive Disease	C1335499	COEXISTS_WITH	["18477973_fullText_1"]	Rare Diseases	C0678236
Progressive Disease	C1335499	COEXISTS_WITH	["7490088_fullText_2"]	Hereditary Diseases	C0019247
Progressive Disease	C1335499	COEXISTS_WITH__SPEC__	["18477973_fullText_1"]	Glutaric aciduria, type 1	C0268595
Observation parameter	C0449381	COEXISTS_WITH	["27273236_fullText_7"]	Machado-Joseph Disease	C0024408
regional difference	C0682132	COEXISTS_WITH	["26224289_fullText_9"]	Hyperglycinemia	C0268559
regional difference	C0682132	COEXISTS_WITH	["11360625_fullText_6","9575658_fullText_6"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Protection	C1545588	COEXISTS_WITH	["1442884_fullText_6"]	Phenylketonuria, Maternal	C0085547
Protection	C1545588	COEXISTS_WITH	["34196591_fullText_6"]	Familial dilated cardiomyopathy	C0340427
Mortality, Premature	C1855073	COEXISTS_WITH	["37480097_fullText_1"]	Gangliosidosis GM1	C0085131
Mortality, Premature	C1855073	COEXISTS_WITH	["30816177_fullText_1"]	Mitochondrial Diseases	C0751651
Mortality, Premature	C1855073	COEXISTS_WITH	["36729314_fullText_1"]	Neurodegenerative Disorders	C0524851
Mortality, Premature	C1855073	COEXISTS_WITH__SPEC__	["30816177_fullText_1"]	Leigh Disease	C0023264
Abnormality	C1704258	COEXISTS_WITH	["6872265_fullText_5"]	Phenylketonurias	C0031485
Abnormality	C1704258	COEXISTS_WITH	["31932101_abstract_1"]	Leukodystrophy	C0023520
Abnormality	C1704258	COEXISTS_WITH	["21431621_fullText_32"]	Clastothrix	C0263485
Abnormality	C1704258	COEXISTS_WITH	["35055180_fullText_115"]	Mitochondrial Diseases	C0751651
Abnormality	C1704258	COEXISTS_WITH	["35055180_fullText_115"]	Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	C0342776
Abnormality	C1704258	COEXISTS_WITH	["31046780_fullText_2"]	Miyoshi myopathy	C1850808
Abnormality	C1704258	COEXISTS_WITH	["3452739_fullText_2"]	Retinitis Pigmentosa	C0035334
Abnormality	C1704258	COEXISTS_WITH	["2849397_fullText_4","2849397_fullText_5","3084971_fullText_5","32212331_fullText_7","28416514_fullText_7"]	Myotonic Dystrophy	C0027126
Abnormal ocular motility	C0497202	COEXISTS_WITH	["33468086_fullText_1"]	Machado-Joseph Disease	C0024408
75+ years	C3840862	COEXISTS_WITH	["37382864_fullText_2"]	Chronic Obstructive Airway Disease	C0024117
Motor abnormalities	C3809247	COEXISTS_WITH	["33215370_fullText_7"]	Machado-Joseph Disease	C0024408
Convergent gaze	C1446614	COEXISTS_WITH	["32576615_fullText_5"]	Cardiac Arrest	C0018790
Malaise	C0231218	ASSOCIATED_WITH	["35593100_fullText_4"]	Allergic condition	C0851444
Early death	C1836407	COEXISTS_WITH	["35770802_fullText_1"]	Mitochondrial Diseases	C0751651
Early death	C1836407	COEXISTS_WITH	["26565911_fullText_50"]	Leukodystrophy	C0023520
Early death	C1836407	COEXISTS_WITH__SPEC__	["35770802_fullText_1"]	Leigh Disease	C0023264
1 - 9%	C3842508	COEXISTS_WITH	["12030525_fullText_6"]	Myotonic Dystrophy	C0027126
Neurologic Symptoms	C0235031	COEXISTS_WITH	["39260222_fullText_1"]	Congenital Disorders	C0242354
Neurologic Symptoms	C0235031	COEXISTS_WITH	["25913748_fullText_1"]	Phenylketonurias	C0031485
Neurologic Symptoms	C0235031	COEXISTS_WITH	["408620_fullText_1"]	Metabolic Diseases	C0025517
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["37955240_fullText_1"]	Congenital Disorders	C0242354
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["21431621_fullText_48"]	Menkes Kinky Hair Syndrome	C0022716
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["19725456_fullText_8"]	Systemic disease	C0442893
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["29759592_fullText_4"]	Fibrosis, Liver	C0239946
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["22516080_fullText_4"]	Blood Coagulation Disorders	C0005779
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["11409861_fullText_5"]	Congenital disorder of glycosylation type 1A	C0349653
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["22516080_fullText_4"]	Immune System Diseases	C0021053
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["22516080_fullText_4"]	Liver Failure	C0085605
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["29759592_fullText_4"]	Cirrhosis	C1623038
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["26182505_fullText_26"]	Leigh Disease	C0023264
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["12597051_fullText_2"]	Epilepsy	C0014544
Neurologic Symptoms	C0235031	ASSOCIATED_WITH	["19433437_fullText_11"]	Glutaric aciduria, type 1	C0268595
Genotype-Phenotype Associations	C2717879	COEXISTS_WITH	["38674434_fullText_35"]	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 21	C5436727
Genotype-Phenotype Associations	C2717879	COEXISTS_WITH	["2035532_fullText_6"]	Hyperphenylalaninaemia	C0751435
Genotype-Phenotype Associations	C2717879	COEXISTS_WITH	["35449354_fullText_4","17502162_fullText_3","8892014_fullText_2"]	Phenylketonurias	C0031485
Genotype-Phenotype Associations	C2717879	COEXISTS_WITH	["32205469_fullText_6"]	Machado-Joseph Disease	C0024408
Genotype-Phenotype Associations	C2717879	COEXISTS_WITH	["36335839_fullText_6","29101127_fullText_2"]	Leigh Disease	C0023264
Genotype-Phenotype Associations	C2717879	COEXISTS_WITH	["26260076_fullText_6"]	SHAHEEN SYNDROME	C3809160
Signs and Symptoms	C0037088	CAUSES	["34717235_fullText_4"]	Syndrome	C0039082
Signs and Symptoms	C0037088	ISA	["30852496_fullText_3"]	Syndrome	C0039082
Signs and Symptoms	C0037088	ASSOCIATED_WITH	["32141105_fullText_3"]	Phenylketonurias	C0031485
Signs and Symptoms	C0037088	ASSOCIATED_WITH	["9196902_fullText_6"]	Dystrophia myotonica 2	C2931689
Signs and Symptoms	C0037088	ASSOCIATED_WITH	["32745980_fullText_1","36977930_fullText_1"]	Machado-Joseph Disease	C0024408
Signs and Symptoms	C0037088	ASSOCIATED_WITH	["26298474_fullText_12"]	Cerebellar Diseases	C0007760
Signs and Symptoms	C0037088	ASSOCIATED_WITH	["32745980_fullText_6"]	Spinocerebellar Ataxia 10	C1963674
Signs and Symptoms	C0037088	COEXISTS_WITH__SPEC__	["35741019_fullText_66"]	Zellweger Spectrum	C3658299
Aggressive Clinical Course	C1332223	COEXISTS_WITH	["19144360_fullText_3"]	Syndrome	C0039082
Phenotypic variation	C1836717	COEXISTS_WITH	["10815141_fullText_7"]	Machado-Joseph Disease	C0024408
Constipation	C0009806	COEXISTS_WITH	["8525657_fullText_2"]	myotonic muscular dystrophy	C0242007
Constipation	C0009806	ISA	["36083465_fullText_1","33743737_fullText_25"]	Gastrointestinal Diseases	C0017178
Constipation	C0009806	ASSOCIATED_WITH	["33895170_fullText_1","33895170_fullText_3","33895170_fullText_11"]	Diabetes	C0011847
Neuronal degeneration	C3670500	COEXISTS_WITH	["9124802_fullText_6"]	Machado-Joseph Disease	C0024408
Neuronal degeneration	C3670500	COEXISTS_WITH	["7695891_fullText_4"]	Wernicke Encephalopathy	C0043121
Neuronal degeneration	C3670500	COEXISTS_WITH	["7695891_fullText_4"]	Leigh Disease	C0023264
Hypotension, Orthostatic	C0020651	PREDISPOSES	["37436689_fullText_5"]	Syndrome	C0039082
> 2 years	C3843647	COEXISTS_WITH	["10201039_fullText_1"]	Atrophy of cerebellum	C0740279
> 2 years	C3843647	COEXISTS_WITH	["36058521_fullText_2"]	Infantile Neuroaxonal Dystrophy	C0270724
Reproductive History	C0206076	COEXISTS_WITH	["35932882_fullText_1"]	Overactive Bladder	C0878773
Reproductive History	C0206076	COEXISTS_WITH	["1763896_fullText_1"]	Hereditary Diseases	C0019247
Tremor	C0040822	COEXISTS_WITH	["31246996_fullText_1"]	Neurodegenerative Disorders	C0524851
Tremor	C0040822	COEXISTS_WITH	["31246996_fullText_1"]	Machado-Joseph Disease	C0024408
Tremor	C0040822	CAUSES	["35859051_fullText_5"]	Dyssomnias	C0700201
Tremor	C0040822	ISA	["30425197_fullText_86"]	Dyskinetic syndrome	C0013384
Tremor	C0040822	ISA	["31246996_fullText_4"]	nervous system disorder	C0027765
Tremor	C0040822	ISA	["36497147_fullText_1","35220110_fullText_1"]	Movement Disorders	C0026650
Tremor	C0040822	ASSOCIATED_WITH	["15995796_fullText_2"]	Phenylketonurias	C0031485
Tremor	C0040822	ASSOCIATED_WITH	["25630614_fullText_77"]	FRAGILE X TREMOR/ATAXIA SYNDROME	C1839780
Tremor	C0040822	ASSOCIATED_WITH	["33737752_fullText_1"]	motor disorder	C0221163
consideration	C0518609	COEXISTS_WITH	["34391119_fullText_6"]	Phenylketonurias	C0031485
consideration	C0518609	COEXISTS_WITH	["36165509_fullText_6"]	Narcolepsy	C0027404
Stargardt's disease	C0271093	ISA	["34051736_fullText_5"]	Retinal Diseases	C0035309
Form of muscle	C0240417	PREDISPOSES	["30526208_fullText_2"]	Machado-Joseph Disease	C0024408
Tongue dystonia	C2242578	ASSOCIATED_WITH	["31565539_fullText_2"]	Machado-Joseph Disease	C0024408
Tongue dystonia	C2242578	COEXISTS_WITH	["31565539_fullText_1"]	Machado-Joseph Disease	C0024408
Dystonia, Limb	C0751093	COEXISTS_WITH	["30029642_fullText_22"]	Acute viral disease	C1443953
Progressive neurodegeneration	C1845518	COEXISTS_WITH	["37480097_fullText_1"]	Gangliosidosis GM1	C0085131
Progressive neurodegeneration	C1845518	COEXISTS_WITH	["24356766_fullText_1","35770802_fullText_2"]	Leigh Disease	C0023264
functional disability	C0872173	COEXISTS_WITH	["33619652_fullText_104"]	Peripheral Neuropathy	C0031117
Ophthalmoparesis	C0751401	COEXISTS_WITH	["38030858_fullText_3"]	Progressive cerebellar ataxia	C0393525
Muscular fasciculation	C0015644	ASSOCIATED_WITH	["11405804_fullText_2"]	Machado-Joseph Disease	C0024408
Hyperactive behavior	C0424295	COEXISTS_WITH	["33940050_fullText_1"]	Fetal Alcohol Syndrome	C0015923
Ubiquitin-positive inclusions	C1838318	COEXISTS_WITH	["31721251_fullText_34"]	FRAGILE X TREMOR/ATAXIA SYNDROME	C1839780
Vitality	C0424589	COEXISTS_WITH	["30578322_fullText_2"]	Mitochondrial Diseases	C0751651
Mini-mental state examination score	C2960235	PREDISPOSES	["33754317_fullText_1"]	Cerebrovascular accident	C0038454
Mini-mental state examination score	C2960235	COEXISTS_WITH	["29922950_fullText_7"]	Spinocerebellar Ataxia 10	C1963674
Symptom severe	C0436345	COEXISTS_WITH	["31990683_abstract_1"]	Rare Diseases	C0678236
Hypometabolism	C0347938	COEXISTS_WITH	["38576115_fullText_25"]	CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME	C3281223
Hypometabolism	C0347938	COEXISTS_WITH	["22131273_fullText_6"]	Dystrophia myotonica 1	C2931688
