"source","source_type","target","target_type"
"DOID_7551","disease","ENSG00000182054","gene"
"DOID_7551","disease","ENSG00000187498","gene"
"DOID_7551","disease","ENSG00000196557","gene"
"DOID_7551","disease","ENSG00000204262","gene"
"DOID_7551","disease","ENSG00000048052","gene"
"DOID_7551","disease","ENSG00000057252","gene"
"DOID_7551","disease","ENSG00000111275","gene"
"DOID_7551","disease","ENSG00000112964","gene"
"DOID_7551","disease","ENSG00000115414","gene"
"DOID_7551","disease","ENSG00000120217","gene"
"DOID_7551","disease","ENSG00000128602","gene"
"DOID_7551","disease","ENSG00000134352","gene"
"DOID_7551","disease","ENSG00000138039","gene"
"DOID_7551","disease","ENSG00000146904","gene"
"DOID_7551","disease","ENSG00000159640","gene"
"DOID_7551","disease","ENSG00000162733","gene"
"DOID_7551","disease","ENSG00000169252","gene"
"DOID_7551","disease","ENSG00000196878","gene"
"DOID_7551","disease","ENSG00000131620","gene"
"DOID_7551","disease","ENSG00000151623","gene"
"DOID_7551","disease","ENSG00000162009","gene"
"DOID_7551","disease","ENSG00000178568","gene"
"DOID_7551","disease","ENSG00000184428","gene"
"DOID_7551","disease","ENSG00000188389","gene"
"DOID_7551","disease","ENSG00000198793","gene"
"DOID_7551","disease","ENSG00000136244","gene"
"DOID_7551","disease","ENSG00000157764","gene"
"DOID_7551","disease","ENSG00000196262","gene"
"HP_0000857","disease","ENSG00000187486","gene"
"HP_0012076","disease","ENSG00000022355","gene"
"HP_0012076","disease","ENSG00000091831","gene"
"HP_0012076","disease","ENSG00000102755","gene"
"HP_0012076","disease","ENSG00000105329","gene"
"HP_0012076","disease","ENSG00000273079","gene"
"HP_0012076","disease","ENSG00000082701","gene"
"HP_0012076","disease","ENSG00000111424","gene"
"HP_0012076","disease","ENSG00000113327","gene"
"HP_0012076","disease","ENSG00000116329","gene"
"HP_0012076","disease","ENSG00000146648","gene"
"HP_0012076","disease","ENSG00000166501","gene"
"HP_0012076","disease","ENSG00000176890","gene"
"HP_0012076","disease","ENSG00000196591","gene"
"HP_0012076","disease","ENSG00000232810","gene"
"HP_0012076","disease","ENSG00000073756","gene"
"HP_0012076","disease","ENSG00000145864","gene"
"HP_0012076","disease","ENSG00000151577","gene"
"HP_0012076","disease","ENSG00000160712","gene"
"HP_0012076","disease","ENSG00000166736","gene"
"HP_0012076","disease","ENSG00000168356","gene"
"HP_0012076","disease","ENSG00000180914","gene"
"HP_0012076","disease","ENSG00000189221","gene"
"HP_0012076","disease","ENSG00000198785","gene"
"HP_0012076","disease","ENSG00000011677","gene"
"HP_0012076","disease","ENSG00000102468","gene"
"HP_0012076","disease","ENSG00000112715","gene"
"HP_0012076","disease","ENSG00000119630","gene"
"HP_0012076","disease","ENSG00000139287","gene"
"HP_0012076","disease","ENSG00000144285","gene"
"HP_0012076","disease","ENSG00000147246","gene"
"HP_0012076","disease","ENSG00000176884","gene"
