"source","source_type","target","target_type"
"HP_0001660","disease","EFO_0000651","therapeutic_area"
"HP_0002089","disease","EFO_0000651","therapeutic_area"
"HP_0007968","disease","EFO_0000651","therapeutic_area"
"HP_0031458","disease","EFO_0000651","therapeutic_area"
"MONDO_0000030","disease","EFO_0000618","therapeutic_area"
"MONDO_0000030","disease","OTAR_0000018","therapeutic_area"
"MONDO_0004166","disease","OTAR_0000017","therapeutic_area"
"MONDO_0004166","disease","EFO_0009690","therapeutic_area"
"MONDO_0004166","disease","MONDO_0045024","therapeutic_area"
"MONDO_0004166","disease","OTAR_0000018","therapeutic_area"
"MONDO_0020841","disease","OTAR_0000018","therapeutic_area"
"MONDO_0030060","disease","OTAR_0000018","therapeutic_area"
"MONDO_0033565","disease","OTAR_0000017","therapeutic_area"
"MONDO_0033565","disease","EFO_0009690","therapeutic_area"
"MONDO_0033565","disease","OTAR_0000018","therapeutic_area"
"EFO_0001675","disease","EFO_0005741","therapeutic_area"
"HP_0000327","disease","EFO_0000651","therapeutic_area"
"HP_0000460","disease","EFO_0000651","therapeutic_area"
"HP_0006789","disease","EFO_0000651","therapeutic_area"
"HP_0030190","disease","EFO_0000651","therapeutic_area"
"HP_0030834","disease","EFO_0000651","therapeutic_area"
"MONDO_0001410","disease","OTAR_0000017","therapeutic_area"
"MONDO_0001410","disease","EFO_0009690","therapeutic_area"
"MONDO_0009580","disease","EFO_0000618","therapeutic_area"
"MONDO_0009580","disease","OTAR_0000018","therapeutic_area"
"MONDO_0009580","disease","MONDO_0002025","therapeutic_area"
"MONDO_0010217","disease","OTAR_0000018","therapeutic_area"
"MONDO_0014725","disease","MONDO_0024297","therapeutic_area"
"MONDO_0014725","disease","EFO_0000618","therapeutic_area"
"MONDO_0014725","disease","OTAR_0000018","therapeutic_area"
"MONDO_0014725","disease","MONDO_0002025","therapeutic_area"
"MONDO_0024306","disease","MONDO_0024297","therapeutic_area"
"MONDO_0033548","disease","OTAR_0000018","therapeutic_area"
"MONDO_0054695","disease","OTAR_0000006","therapeutic_area"
"MONDO_0054695","disease","EFO_0000618","therapeutic_area"
"MONDO_0054695","disease","OTAR_0000018","therapeutic_area"
"MONDO_0054695","disease","MONDO_0024458","therapeutic_area"
"EFO_0000174","disease","MONDO_0045024","therapeutic_area"
"EFO_0003073","disease","MONDO_0045024","therapeutic_area"
"EFO_0003073","disease","OTAR_0000018","therapeutic_area"
"EFO_0003073","disease","EFO_0005803","therapeutic_area"
"EFO_0003073","disease","EFO_0000540","therapeutic_area"
"HP_0000200","disease","EFO_0000651","therapeutic_area"
"HP_0000651","disease","EFO_0000651","therapeutic_area"
"MONDO_0012670","disease","EFO_0000618","therapeutic_area"
"MONDO_0012670","disease","OTAR_0000018","therapeutic_area"
"MONDO_0013732","disease","OTAR_0000018","therapeutic_area"
"MONDO_0014498","disease","OTAR_0000006","therapeutic_area"
"MONDO_0014498","disease","OTAR_0000018","therapeutic_area"
"MONDO_0014498","disease","EFO_0010285","therapeutic_area"
"MONDO_0014498","disease","EFO_0000540","therapeutic_area"
"MONDO_0014608","disease","OTAR_0000006","therapeutic_area"
"MONDO_0014608","disease","EFO_0000618","therapeutic_area"
"MONDO_0014608","disease","OTAR_0000018","therapeutic_area"
"MONDO_0014608","disease","EFO_0010285","therapeutic_area"
"MONDO_0019471","disease","EFO_0005741","therapeutic_area"
"MONDO_0019471","disease","MONDO_0045024","therapeutic_area"
"MONDO_0019471","disease","OTAR_0000006","therapeutic_area"
"MONDO_0019471","disease","OTAR_0000018","therapeutic_area"
"MONDO_0019471","disease","EFO_0005803","therapeutic_area"
"MONDO_0019471","disease","EFO_0010285","therapeutic_area"
"MONDO_0019471","disease","EFO_0000540","therapeutic_area"
"MONDO_0021677","disease","EFO_0005741","therapeutic_area"
"MONDO_0021677","disease","EFO_0000618","therapeutic_area"
"MONDO_0032902","disease","EFO_0000618","therapeutic_area"
"MONDO_0032902","disease","OTAR_0000018","therapeutic_area"
"MONDO_0032902","disease","MONDO_0002025","therapeutic_area"
"MONDO_0032902","disease","MONDO_0024458","therapeutic_area"
"MONDO_0044325","disease","EFO_0009690","therapeutic_area"
"MONDO_0044325","disease","MONDO_0024297","therapeutic_area"
"MONDO_0044325","disease","OTAR_0000006","therapeutic_area"
"MONDO_0044325","disease","OTAR_0000018","therapeutic_area"
"MONDO_0044325","disease","EFO_0005803","therapeutic_area"
"MONDO_0044325","disease","EFO_0010285","therapeutic_area"
"EFO_0003075","disease","MONDO_0024297","therapeutic_area"
"HP_0000062","disease","EFO_0000651","therapeutic_area"
"HP_0000751","disease","EFO_0000651","therapeutic_area"
"HP_0002904","disease","EFO_0000651","therapeutic_area"
"MONDO_0003143","disease","EFO_0000319","therapeutic_area"
"MONDO_0003143","disease","MONDO_0045024","therapeutic_area"
"MONDO_0003143","disease","EFO_0010285","therapeutic_area"
"MONDO_0032755","disease","OTAR_0000018","therapeutic_area"
"MONDO_0041086","disease","EFO_0000618","therapeutic_area"
"MONDO_0041086","disease","MONDO_0002025","therapeutic_area"
"EFO_0000595","disease","MONDO_0045024","therapeutic_area"
"HP_0002153","disease","EFO_0000651","therapeutic_area"
"HP_0005465","disease","EFO_0000651","therapeutic_area"
"HP_0009028","disease","EFO_0000651","therapeutic_area"
"HP_0100813","disease","EFO_0000651","therapeutic_area"
"HP_0200032","disease","EFO_0000651","therapeutic_area"
"MONDO_0009559","disease","OTAR_0000018","therapeutic_area"
