"source","source_type","target","target_type"
"CHEMBL3286830","drug","ENSG00000171094","gene"
"CHEMBL3301587","drug","ENSG00000120217","gene"
"CHEMBL521686","drug","ENSG00000129484","gene"
"CHEMBL521686","drug","ENSG00000143799","gene"
"CHEMBL521686","drug","ENSG00000041880","gene"
"CHEMBL70","drug","ENSG00000112038","gene"
"CHEMBL1051","drug","ENSG00000122420","gene"
"CHEMBL1201185","drug","ENSG00000180616","gene"
"CHEMBL1201185","drug","ENSG00000162009","gene"
"CHEMBL1201476","drug","ENSG00000117601","gene"
"CHEMBL1286","drug","ENSG00000159164","gene"
"CHEMBL1286","drug","ENSG00000148408","gene"
"CHEMBL1433","drug","ENSG00000137745","gene"
"CHEMBL1433","drug","ENSG00000118113","gene"
"CHEMBL1433","drug","ENSG00000196611","gene"
"CHEMBL1433","drug","ENSG00000137673","gene"
"CHEMBL2108147","drug","ENSG00000122194","gene"
"CHEMBL218490","drug","ENSG00000104267","gene"
"CHEMBL259209","drug","ENSG00000103546","gene"
"CHEMBL259209","drug","ENSG00000108576","gene"
"CHEMBL404108","drug","ENSG00000073756","gene"
"CHEMBL434394","drug","ENSG00000043591","gene"
"CHEMBL434394","drug","ENSG00000169252","gene"
"CHEMBL450","drug","ENSG00000145864","gene"
"CHEMBL450","drug","ENSG00000166206","gene"
"CHEMBL450","drug","ENSG00000163288","gene"
"CHEMBL464","drug","ENSG00000204231","gene"
"CHEMBL464","drug","ENSG00000077092","gene"
"CHEMBL464","drug","ENSG00000131759","gene"
"CHEMBL464","drug","ENSG00000143171","gene"
"CHEMBL464","drug","ENSG00000172819","gene"
"CHEMBL464","drug","ENSG00000186350","gene"
"CHEMBL589586","drug","ENSG00000079999","gene"
"CHEMBL750","drug","ENSG00000168356","gene"
"CHEMBL750","drug","ENSG00000144285","gene"
"CHEMBL750","drug","ENSG00000183873","gene"
"CHEMBL750","drug","ENSG00000196876","gene"
"CHEMBL750","drug","ENSG00000185313","gene"
"CHEMBL750","drug","ENSG00000136531","gene"
"CHEMBL750","drug","ENSG00000153253","gene"
"CHEMBL750","drug","ENSG00000007314","gene"
"CHEMBL750","drug","ENSG00000136546","gene"
"CHEMBL750","drug","ENSG00000169432","gene"
"CHEMBL917","drug","ENSG00000176890","gene"
"CHEMBL981","drug","ENSG00000186951","gene"
"CHEMBL1200878","drug","ENSG00000113580","gene"
"CHEMBL1201139","drug","ENSG00000082175","gene"
"CHEMBL1201173","drug","ENSG00000113580","gene"
"CHEMBL1201833","drug","ENSG00000232810","gene"
"CHEMBL1513","drug","ENSG00000144891","gene"
"CHEMBL1518","drug","ENSG00000115705","gene"
"CHEMBL1518","drug","ENSG00000211452","gene"
"CHEMBL1536","drug","ENSG00000111424","gene"
"CHEMBL1615438","drug","ENSG00000196639","gene"
"CHEMBL2103758","drug","ENSG00000004948","gene"
"CHEMBL2107831","drug","ENSG00000117400","gene"
"CHEMBL649","drug","ENSG00000043591","gene"
"CHEMBL649","drug","ENSG00000169252","gene"
"CHEMBL728","drug","ENSG00000149295","gene"
"CHEMBL782","drug","ENSG00000006071","gene"
"CHEMBL782","drug","ENSG00000187486","gene"
"CHEMBL818","drug","ENSG00000103546","gene"
"CHEMBL832","drug","ENSG00000197891","gene"
"CHEMBL957","drug","ENSG00000151617","gene"
"CHEMBL957","drug","ENSG00000136160","gene"
"CHEMBL1117","drug","ENSG00000131747","gene"
"CHEMBL1200854","drug","ENSG00000149295","gene"
"CHEMBL1200969","drug","ENSG00000145545","gene"
"CHEMBL1200969","drug","ENSG00000277893","gene"
"CHEMBL1200969","drug","ENSG00000128039","gene"
"CHEMBL1200986","drug","ENSG00000151577","gene"
"CHEMBL1200986","drug","ENSG00000102468","gene"
"CHEMBL1200986","drug","ENSG00000149295","gene"
"CHEMBL1200986","drug","ENSG00000069696","gene"
"CHEMBL20","drug","ENSG00000104267","gene"
"CHEMBL20","drug","ENSG00000133742","gene"
"CHEMBL20","drug","ENSG00000167434","gene"
"CHEMBL20","drug","ENSG00000074410","gene"
"CHEMBL354541","drug","ENSG00000138823","gene"
"CHEMBL3707227","drug","ENSG00000120217","gene"
"CHEMBL53463","drug","ENSG00000131747","gene"
"CHEMBL558","drug","ENSG00000168356","gene"
"CHEMBL558","drug","ENSG00000144285","gene"
"CHEMBL558","drug","ENSG00000183873","gene"
"CHEMBL558","drug","ENSG00000196876","gene"
"CHEMBL558","drug","ENSG00000185313","gene"
"CHEMBL558","drug","ENSG00000136531","gene"
"CHEMBL558","drug","ENSG00000153253","gene"
"CHEMBL558","drug","ENSG00000007314","gene"
"CHEMBL558","drug","ENSG00000136546","gene"
"CHEMBL558","drug","ENSG00000169432","gene"
"CHEMBL636","drug","ENSG00000114200","gene"
"CHEMBL636","drug","ENSG00000087085","gene"
"CHEMBL848","drug","ENSG00000113851","gene"
"CHEMBL848","drug","ENSG00000100387","gene"
"CHEMBL848","drug","ENSG00000167986","gene"
"CHEMBL848","drug","ENSG00000139842","gene"
"CHEMBL1115","drug","ENSG00000087085","gene"
"CHEMBL1201191","drug","ENSG00000196639","gene"
"CHEMBL1201356","drug","ENSG00000135914","gene"
"CHEMBL1201356","drug","ENSG00000184845","gene"
"CHEMBL1201497","drug","ENSG00000171105","gene"
"CHEMBL1201556","drug","ENSG00000113721","gene"
"CHEMBL1201556","drug","ENSG00000134853","gene"
"CHEMBL1495","drug","ENSG00000168539","gene"
"CHEMBL1495","drug","ENSG00000133019","gene"
"CHEMBL2108078","drug","ENSG00000160801","gene"
"CHEMBL2111101","drug","ENSG00000102468","gene"
"CHEMBL2364638","drug","ENSG00000064989","gene"
"CHEMBL3137321","drug","ENSG00000116329","gene"
"CHEMBL3137321","drug","ENSG00000112038","gene"
"CHEMBL3137321","drug","ENSG00000082556","gene"
"CHEMBL384467","drug","ENSG00000113580","gene"
"CHEMBL49","drug","ENSG00000178394","gene"
"CHEMBL809","drug","ENSG00000108576","gene"
