radboudsource,sourceguid,target,targetguid
CHEMBL1789843,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1789843,ENSG00000102524,http://purl.uniprot.org/uniprot/P02462
CHEMBL3301610,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3301610,ENSG00000135446,http://purl.uniprot.org/uniprot/P48357
CHEMBL3301610,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3301610,ENSG00000105810,http://purl.uniprot.org/uniprot/P28340
CHEMBL385517,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL385517,ENSG00000197635,http://purl.uniprot.org/uniprot/P00533
CHEMBL457,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL457,ENSG00000186951,http://purl.uniprot.org/uniprot/Q03181
CHEMBL46740,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL46740,ENSG00000091831,http://purl.uniprot.org/uniprot/P13637
CHEMBL46740,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL46740,ENSG00000140009,http://purl.uniprot.org/uniprot/P07949
CHEMBL70418,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL70418,ENSG00000022355,http://purl.uniprot.org/uniprot/P11511
CHEMBL70418,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL70418,ENSG00000113327,http://purl.uniprot.org/uniprot/P30518
CHEMBL70418,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL70418,ENSG00000011677,http://purl.uniprot.org/uniprot/P51787
CHEMBL70418,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL70418,ENSG00000186297,http://purl.uniprot.org/uniprot/P61812
