radboudsource,sourceguid,target,targetguid
CHEMBL1201182,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201182,ENSG00000088832,http://purl.uniprot.org/uniprot/P47870
CHEMBL1201585,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201585,ENSG00000141736,http://purl.uniprot.org/uniprot/P35498
CHEMBL1237021,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1237021,ENSG00000102468,http://purl.uniprot.org/uniprot/P05023
CHEMBL1237021,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1237021,ENSG00000149295,http://purl.uniprot.org/uniprot/P00533
CHEMBL1467,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1467,ENSG00000158125,http://purl.uniprot.org/uniprot/P54750
CHEMBL1497,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1497,ENSG00000113580,http://purl.uniprot.org/uniprot/P60880
CHEMBL1623,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1623,ENSG00000196639,http://purl.uniprot.org/uniprot/P47870
CHEMBL1670,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1670,ENSG00000160882,http://purl.uniprot.org/uniprot/P42081
CHEMBL1670,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1670,ENSG00000140459,http://purl.uniprot.org/uniprot/P28845
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000101162,http://purl.uniprot.org/uniprot/P08123
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000261456,http://purl.uniprot.org/uniprot/Q71U36
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000104833,http://purl.uniprot.org/uniprot/P14416
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000137267,http://purl.uniprot.org/uniprot/Q00975
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000141736,http://purl.uniprot.org/uniprot/P35498
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000188229,http://purl.uniprot.org/uniprot/O15230
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000196230,http://purl.uniprot.org/uniprot/P15391
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000137285,http://purl.uniprot.org/uniprot/P24462
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000258947,http://purl.uniprot.org/uniprot/Q14524
CHEMBL1743082,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743082,ENSG00000176014,http://purl.uniprot.org/uniprot/P02461
CHEMBL2103867,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2103867,ENSG00000070019,http://purl.uniprot.org/uniprot/P21802
CHEMBL256087,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL256087,ENSG00000104321,http://purl.uniprot.org/uniprot/P25391
CHEMBL256087,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL256087,ENSG00000144481,http://purl.uniprot.org/uniprot/Q15878
CHEMBL3545376,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545376,ENSG00000077782,http://purl.uniprot.org/uniprot/P08572
CHEMBL3545376,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545376,ENSG00000066468,http://purl.uniprot.org/uniprot/P04150
CHEMBL3545376,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545376,ENSG00000068078,http://purl.uniprot.org/uniprot/P05231
CHEMBL3545376,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545376,ENSG00000160867,http://purl.uniprot.org/uniprot/P11532
CHEMBL3707331,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3707331,ENSG00000115353,http://purl.uniprot.org/uniprot/P30968
CHEMBL563,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL563,ENSG00000073756,http://purl.uniprot.org/uniprot/P14778
CHEMBL563,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL563,ENSG00000095303,http://purl.uniprot.org/uniprot/P10253
CHEMBL691,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL691,ENSG00000091831,http://purl.uniprot.org/uniprot/P13637
CHEMBL827,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL827,ENSG00000103546,http://purl.uniprot.org/uniprot/P25116
CHEMBL827,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL827,ENSG00000142319,http://purl.uniprot.org/uniprot/P31645
CHEMBL877,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL877,ENSG00000122194,http://purl.uniprot.org/uniprot/P51787
CHEMBL1200946,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200946,ENSG00000169083,http://purl.uniprot.org/uniprot/Q09470
CHEMBL1208155,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1208155,ENSG00000109163,http://purl.uniprot.org/uniprot/P04049
CHEMBL1743010,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1743010,ENSG00000026751,http://purl.uniprot.org/uniprot/P20701
CHEMBL1756,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1756,ENSG00000140009,http://purl.uniprot.org/uniprot/P07949
CHEMBL192,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL192,ENSG00000138735,http://purl.uniprot.org/uniprot/P10827
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000058085,http://purl.uniprot.org/uniprot/P22888
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000164692,http://purl.uniprot.org/uniprot/P27338
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000134871,http://purl.uniprot.org/uniprot/Q07343
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000196569,http://purl.uniprot.org/uniprot/P05108
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000204291,http://purl.uniprot.org/uniprot/P03952
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000196739,http://purl.uniprot.org/uniprot/P16234
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000197565,http://purl.uniprot.org/uniprot/P04150
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000050555,http://purl.uniprot.org/uniprot/P00439
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000081052,http://purl.uniprot.org/uniprot/Q14654
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000108821,http://purl.uniprot.org/uniprot/P11802
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000142156,http://purl.uniprot.org/uniprot/P09619
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000172752,http://purl.uniprot.org/uniprot/P40238
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000112769,http://purl.uniprot.org/uniprot/P43116
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000080573,http://purl.uniprot.org/uniprot/P02462
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000091136,http://purl.uniprot.org/uniprot/P15538
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000135862,http://purl.uniprot.org/uniprot/P10275
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000204248,http://purl.uniprot.org/uniprot/Q13733
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000060718,http://purl.uniprot.org/uniprot/O43497
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000142173,http://purl.uniprot.org/uniprot/P01579
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000182871,http://purl.uniprot.org/uniprot/P56524
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000130635,http://purl.uniprot.org/uniprot/P19793
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000168542,http://purl.uniprot.org/uniprot/P19235
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000169031,http://purl.uniprot.org/uniprot/O15230
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000215018,http://purl.uniprot.org/uniprot/O76074
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000171502,http://purl.uniprot.org/uniprot/P02458
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000188153,http://purl.uniprot.org/uniprot/P35498
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000091128,http://purl.uniprot.org/uniprot/P25391
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000101680,http://purl.uniprot.org/uniprot/P10826
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000130702,http://purl.uniprot.org/uniprot/P16499
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000139219,http://purl.uniprot.org/uniprot/P21918
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000206384,http://purl.uniprot.org/uniprot/O96000
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000163359,http://purl.uniprot.org/uniprot/P30518
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000187498,http://purl.uniprot.org/uniprot/P35913
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000204262,http://purl.uniprot.org/uniprot/Q13753
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000053747,http://purl.uniprot.org/uniprot/P42081
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000115414,http://purl.uniprot.org/uniprot/P80365
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000196878,http://purl.uniprot.org/uniprot/Q03181
CHEMBL2095222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2095222,ENSG00000172037,http://purl.uniprot.org/uniprot/P11511
CHEMBL2107884,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2107884,ENSG00000113525,http://purl.uniprot.org/uniprot/P29320
CHEMBL4594265,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL4594265,ENSG00000023330,http://purl.uniprot.org/uniprot/Q01959
CHEMBL783,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL783,ENSG00000006071,http://purl.uniprot.org/uniprot/Q01668
CHEMBL783,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL783,ENSG00000187486,http://purl.uniprot.org/uniprot/P22748
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000168356,http://purl.uniprot.org/uniprot/P16499
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000144285,http://purl.uniprot.org/uniprot/P23415
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000183873,http://purl.uniprot.org/uniprot/P12109
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000196876,http://purl.uniprot.org/uniprot/Q13370
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000185313,http://purl.uniprot.org/uniprot/P12821
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000136531,http://purl.uniprot.org/uniprot/P03923
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000153253,http://purl.uniprot.org/uniprot/P10912
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000007314,http://purl.uniprot.org/uniprot/O15230
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000136546,http://purl.uniprot.org/uniprot/Q13547
CHEMBL108,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL108,ENSG00000169432,http://purl.uniprot.org/uniprot/P48549
CHEMBL1201354,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201354,ENSG00000168539,http://purl.uniprot.org/uniprot/P08123
CHEMBL1201354,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201354,ENSG00000133019,http://purl.uniprot.org/uniprot/P10600
CHEMBL1201753,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201753,ENSG00000113161,http://purl.uniprot.org/uniprot/P47870
CHEMBL2368925,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2368925,ENSG00000166736,http://purl.uniprot.org/uniprot/P07202
CHEMBL571,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL571,ENSG00000073756,http://purl.uniprot.org/uniprot/P14778
CHEMBL571,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL571,ENSG00000095303,http://purl.uniprot.org/uniprot/P10253
CHEMBL601719,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL601719,ENSG00000171094,http://purl.uniprot.org/uniprot/Q13547
CHEMBL601719,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL601719,ENSG00000105976,http://purl.uniprot.org/uniprot/P34995
